model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_07,-0.01169256,0.02308472,-0.50650645,0.61250117,-0.05693860,0.03355348,83,0.27794759,1.86971354,3,OLS Newey-West HAC,2019-01 through 2025-12
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_08,0.02780495,0.01977652,1.40595731,0.15973680,-0.01095704,0.06656693,83,0.27794759,1.86971354,3,OLS Newey-West HAC,2019-01 through 2025-12
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_09,-0.01189740,0.02524760,-0.47122908,0.63747715,-0.06138270,0.03758789,83,0.27794759,1.86971354,3,OLS Newey-West HAC,2019-01 through 2025-12
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_10,0.01045831,0.01871611,0.55878641,0.57630750,-0.02622527,0.04714189,83,0.27794759,1.86971354,3,OLS Newey-West HAC,2019-01 through 2025-12
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_11,0.02471036,0.03002901,0.82288295,0.41057456,-0.03414650,0.08356722,83,0.27794759,1.86971354,3,OLS Newey-West HAC,2019-01 through 2025-12
test2_high_share_all,Test 2,high_sensitivity_share_all,HIGH_SENSITIVITY,all recorded project starts,month_12,-0.00504911,0.03572128,-0.14134747,0.88759545,-0.07506283,0.06496460,83,0.27794759,1.86971354,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,Intercept,86.69969138,15.38845693,5.63407311,0.00000002,56.53831580,116.86106696,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,Time,0.75002121,0.25510585,2.94003925,0.00328171,0.25001374,1.25002867,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,PostJuly2024,9.19286964,53.74016313,0.17106144,0.86417546,-96.13785010,114.52358938,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,TimeAfterJuly2024,11.63423634,5.30428360,2.19336620,0.02828101,1.23784049,22.03063218,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
