specification,model_id,test,outcome,outcome_scale,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
broad,new_cits_broad_raw_treatment,Treatment series,treatment_count,raw,higher-incremental-exposure proxy,raw monthly project counts,month_06,-0.65371896,2.72528940,-0.23987139,0.81042996,-5.99528619,4.68784827,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment,Treatment series,treatment_count,raw,higher-incremental-exposure proxy,raw monthly project counts,month_07,-2.26510701,2.05251865,-1.10357439,0.26977781,-6.28804356,1.75782954,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment,Treatment series,treatment_count,raw,higher-incremental-exposure proxy,raw monthly project counts,month_08,-2.81955438,2.03080921,-1.38838960,0.16501844,-6.79994043,1.16083167,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment,Treatment series,treatment_count,raw,higher-incremental-exposure proxy,raw monthly project counts,month_09,-1.62400175,2.23414657,-0.72690027,0.46728705,-6.00292902,2.75492553,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment,Treatment series,treatment_count,raw,higher-incremental-exposure proxy,raw monthly project counts,month_10,0.77081224,2.29019333,0.33657082,0.73644046,-3.71796668,5.25959116,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment,Treatment series,treatment_count,raw,higher-incremental-exposure proxy,raw monthly project counts,month_11,0.91387483,2.69505614,0.33909306,0.73453963,-4.36843522,6.19618487,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment,Treatment series,treatment_count,raw,higher-incremental-exposure proxy,raw monthly project counts,month_12,-1.74306259,2.68842575,-0.64835809,0.51675337,-7.01237706,3.52625189,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,Intercept,-0.56490025,1.24233112,-0.45470989,0.64931797,-2.99986924,1.87006875,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,Time,0.17866080,0.03946270,4.52733356,0.00000597,0.10131391,0.25600769,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,PostJuly2024,-4.54546259,1.61775880,-2.80972823,0.00495833,-7.71626984,-1.37465533,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,TimeAfterJuly2024,0.16262145,0.09628964,1.68887800,0.09124281,-0.02610624,0.35134914,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_02,-1.44370938,1.60854900,-0.89752278,0.36944002,-4.59646543,1.70904667,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_03,0.51258125,1.44406065,0.35495825,0.72262087,-2.31777762,3.34294011,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_04,-2.33112813,2.10556269,-1.10712834,0.26823844,-6.45803101,1.79577475,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_05,-0.10046846,1.54426365,-0.06505914,0.94812692,-3.12722521,2.92628829,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_06,-3.56978462,1.85632616,-1.92303739,0.05447535,-7.20818390,0.06861466,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_07,-1.40273513,1.39875599,-1.00284477,0.31593576,-4.14429687,1.33882661,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_08,-2.41270665,1.79928279,-1.34092688,0.17994419,-5.93930092,1.11388761,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_09,-2.67267818,1.27196380,-2.10122189,0.03562149,-5.16572722,-0.17962913,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_10,1.73112813,1.52245434,1.13706407,0.25551150,-1.25288237,4.71513864,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_11,-1.31258125,2.35415612,-0.55755913,0.57714547,-5.92672723,3.30156474,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_treatment_minus_control,Treatment-minus-Control difference series,raw_diff_treatment_minus_control,raw,Treatment - Control,raw monthly project counts,month_12,-0.35629062,1.48048637,-0.24065782,0.80982033,-3.25804391,2.54546266,55,0.47574985,2.59281816,3,OLS Newey-West HAC,2021-10 through 2026-04
