specification,control_definition,design,intervention_date,sample_start,sample_end,term,estimate,std_error,z,p_value,ci_low,ci_high,n_obs,k_params,df_resid,nw_lag,inference
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-10,2021-10,2024-06,month_04,-0.43852249,1.02752882,-0.42677391,0.66954401,-2.45247898,1.57543399,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-10,2021-10,2024-06,month_05,-0.25136333,1.00560351,-0.24996266,0.80261623,-2.22234621,1.71961955,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-10,2021-10,2024-06,month_06,-4.39753749,0.43676476,-10.06843482,0.00000000,-5.25359642,-3.54147857,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-10,2021-10,2024-06,month_07,-2.36954669,0.67956228,-3.48687200,0.00048871,-3.70148877,-1.03760462,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-10,2021-10,2024-06,month_08,-1.55866564,2.43039767,-0.64132124,0.52131399,-6.32224507,3.20491378,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-10,2021-10,2024-06,month_09,-1.24778459,1.54079767,-0.80983027,0.41803773,-4.26774803,1.77217885,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-10,2021-10,2024-06,month_10,1.43852249,0.59247731,2.42797905,0.01518322,0.27726697,2.59977802,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-10,2021-10,2024-06,month_11,2.29234833,0.94615778,2.42279711,0.01540153,0.43787908,4.14681758,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-10,2021-10,2024-06,month_12,1.81284083,0.67170966,2.69884586,0.00695804,0.49628990,3.12939176,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,Intercept,-2.61753935,0.47296554,-5.53431305,0.00000003,-3.54455180,-1.69052689,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,Time,0.41378370,0.07095322,5.83178175,0.00000001,0.27471539,0.55285201,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,ArtificialLevel,-0.21154745,0.93058569,-0.22732721,0.82016931,-2.03549541,1.61240050,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,ArtificialSlope,-0.33403460,0.07126889,-4.68696206,0.00000277,-0.47372163,-0.19434757,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_02,0.47557270,0.66662006,0.71340892,0.47559276,-0.83100262,1.78214802,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_03,0.61781206,1.27299942,0.48531999,0.62744938,-1.87726681,3.11289093,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_04,-0.57328191,1.05310275,-0.54437414,0.58618403,-2.63736329,1.49079948,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_05,-0.43104254,0.93370156,-0.46164916,0.64433293,-2.26109760,1.39901252,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_06,-4.62213651,0.41443476,-11.15286879,0.00000000,-5.43442864,-3.80984438,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_07,-2.64730404,0.48527861,-5.45522507,0.00000005,-3.59845011,-1.69615796,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_08,-1.89407044,2.63348156,-0.71922677,0.47200121,-7.05569429,3.26755341,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_09,-1.64083684,1.22294721,-1.34170700,0.17969102,-4.03781338,0.75613970,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_10,1.61411096,0.60624099,2.66249065,0.00775647,0.42587862,2.80234329,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_11,2.38218794,0.87301503,2.72869063,0.00635863,0.67107847,4.09329740,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,month_12,1.85776064,0.68429905,2.71483736,0.00663083,0.51653449,3.19898678,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,Intercept,-2.52050227,0.45740046,-5.51049352,0.00000004,-3.41700717,-1.62399737,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,Time,0.37286385,0.05129994,7.26831027,0.00000000,0.27231598,0.47341173,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,ArtificialLevel,0.07368521,0.69649143,0.10579485,0.91574512,-1.29143799,1.43880841,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
