specification,control_definition,design,intervention_date,sample_start,sample_end,pre_n,post_n,n_obs,k_params,df_resid,level,level_se,level_z,level_p,level_ci_low,level_ci_high,slope_change,slope_se,slope_z,slope_p,slope_ci_low,slope_ci_high,slope_p_holm,joint_wald,joint_p,joint_p_holm,nw_lag,inference
strict,Strict already-RAP-bound control proxy,placebo_18_12,2023-06,2021-12,2024-05,18,12,30,15,15,-0.32372154,0.88545032,-0.36560102,0.71466282,-2.05920417,1.41176110,-0.27323628,0.08840727,-3.09065413,0.00199716,-0.44651452,-0.09995804,0.00399432,13.59896746,0.00111435,0.00222870,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_18_12,2023-07,2022-01,2024-06,18,12,30,15,15,-0.77132325,0.87672489,-0.87977798,0.37897960,-2.48970405,0.94705754,-0.29675252,0.08795536,-3.37389932,0.00074111,-0.46914502,-0.12436002,0.00222333,27.85541702,0.00000089,0.00000356,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_18_12,2024-07,2023-01,2025-06,18,12,30,15,15,-5.27622247,1.83909340,-2.86892578,0.00411868,-8.88084554,-1.67159940,0.73572228,0.22885679,3.21477156,0.00130548,0.28716298,1.18428158,,11.59656976,0.00303275,,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,actual_full,2024-07,2021-10,2026-04,33,22,55,15,40,-4.54546259,1.61775880,-2.80972823,0.00495833,-7.71626984,-1.37465533,0.16262145,0.09628964,1.68887800,0.09124281,-0.02610624,0.35134914,,8.08973641,0.01751201,,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2022-10,2021-10,2024-06,12,21,33,15,18,1.88087935,0.82587183,2.27744702,0.02275954,0.26217055,3.49958814,-0.16564417,0.09762491,-1.69674077,0.08974568,-0.35698900,0.02570066,0.08974568,16.80044906,0.00022482,0.00067446,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2022-11,2021-10,2024-06,13,20,33,15,18,0.28915381,0.97233554,0.29738069,0.76617589,-1.61662385,2.19493147,-0.27933614,0.07853702,-3.55674488,0.00037548,-0.43326869,-0.12540358,0.00075096,14.15607118,0.00084343,0.00168686,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2022-12,2021-10,2024-06,14,19,33,15,18,0.45166477,0.80811468,0.55891173,0.57622196,-1.13224000,2.03556955,-0.27430950,0.07487871,-3.66338458,0.00024890,-0.42107176,-0.12754723,0.00074670,13.77106706,0.00102247,0.00168686,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2023-01,2021-10,2024-06,15,18,33,15,18,0.95199731,0.49191871,1.93527366,0.05295672,-0.01216335,1.91615798,-0.27442095,0.07334773,-3.74136926,0.00018302,-0.41818250,-0.13065939,0.00073208,24.16488508,0.00000566,0.00002264,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2023-02,2021-10,2024-06,16,17,33,15,18,1.42985383,0.56471923,2.53197296,0.01134227,0.32300413,2.53670352,-0.29551954,0.06210435,-4.75843583,0.00000195,-0.41724406,-0.17379503,0.00001170,54.92549812,0.00000000,0.00000000,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2023-03,2021-10,2024-06,17,16,33,15,18,1.23578011,0.73023285,1.69230967,0.09058694,-0.19547627,2.66703649,-0.32936130,0.05459186,-6.03315771,0.00000000,-0.43636134,-0.22236125,0.00000000,42.15001946,0.00000000,0.00000000,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2023-04,2021-10,2024-06,18,15,33,15,18,0.18999664,0.58125465,0.32687333,0.74376369,-0.94926247,1.32925576,-0.34088620,0.05550057,-6.14203012,0.00000000,-0.44966733,-0.23210508,0.00000000,40.27478997,0.00000000,0.00000000,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2023-05,2021-10,2024-06,19,14,33,15,18,-0.71821793,0.91230939,-0.78725260,0.43113401,-2.50634433,1.06990847,-0.32349603,0.05492579,-5.88969300,0.00000000,-0.43115057,-0.21584148,0.00000000,36.22898138,0.00000001,0.00000006,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2023-06,2021-10,2024-06,20,13,33,15,18,-0.24859748,0.64188292,-0.38729411,0.69853848,-1.50668800,1.00949305,-0.34922861,0.05697427,-6.12958444,0.00000000,-0.46089818,-0.23755904,0.00000000,40.92940155,0.00000000,0.00000000,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2023-07,2021-10,2024-06,21,12,33,15,18,-0.30777096,0.82925878,-0.37113983,0.71053339,-1.93311817,1.31757624,-0.36503067,0.08380236,-4.35585173,0.00001326,-0.52928331,-0.20077804,0.00006630,37.59965585,0.00000001,0.00000006,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_18_12,2023-04,2021-10,2024-03,18,12,30,15,15,0.73035648,0.73361364,0.99556011,0.31946392,-0.70752626,2.16823921,-0.42217245,0.09084802,-4.64701866,0.00000337,-0.60023458,-0.24411033,0.00001348,22.67032913,0.00001195,0.00003585,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_18_12,2023-05,2021-11,2024-04,18,12,30,15,15,-1.72415080,1.20485424,-1.43100364,0.15242917,-4.08566511,0.63736350,-0.15229563,0.11666456,-1.30541473,0.19175166,-0.38095817,0.07636690,0.19175166,7.04031508,0.02959477,0.02959477,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_18_12,2023-06,2021-12,2024-05,18,12,30,15,15,0.06065696,0.93954769,0.06455975,0.94852453,-1.78085652,1.90217044,-0.30683091,0.08959385,-3.42468730,0.00061551,-0.48243485,-0.13122697,0.00123102,13.31358384,0.00128526,0.00257052,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_18_12,2023-07,2022-01,2024-06,18,12,30,15,15,-0.33319336,0.85813124,-0.38827785,0.69781042,-2.01513058,1.34874387,-0.34378499,0.08271136,-4.15644237,0.00003232,-0.50589926,-0.18167073,0.00009696,29.03648376,0.00000050,0.00000200,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,actual_18_12,2024-07,2023-01,2025-06,18,12,30,15,15,-5.26507092,1.88280424,-2.79639849,0.00516756,-8.95536723,-1.57477462,0.68085106,0.22639483,3.00736137,0.00263526,0.23711720,1.12458493,,10.52489424,0.00518261,,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
