specification,month,month_start,time,post_july2024,time_after_july2024,month_of_year,group,treated,raw_count,entry_index_pre_mean
strict,2022-07,2022-07-01,43,0,0,7,Treatment,1,3,67.80821918
strict,2022-08,2022-08-01,44,0,0,8,Control,0,7,212.90322581
strict,2022-08,2022-08-01,44,0,0,8,Treatment,1,3,67.80821918
strict,2022-09,2022-09-01,45,0,0,9,Control,0,4,121.65898618
strict,2022-09,2022-09-01,45,0,0,9,Treatment,1,6,135.61643836
strict,2022-10,2022-10-01,46,0,0,10,Control,0,0,0.00000000
strict,2022-10,2022-10-01,46,0,0,10,Treatment,1,5,113.01369863
strict,2022-11,2022-11-01,47,0,0,11,Control,0,3,91.24423963
strict,2022-11,2022-11-01,47,0,0,11,Treatment,1,7,158.21917808
strict,2022-12,2022-12-01,48,0,0,12,Control,0,3,91.24423963
strict,2022-12,2022-12-01,48,0,0,12,Treatment,1,6,135.61643836
strict,2023-01,2023-01-01,49,0,0,1,Control,0,2,60.82949309
strict,2023-01,2023-01-01,49,0,0,1,Treatment,1,4,90.41095890
strict,2023-02,2023-02-01,50,0,0,2,Control,0,2,60.82949309
strict,2023-02,2023-02-01,50,0,0,2,Treatment,1,5,113.01369863
strict,2023-03,2023-03-01,51,0,0,3,Control,0,0,0.00000000
strict,2023-03,2023-03-01,51,0,0,3,Treatment,1,6,135.61643836
strict,2023-04,2023-04-01,52,0,0,4,Control,0,2,60.82949309
strict,2023-04,2023-04-01,52,0,0,4,Treatment,1,5,113.01369863
strict,2023-05,2023-05-01,53,0,0,5,Control,0,3,91.24423963
strict,2023-05,2023-05-01,53,0,0,5,Treatment,1,5,113.01369863
strict,2023-06,2023-06-01,54,0,0,6,Control,0,8,243.31797235
strict,2023-06,2023-06-01,54,0,0,6,Treatment,1,7,158.21917808
strict,2023-07,2023-07-01,55,0,0,7,Control,0,3,91.24423963
strict,2023-07,2023-07-01,55,0,0,7,Treatment,1,3,67.80821918
strict,2023-08,2023-08-01,56,0,0,8,Control,0,1,30.41474654
