specification,model_id,test,outcome,outcome_scale,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,TimeAfterJuly2024,9.98616924,2.66227967,3.75098430,0.00017614,4.76810109,15.20423738,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_02,-34.82734690,49.01847305,-0.71049432,0.47739765,-130.90355407,61.24886028,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_03,14.42173933,35.81770674,0.40264273,0.68721107,-55.78096589,84.62444455,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_04,-33.01707253,64.39428098,-0.51273299,0.60813811,-159.22986325,93.19571818,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_05,-9.83791965,37.99992152,-0.25889316,0.79571768,-84.31776584,64.64192653,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_06,-13.74058957,57.28315303,-0.23987139,0.81042996,-126.01556952,98.53439037,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_07,-47.61052949,43.14211172,-1.10357439,0.26977781,-132.16906847,36.94800948,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_08,-59.26451879,42.68579868,-1.38838960,0.16501844,-142.92868419,24.39964661,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_09,-34.13506860,46.95976865,-0.72690027,0.46728705,-126.17621515,57.90607796,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_10,16.20178591,48.13782153,0.33657082,0.73644046,-78.14834429,110.55191611,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_11,19.20883392,56.64767693,0.33909306,0.73453963,-91.82061287,130.23828070,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
