specification,month,month_start,time,post_july2024,time_after_july2024,month_of_year,group,treated,raw_count,entry_index_pre_mean
broad,2025-03,2025-03-01,43,1,8,3,Treatment,1,7,151.59235669
broad,2025-04,2025-04-01,44,1,9,4,Control,0,7,218.34862385
broad,2025-04,2025-04-01,44,1,9,4,Treatment,1,13,281.52866242
broad,2025-05,2025-05-01,45,1,10,5,Control,0,4,124.77064220
broad,2025-05,2025-05-01,45,1,10,5,Treatment,1,11,238.21656051
broad,2025-06,2025-06-01,46,1,11,6,Control,0,10,311.92660550
broad,2025-06,2025-06-01,46,1,11,6,Treatment,1,16,346.49681529
broad,2025-07,2025-07-01,47,1,12,7,Control,0,7,218.34862385
broad,2025-07,2025-07-01,47,1,12,7,Treatment,1,13,281.52866242
broad,2025-08,2025-08-01,48,1,13,8,Control,0,8,249.54128440
broad,2025-08,2025-08-01,48,1,13,8,Treatment,1,9,194.90445860
broad,2025-09,2025-09-01,49,1,14,9,Control,0,11,343.11926606
broad,2025-09,2025-09-01,49,1,14,9,Treatment,1,13,281.52866242
broad,2025-10,2025-10-01,50,1,15,10,Control,0,7,218.34862385
broad,2025-10,2025-10-01,50,1,15,10,Treatment,1,14,303.18471338
broad,2025-11,2025-11-01,51,1,16,11,Control,0,10,311.92660550
broad,2025-11,2025-11-01,51,1,16,11,Treatment,1,10,216.56050955
broad,2025-12,2025-12-01,52,1,17,12,Control,0,2,62.38532110
broad,2025-12,2025-12-01,52,1,17,12,Treatment,1,8,173.24840764
broad,2026-01,2026-01-01,53,1,18,1,Control,0,11,343.11926606
broad,2026-01,2026-01-01,53,1,18,1,Treatment,1,23,498.08917197
broad,2026-02,2026-02-01,54,1,19,2,Control,0,7,218.34862385
broad,2026-02,2026-02-01,54,1,19,2,Treatment,1,11,238.21656051
broad,2026-03,2026-03-01,55,1,20,3,Control,0,9,280.73394495
broad,2026-03,2026-03-01,55,1,20,3,Treatment,1,23,498.08917197
broad,2026-04,2026-04-01,56,1,21,4,Control,0,5,155.96330275
broad,2026-04,2026-04-01,56,1,21,4,Treatment,1,6,129.93630573
