model,outcome,window,n_months,pre_months,post_months,term,estimate,std_error,p_value,ci_low,ci_high,notes
Aggregate-output measurement sensitivity HAC(3),publication_app_links,2019-01_to_2025-12,84,66,18,Time,2.1514,0.0731,0.0000,2.0082,2.2946,"same calendar-time ITS, alternative publication numerator"
Aggregate-output measurement sensitivity HAC(3),publication_app_links,2019-01_to_2025-12,84,66,18,PostJuly2024,-3.9844,8.6114,0.6436,-20.8627,12.8940,"same calendar-time ITS, alternative publication numerator"
Aggregate-output measurement sensitivity HAC(3),publication_app_links,2019-01_to_2025-12,84,66,18,TimeAfterJuly2024,4.2856,0.7722,0.0000,2.7721,5.7992,"same calendar-time ITS, alternative publication numerator"
Aggregate-output measurement sensitivity HAC(3),unique_publication_ids,2019-01_to_2025-12,84,66,18,Time,2.0861,0.0753,0.0000,1.9384,2.2337,"same calendar-time ITS, alternative publication numerator"
Aggregate-output measurement sensitivity HAC(3),unique_publication_ids,2019-01_to_2025-12,84,66,18,PostJuly2024,-5.1224,7.6605,0.5037,-20.1369,9.8921,"same calendar-time ITS, alternative publication numerator"
Aggregate-output measurement sensitivity HAC(3),unique_publication_ids,2019-01_to_2025-12,84,66,18,TimeAfterJuly2024,4.3330,0.7125,0.0000,2.9366,5.7294,"same calendar-time ITS, alternative publication numerator"
Aggregate-output measurement sensitivity HAC(3),fractional_publication_count,2019-01_to_2025-12,84,66,18,Time,2.0861,0.0753,0.0000,1.9384,2.2337,"same calendar-time ITS, alternative publication numerator"
Aggregate-output measurement sensitivity HAC(3),fractional_publication_count,2019-01_to_2025-12,84,66,18,PostJuly2024,-5.1224,7.6605,0.5037,-20.1369,9.8921,"same calendar-time ITS, alternative publication numerator"
Aggregate-output measurement sensitivity HAC(3),fractional_publication_count,2019-01_to_2025-12,84,66,18,TimeAfterJuly2024,4.3330,0.7125,0.0000,2.9366,5.7294,"same calendar-time ITS, alternative publication numerator"
