period,period_start,period_end,months,observed_unique_publications,pretrend_benchmark_fitted_unique_publications,segmented_model_fitted_unique_publications,observed_minus_pretrend_benchmark,fitted_minus_pretrend_benchmark,fitted_gap_std_error,fitted_gap_ci_low,fitted_gap_ci_high,observed_percent_gap_vs_pretrend_benchmark,fitted_percent_gap_vs_pretrend_benchmark,interpretation
July_2024_to_June_2025,2024-07-01,2025-06-30,12,2226.000,2049.735,2274.244,176.265,224.509,61.1731,104.6097,344.4083,8.60,10.95,"descriptive cumulative pre-trend benchmark difference, not a causal counterfactual effect"
July_2024_to_December_2025,2024-07-01,2025-12-31,18,3745.000,3174.255,3745.000,570.745,570.746,82.6764,408.6998,732.7912,17.98,17.98,"descriptive cumulative pre-trend benchmark difference, not a causal counterfactual effect"
