project_cohort,project_age_months,share_with_first_publication_by_project_age_percent,ci_low,ci_high,number_at_risk,events_observed_by_age,censor_date,estimator
pre_rap_project_start,58,52.797,51.088,54.505,1031,1954,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,59,53.221,51.506,54.937,977,1963,2025-12-31,Kaplan-Meier 1 minus survival
pre_rap_project_start,60,53.666,51.943,55.390,923,1972,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,0,0.000,0.000,0.000,2133,0,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,1,0.144,0.000,0.306,2034,3,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,2,0.300,0.060,0.541,1857,6,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,3,0.584,0.239,0.928,1722,11,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,4,0.706,0.322,1.090,1555,13,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,5,1.502,0.914,2.091,1431,25,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,6,1.887,1.211,2.564,1237,30,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,7,2.827,1.958,3.696,1069,41,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,8,3.421,2.436,4.406,940,47,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,9,4.550,3.353,5.747,770,57,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,10,5.497,4.120,6.873,638,64,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,11,6.777,5.157,8.396,529,72,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,12,8.938,6.913,10.963,420,83,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,13,11.027,8.629,13.425,314,92,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,14,13.056,10.214,15.898,173,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,15,13.056,10.214,15.898,1,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,16,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,17,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,18,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,19,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,20,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,21,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,22,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,23,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,24,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,25,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,26,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,27,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,28,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,29,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,30,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,31,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,32,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,33,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,34,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,35,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,36,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,37,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,38,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,39,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,40,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,41,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,42,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,43,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,44,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,45,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,46,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,47,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,48,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,49,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,50,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,51,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,52,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,53,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,54,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,55,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,56,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,57,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,58,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,59,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
post_rap_project_start,60,13.056,10.214,15.898,0,98,2025-12-31,Kaplan-Meier 1 minus survival
