project_age_months,project_age_bin,projects_with_complete_followup_to_age,publication_app_links_at_age,unique_publication_ids_at_age,fractional_publication_count_at_age,publications_per_100_projects_at_risk,cumulative_fractional_publications
139,49_plus_months,49,2,2,2.000,4.0816,10247.833
140,49_plus_months,48,0,0,0.000,0.0000,10247.833
141,49_plus_months,47,3,3,2.333,4.9645,10250.167
142,49_plus_months,43,1,1,1.000,2.3256,10251.167
143,49_plus_months,43,0,0,0.000,0.0000,10251.167
144,49_plus_months,39,1,1,1.000,2.5641,10252.167
145,49_plus_months,35,2,2,2.000,5.7143,10254.167
146,49_plus_months,35,0,0,0.000,0.0000,10254.167
147,49_plus_months,33,0,0,0.000,0.0000,10254.167
148,49_plus_months,29,0,0,0.000,0.0000,10254.167
149,49_plus_months,29,0,0,0.000,0.0000,10254.167
150,49_plus_months,25,1,1,0.333,1.3333,10254.500
151,49_plus_months,20,0,0,0.000,0.0000,10254.500
152,49_plus_months,20,1,1,1.000,5.0000,10255.500
153,49_plus_months,19,2,2,1.500,7.8947,10257.000
154,49_plus_months,16,1,1,1.000,6.2500,10258.000
155,49_plus_months,15,0,0,0.000,0.0000,10258.000
156,49_plus_months,13,0,0,0.000,0.0000,10258.000
157,49_plus_months,12,0,0,0.000,0.0000,10258.000
158,49_plus_months,9,0,0,0.000,0.0000,10258.000
159,49_plus_months,7,0,0,0.000,0.0000,10258.000
160,49_plus_months,3,0,0,0.000,0.0000,10258.000
161,49_plus_months,2,0,0,0.000,0.0000,10258.000
162,49_plus_months,1,0,0,0.000,0.0000,10258.000
