cohort_cutoff,calendar_month,month_start,fixed_cohort_projects,fractional_publication_count,fractional_publications_per_100_fixed_cohort,calendar_post_july_2024
2022-01-01,2024-05,2024-05-01,2512,121.000,4.8169,0
2022-01-01,2024-06,2024-06-01,2512,94.500,3.7619,0
2022-01-01,2024-07,2024-07-01,2512,120.000,4.7771,1
2022-01-01,2024-08,2024-08-01,2512,115.500,4.5979,1
2022-01-01,2024-09,2024-09-01,2512,89.667,3.5695,1
2022-01-01,2024-10,2024-10-01,2512,105.500,4.1998,1
2022-01-01,2024-11,2024-11-01,2512,93.000,3.7022,1
2022-01-01,2024-12,2024-12-01,2512,83.000,3.3041,1
2022-01-01,2025-01,2025-01-01,2512,128.000,5.0955,1
2022-01-01,2025-02,2025-02-01,2512,100.000,3.9809,1
2022-01-01,2025-03,2025-03-01,2512,116.500,4.6377,1
2022-01-01,2025-04,2025-04-01,2512,98.667,3.9278,1
2022-01-01,2025-05,2025-05-01,2512,96.000,3.8217,1
2022-01-01,2025-06,2025-06-01,2512,91.000,3.6226,1
2022-01-01,2025-07,2025-07-01,2512,124.000,4.9363,1
2022-01-01,2025-08,2025-08-01,2512,123.500,4.9164,1
2022-01-01,2025-09,2025-09-01,2512,97.900,3.8973,1
2022-01-01,2025-10,2025-10-01,2512,117.000,4.6576,1
2022-01-01,2025-11,2025-11-01,2512,98.833,3.9344,1
2022-01-01,2025-12,2025-12-01,2512,104.000,4.1401,1
2022-07-01,2022-07,2022-07-01,2862,106.000,3.7037,0
2022-07-01,2022-08,2022-08-01,2862,119.000,4.1579,0
2022-07-01,2022-09,2022-09-01,2862,107.000,3.7386,0
2022-07-01,2022-10,2022-10-01,2862,120.000,4.1929,0
2022-07-01,2022-11,2022-11-01,2862,118.000,4.1230,0
2022-07-01,2022-12,2022-12-01,2862,110.000,3.8435,0
2022-07-01,2023-01,2023-01-01,2862,135.000,4.7170,0
2022-07-01,2023-02,2023-02-01,2862,135.000,4.7170,0
2022-07-01,2023-03,2023-03-01,2862,136.000,4.7519,0
2022-07-01,2023-04,2023-04-01,2862,120.000,4.1929,0
2022-07-01,2023-05,2023-05-01,2862,126.000,4.4025,0
2022-07-01,2023-06,2023-06-01,2862,141.000,4.9266,0
2022-07-01,2023-07,2023-07-01,2862,129.000,4.5073,0
2022-07-01,2023-08,2023-08-01,2862,122.000,4.2628,0
2022-07-01,2023-09,2023-09-01,2862,126.000,4.4025,0
2022-07-01,2023-10,2023-10-01,2862,110.000,3.8435,0
2022-07-01,2023-11,2023-11-01,2862,136.500,4.7694,0
2022-07-01,2023-12,2023-12-01,2862,108.500,3.7911,0
2022-07-01,2024-01,2024-01-01,2862,133.667,4.6704,0
2022-07-01,2024-02,2024-02-01,2862,108.000,3.7736,0
2022-07-01,2024-03,2024-03-01,2862,139.000,4.8567,0
2022-07-01,2024-04,2024-04-01,2862,140.000,4.8917,0
2022-07-01,2024-05,2024-05-01,2862,132.000,4.6122,0
2022-07-01,2024-06,2024-06-01,2862,104.500,3.6513,0
2022-07-01,2024-07,2024-07-01,2862,133.500,4.6646,1
2022-07-01,2024-08,2024-08-01,2862,133.500,4.6646,1
2022-07-01,2024-09,2024-09-01,2862,103.667,3.6222,1
2022-07-01,2024-10,2024-10-01,2862,119.000,4.1579,1
