model,outcome,window,n_months,pre_months,post_months,term,estimate,std_error,p_value,ci_low,ci_high,notes
"Primary total-output ITS, Prais-Winsten AR(1)",unique_publication_ids,2019-01_to_2025-12,84,66,18,Time,2.0913,0.0825,0.0000,1.9295,2.2531,estimated rho = -0.159
"Primary total-output ITS, Prais-Winsten AR(1)",unique_publication_ids,2019-01_to_2025-12,84,66,18,PostJuly2024,-5.8409,6.7627,0.3878,-19.0959,7.4140,estimated rho = -0.159
"Primary total-output ITS, Prais-Winsten AR(1)",unique_publication_ids,2019-01_to_2025-12,84,66,18,TimeAfterJuly2024,4.3547,0.5989,0.0000,3.1809,5.5284,estimated rho = -0.159
