month,month_start,observed_fractional_publications_per_100_incumbents,fitted_pre_transition_historical_benchmark,mean_ci_low_hac,mean_ci_high_hac,forecast_interval_low_ols_scale,forecast_interval_high_ols_scale,gap_observed_minus_benchmark,post_july_2024,cumulative_gap_since_july_2024
2024-11,2024-11-01,3.790,3.993,3.774,4.212,3.106,4.881,-0.203,1,0.722
2024-12,2024-12-01,3.490,3.659,3.265,4.054,2.713,4.605,-0.169,1,0.552
2025-01,2025-01-01,5.220,4.276,3.981,4.572,3.368,5.185,0.944,1,1.496
2025-02,2025-02-01,3.990,3.871,3.399,4.344,2.890,4.853,0.119,1,1.614
2025-03,2025-03-01,4.690,3.980,3.575,4.385,3.029,4.930,0.710,1,2.325
2025-04,2025-04-01,4.760,3.628,3.257,3.999,2.692,4.565,1.132,1,3.456
2025-05,2025-05-01,4.820,4.058,3.661,4.455,3.111,5.005,0.762,1,4.218
2025-06,2025-06-01,4.340,4.105,3.784,4.425,3.187,5.022,0.235,1,4.453
2025-07,2025-07-01,6.190,4.013,3.651,4.375,3.080,4.946,2.177,1,6.630
2025-08,2025-08-01,5.790,3.789,3.344,4.234,2.821,4.757,2.001,1,8.631
2025-09,2025-09-01,4.820,3.655,3.292,4.018,2.722,4.588,1.165,1,9.796
2025-10,2025-10-01,5.680,3.813,3.317,4.309,2.821,4.805,1.867,1,11.663
2025-11,2025-11-01,4.620,4.117,3.830,4.404,3.211,5.023,0.503,1,12.166
2025-12,2025-12-01,5.610,3.783,3.331,4.235,2.811,4.755,1.827,1,13.993
