app_id,project_start_date,start_cohort,project_cohort,project_cohort_post_rap,followup_eligible_12m,pub12_fractional,anypub12,followup_eligible_18m,pub18_fractional,anypub18,followup_eligible_24m,pub24_fractional,anypub24
3398,2014-01-01,2014H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
3474,2014-07-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,2.000000,1
3501,2015-10-01,2015H2,pre_rap_project_start,0,1,0.500000,1,1,0.500000,1,1,0.500000,1
3572,2013-07-01,2013H2,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,2.000000,1
3593,2014-09-08,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.500000,1,1,0.500000,1
3913,2016-01-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
3932,2013-07-11,2013H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
3966,2013-09-01,2013H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4047,2014-06-03,2014H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4236,2018-05-29,2018H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4364,2014-01-20,2014H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4372,2014-03-01,2014H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4408,2015-06-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4477,2016-06-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4483,2014-05-07,2014H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4580,2015-07-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4669,2013-12-01,2013H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4800,2015-07-13,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4816,2018-04-24,2018H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4844,2014-09-27,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
4892,2015-01-12,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
4939,2015-05-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
5122,2013-10-01,2013H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
5167,2018-07-05,2018H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
5179,2014-01-06,2014H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
5180,2014-07-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
5216,2015-12-14,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
5237,2015-02-27,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
5339,2014-09-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
