period,period_start,publication_app_links,unique_publication_ids,fractional_publication_count,app_links_minus_unique_ids,app_links_minus_fractional_count,unique_id_reduction_percent_vs_app_links,fractional_reduction_percent_vs_app_links,note
2022-05,2022-05-01,97,91,91.000,6,6.000,6.19,6.19,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2022-06,2022-06-01,123,116,116.000,7,7.000,5.69,5.69,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2022-07,2022-07-01,115,106,106.000,9,9.000,7.83,7.83,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2022-08,2022-08-01,129,120,120.000,9,9.000,6.98,6.98,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2022-09,2022-09-01,114,108,108.000,6,6.000,5.26,5.26,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2022-10,2022-10-01,128,120,120.000,8,8.000,6.25,6.25,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2022-11,2022-11-01,123,118,118.000,5,5.000,4.07,4.07,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2022-12,2022-12-01,114,111,111.000,3,3.000,2.63,2.63,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-01,2023-01-01,143,137,137.000,6,6.000,4.20,4.20,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-02,2023-02-01,143,137,137.000,6,6.000,4.20,4.20,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-03,2023-03-01,149,138,138.000,11,11.000,7.38,7.38,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-04,2023-04-01,128,122,122.000,6,6.000,4.69,4.69,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-05,2023-05-01,130,128,128.000,2,2.000,1.54,1.54,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-06,2023-06-01,158,146,146.000,12,12.000,7.59,7.59,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-07,2023-07-01,137,131,131.000,6,6.000,4.38,4.38,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-08,2023-08-01,142,133,133.000,9,9.000,6.34,6.34,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-09,2023-09-01,140,137,137.000,3,3.000,2.14,2.14,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-10,2023-10-01,136,118,118.000,18,18.000,13.24,13.24,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-11,2023-11-01,164,155,155.000,9,9.000,5.49,5.49,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2023-12,2023-12-01,131,122,122.000,9,9.000,6.87,6.87,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-01,2024-01-01,173,165,165.000,8,8.000,4.62,4.62,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-02,2024-02-01,128,125,125.000,3,3.000,2.34,2.34,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-03,2024-03-01,163,157,157.000,6,6.000,3.68,3.68,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-04,2024-04-01,184,177,177.000,7,7.000,3.80,3.80,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-05,2024-05-01,179,177,177.000,2,2.000,1.12,1.12,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-06,2024-06-01,156,152,152.000,4,4.000,2.56,2.56,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-07,2024-07-01,201,187,187.000,14,14.000,6.97,6.97,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-08,2024-08-01,190,180,180.000,10,10.000,5.26,5.26,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-09,2024-09-01,148,144,144.000,4,4.000,2.70,2.70,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-10,2024-10-01,176,169,169.000,7,7.000,3.98,3.98,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-11,2024-11-01,175,164,164.000,11,11.000,6.29,6.29,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2024-12,2024-12-01,156,151,151.000,5,5.000,3.21,3.21,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-01,2025-01-01,233,229,229.000,4,4.000,1.72,1.72,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-02,2025-02-01,179,174,174.000,5,5.000,2.79,2.79,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-03,2025-03-01,228,209,209.000,19,19.000,8.33,8.33,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-04,2025-04-01,217,209,209.000,8,8.000,3.69,3.69,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-05,2025-05-01,226,217,217.000,9,9.000,3.98,3.98,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
