model,outcome,window,n_months,pre_months,post_months,term,estimate,std_error,p_value,ci_low,ci_high,notes
Fixed-cohort publication intensity HAC(3),fractional_publications_per_100_fixed_cohort_cutoff_2021-07-01,2019-01_to_2025-12,54,36,18,PostJuly2024,-0.8294,0.2725,0.0023,-1.3634,-0.2954,denominator and membership fixed by prespecified cutoff
Fixed-cohort publication intensity HAC(3),fractional_publications_per_100_fixed_cohort_cutoff_2021-07-01,2019-01_to_2025-12,54,36,18,TimeAfterJuly2024,-0.0288,0.0167,0.0841,-0.0614,0.0039,denominator and membership fixed by prespecified cutoff
Fixed-cohort publication intensity HAC(3),fractional_publications_per_100_fixed_cohort_cutoff_2022-01-01,2019-01_to_2025-12,48,30,18,PostJuly2024,-0.8711,0.2270,0.0001,-1.3160,-0.4263,denominator and membership fixed by prespecified cutoff
Fixed-cohort publication intensity HAC(3),fractional_publications_per_100_fixed_cohort_cutoff_2022-01-01,2019-01_to_2025-12,48,30,18,TimeAfterJuly2024,-0.0128,0.0135,0.3436,-0.0392,0.0136,denominator and membership fixed by prespecified cutoff
Fixed-cohort publication intensity HAC(3),fractional_publications_per_100_fixed_cohort_cutoff_2022-07-01,2019-01_to_2025-12,42,24,18,PostJuly2024,-0.3914,0.1836,0.0330,-0.7512,-0.0315,denominator and membership fixed by prespecified cutoff
Fixed-cohort publication intensity HAC(3),fractional_publications_per_100_fixed_cohort_cutoff_2022-07-01,2019-01_to_2025-12,42,24,18,TimeAfterJuly2024,0.0265,0.0139,0.0574,-0.0008,0.0538,denominator and membership fixed by prespecified cutoff
