age_band,month,month_start,post_start_incumbent_projects,unique_publication_ids,publication_intensity_per_100,post_transition
5y_plus,2022-02,2022-02-01,466,38,8.155,0
lt_2y,2022-03,2022-03-01,1103,15,1.360,0
2_5y,2022-03,2022-03-01,1105,38,3.439,0
5y_plus,2022-03,2022-03-01,483,38,7.867,0
lt_2y,2022-04,2022-04-01,1111,14,1.260,0
2_5y,2022-04,2022-04-01,1130,29,2.566,0
5y_plus,2022-04,2022-04-01,509,38,7.466,0
lt_2y,2022-05,2022-05-01,1141,19,1.665,0
2_5y,2022-05,2022-05-01,1150,42,3.652,0
5y_plus,2022-05,2022-05-01,525,31,5.905,0
lt_2y,2022-06,2022-06-01,1118,23,2.057,0
2_5y,2022-06,2022-06-01,1202,48,3.993,0
5y_plus,2022-06,2022-06-01,542,47,8.672,0
lt_2y,2022-07,2022-07-01,1118,19,1.699,0
2_5y,2022-07,2022-07-01,1234,53,4.295,0
5y_plus,2022-07,2022-07-01,563,42,7.460,0
lt_2y,2022-08,2022-08-01,1142,28,2.452,0
2_5y,2022-08,2022-08-01,1275,59,4.627,0
5y_plus,2022-08,2022-08-01,571,37,6.480,0
lt_2y,2022-09,2022-09-01,1190,21,1.765,0
2_5y,2022-09,2022-09-01,1311,47,3.585,0
5y_plus,2022-09,2022-09-01,581,43,7.401,0
lt_2y,2022-10,2022-10-01,1196,19,1.589,0
2_5y,2022-10,2022-10-01,1336,63,4.716,0
5y_plus,2022-10,2022-10-01,585,44,7.521,0
lt_2y,2022-11,2022-11-01,1230,17,1.382,0
2_5y,2022-11,2022-11-01,1372,55,4.009,0
5y_plus,2022-11,2022-11-01,589,48,8.149,0
lt_2y,2022-12,2022-12-01,1297,17,1.311,0
2_5y,2022-12,2022-12-01,1377,52,3.776,0
5y_plus,2022-12,2022-12-01,589,44,7.470,0
lt_2y,2023-01,2023-01-01,1268,31,2.445,0
2_5y,2023-01,2023-01-01,1464,68,4.645,0
5y_plus,2023-01,2023-01-01,589,41,6.961,0
lt_2y,2023-02,2023-02-01,1261,25,1.983,0
2_5y,2023-02,2023-02-01,1506,70,4.648,0
5y_plus,2023-02,2023-02-01,603,43,7.131,0
lt_2y,2023-03,2023-03-01,1256,28,2.229,0
2_5y,2023-03,2023-03-01,1564,68,4.348,0
5y_plus,2023-03,2023-03-01,623,50,8.026,0
lt_2y,2023-04,2023-04-01,1274,19,1.491,0
