exposure_proxy_definition,comparison_group,projects,mean_pre_2024_publications,any_pre_2024_publication_rate_percent,median_project_age_years_at_transition,original_class_composition,broad_modality_composition
CONTROL_C03,legacy_exposure_proxy,3327,0.857,27.59,3.417,NEWLY_RAP_BOUND=3327,ehr_linked_records=123; genetics_sequence=1756; imaging=549; proteomics_metabolomics_biomarkers=277; questionnaire_environment_lifestyle=622
CONTROL_C03,rap_intensive_comparison,130,0.931,20.77,2.875,ALREADY_RAP_BOUND=30; MIXED=74; NEWLY_RAP_BOUND=19; UNCLEAR=7,genetics_sequence=121; other_or_unclear=6; proteomics_metabolomics_biomarkers=3
CONTROL_C05,legacy_exposure_proxy,3326,0.856,27.57,3.417,NEWLY_RAP_BOUND=3326,ehr_linked_records=123; genetics_sequence=1755; imaging=549; proteomics_metabolomics_biomarkers=277; questionnaire_environment_lifestyle=622
CONTROL_C05,rap_intensive_comparison,131,0.954,21.37,2.917,ALREADY_RAP_BOUND=30; MIXED=74; NEWLY_RAP_BOUND=20; UNCLEAR=7,genetics_sequence=122; other_or_unclear=6; proteomics_metabolomics_biomarkers=3
CONTROL_C06,legacy_exposure_proxy,3193,0.715,25.49,3.333,NEWLY_RAP_BOUND=3193,ehr_linked_records=120; genetics_sequence=1640; imaging=545; proteomics_metabolomics_biomarkers=274; questionnaire_environment_lifestyle=614
CONTROL_C06,rap_intensive_comparison,297,2.582,51.52,4.000,ALREADY_RAP_BOUND=30; MIXED=74; NEWLY_RAP_BOUND=153; UNCLEAR=40,ehr_linked_records=3; genetics_sequence=252; imaging=4; other_or_unclear=22; proteomics_metabolomics_biomarkers=6; questionnaire_environment_lifestyle=10
