frequency,control_definition,outcome,event_time,estimate,clustered_se,p_value,ci_low,ci_high,reference_period,model
quarter,CONTROL_C01,publication_count,-2,-0.017361,0.041718,0.677303,-0.099128,0.064407,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,publication_count,0,-0.017050,0.069602,0.806486,-0.153470,0.119370,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,publication_count,1,-0.021370,0.051336,0.677202,-0.121989,0.079248,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,publication_count,2,0.024972,0.057549,0.664344,-0.087824,0.137768,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,publication_count,3,-0.019887,0.052449,0.704569,-0.122687,0.082914,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,publication_count,4,-0.001984,0.043271,0.963437,-0.086796,0.082829,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,publication_count,5,0.067670,0.037582,0.071764,-0.005990,0.141330,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,publication_count,6,-0.042408,0.059804,0.478245,-0.159624,0.074807,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,publication_count,7,0.018139,0.036107,0.615402,-0.052631,0.088910,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,-8,-0.046360,0.036591,0.205166,-0.118079,0.025359,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,-7,0.012089,0.028699,0.673585,-0.044162,0.068340,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,-6,0.004510,0.032327,0.889052,-0.058852,0.067871,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,-5,-0.014194,0.022601,0.529990,-0.058493,0.030105,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,-4,0.022813,0.026967,0.397562,-0.030041,0.075668,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,-3,0.009020,0.028169,0.748802,-0.046191,0.064231,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,-2,-0.021882,0.028159,0.437103,-0.077073,0.033309,2024Q2,app_fe_quarter_fe_project_age_bin_fe
