app_id,project_start_date,project_start_year,post_policy_start,original_stage3_classification,stage3_confidence,control_layer,cumulative_control_C0,cumulative_control_C01,cumulative_control_C03,cumulative_control_C05,cumulative_control_C06,regression_group_CONTROL_C0,regression_group_CONTROL_C01,regression_group_CONTROL_C03,regression_group_CONTROL_C05,regression_group_CONTROL_C06,pub_pre24,pub_post24,any_pub_pre24,any_pub_post24,delta_pub24,delta_any_pub24,p1_existing_project_sample,publication_6m,publication_12m,publication_18m,any_publication_6m,any_publication_12m,any_publication_18m,sufficient_followup_6m,sufficient_followup_12m,sufficient_followup_18m,p2_entry_cohort,dmca_strict_21,dmca_main_27,dmca_broad_48,dmca_notice_count,dmca_lineage_count,first_dmca_notice_date,dmca_count_note,stage3_already_rap_modalities,stage3_legacy_route_modalities,schema27_title,schema27_pi,schema27_institution,website_url
431,2013-06-30,2013,0,NEWLY_RAP_BOUND,MEDIUM,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,QUESTIONNAIRES_ASSESSMENT,"Association between shift work and cancer, vascular disease and other diseases",Dr Ruth Travis,University of Oxford,https://www.ukbiobank.ac.uk/projects/association-between-shift-work-and-cancer-vascular-disease-and-other-diseases/
522,2013-07-01,2013,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,1,0,1,0,-1,-1,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,IMAGING,Retinal vessel morphology as a predictor of cardiovascular risk and disease outcome in later life,Professor Alicja Rudnicka,"City St George's, University of London",https://www.ukbiobank.ac.uk/projects/retinal-vessel-morphology-as-a-predictor-of-cardiovascular-risk-and-disease-outcome-in-later-life/
648,2012-11-01,2012,0,MIXED,HIGH,C1,0,1,1,1,1,excluded_mixed,control_overlap_original_mixed,control_overlap_original_mixed,control_overlap_original_mixed,control_overlap_original_mixed,5,4,1,1,-1,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,WES,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Common and rare genetic variants in respiratory health: the UK Biobank Lung Exome Variant Evaluation (UK BiLEVE) consortium,Professor Martin Tobin,University of Leicester,https://www.ukbiobank.ac.uk/projects/common-and-rare-genetic-variants-in-respiratory-health-the-uk-biobank-lung-exome-variant-evaluation-uk-bileve-consortium/
669,2013-01-01,2013,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,1,0,1,0,-1,-1,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,"Distribution and biological, environmental and lifestyle determinants of visual function and of refractive error in adults (aged 40 to 69 years) in the UK.",Professor Jugnoo Rahi,University College London,https://www.ukbiobank.ac.uk/projects/distribution-and-biological-environmental-and-lifestyle-determinants-of-visual-function-and-of-refractive-error-in-adults-aged-40-to-69-years-in-the-uk/
676,2016-04-01,2016,0,UNCLEAR,LOW,,0,0,0,0,0,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,,Machine learning detection of novel disease correlates,Dr Jeremy Rossman,University of Kent,https://www.ukbiobank.ac.uk/projects/machine-learning-detection-of-novel-disease-correlates/
742,2016-04-01,2016,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,"Understanding the Risk Factors Underlying Sudden Cardiac Death: An Investigation Utilising Bio, Genomic and Clinical Markers by the UK Biobank Cardio-Metabolic Consortium",Professor Elijah Behr,"City St George's, University of London",https://www.ukbiobank.ac.uk/projects/understanding-the-risk-factors-underlying-sudden-cardiac-death-an-investigation-utilising-bio-genomic-and-clinical-markers-by-the-uk-biobank-cardio-metabolic-consortium/
761,2012-09-19,2012,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Risk of type 2 Diabetes and development of disease,Dr Jess Tyrrell,University of Exeter,https://www.ukbiobank.ac.uk/projects/risk-of-type-2-diabetes-and-development-of-disease/
774,2012-11-05,2012,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,1,outside_entry_window,0,0,0,0,0,,,,BIOMARKERS_ASSAYS|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Cross-sectional study to investigate ethnic differences in cardiovascular risk and mental health,Professor Jill Pell,University of Glasgow,https://www.ukbiobank.ac.uk/projects/cross-sectional-study-to-investigate-ethnic-differences-in-cardiovascular-risk-and-mental-health/
788,2013-02-01,2013,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,3,3,1,1,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,ENVIRONMENT_GEOSPATIAL|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Heritability of disease frequency,Professor Albert Tenesa,UK Biobank Ltd,https://www.ukbiobank.ac.uk/projects/heritability-of-disease-frequency/
828,2015-07-13,2015,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,GENOTYPING_IMPUTATION,Evaluating variants in cancer predisposition genes for improved clinical interpretation,Professor Nazneen Rahman,Institute of Cancer Research,https://www.ukbiobank.ac.uk/projects/evaluating-variants-in-cancer-predisposition-genes-for-improved-clinical-interpretation/
