family_id,family_status,lineage_count,lineage_ids,source_repositories,candidate_application_count,supported_or_ambiguous_application_count,candidate_application_ids,supported_or_ambiguous_application_ids,confirmed_rows,probable_rows,ambiguous_rows,candidate_rows,weak_candidate_rows,new_unique_candidate_count_beyond_52
family_test-exposome-aging-ukb,weak_candidate_only,1,lineage_okoropaulc_test_exposome_aging_ukb,okoropaulc/test_exposome_aging_ukb,20,0,17346; 21988; 55337; 56317; 58743; 61031; 92392; 103990; 104745; 111780; 124348; 144915; 176768; 182419; 533098; 784728; 875732; 1037112; 1055001; 1184286,,0,0,0,0,20,20
family_transconnectome_ukb,weak_candidate_only,1,lineage_transconnectome_ukb,Transconnectome/UKB,20,0,12653; 21988; 54717; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
family_udip-vit,weak_candidate_only,1,lineage_cind_udip-vit,cind/UDIP-ViT,20,0,4372; 17847; 18177; 20272; 21743; 21988; 27412; 28174; 30537; 32360; 32677; 34201; 41250; 41798; 42195; 54176; 103076; 129007; 1061562; 1073074,,0,0,0,0,20,20
family_uk-biobank-gcg,weak_candidate_only,1,lineage_sblg_uk-biobank-gcg,sblg/UK-Biobank-GCG,20,0,8786; 12598; 21988; 23203; 53995; 56902; 61054; 63871; 98633; 100235; 100242; 101971; 837135; 876403; 988999; 1000805; 1001139; 1001461; 1002450; 1054981,,0,0,0,0,20,19
family_uk-biobank-study-1,probable,1,lineage_xx2383_uk-biobank-study-1,xx2383/UK-Biobank-study-1,21,1,21988; 84709; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,84709,0,1,0,0,20,20
family_uk-biobank-survival,weak_candidate_only,2,lineage_gerstung-lab_uk_biobank_survival; lineage_rrrrrs1_uk_biobank_survival,gerstung-lab/uk_biobank_survival; rrrrrs1/uk_biobank_survival,22,0,3071; 5445; 7441; 12653; 19115; 21988; 24321; 26002; 40573; 53026; 53618; 54124; 64658; 65833; 80005; 92257; 127327; 220691; 421320; 532367; 699845; 1198490,,0,0,0,0,40,22
family_ukb-api,weak_candidate_only,2,lineage_batmanlab_ukb_api; lineage_tighu20_ukb_api,batmanlab/ukb_api; tighu20/ukb_api,20,0,14095; 16066; 32341; 33087; 35916; 37489; 40502; 43384; 51830; 60294; 61255; 63653; 72673; 77717; 88003; 171264; 177151; 1140414; 1183297; 1290541,,0,0,0,0,40,20
family_ukb-atherosclerosis-prediction,weak_candidate_only,1,lineage_omrigruman_ukb-atherosclerosis-prediction,OmriGruman/ukb-atherosclerosis-prediction,20,0,8447; 21988; 27081; 31269; 33923; 35520; 48012; 55274; 62174; 71274; 83990; 89885; 147093; 446734; 689286; 690603; 1052953; 1097167; 1121952; 1130183,,0,0,0,0,20,19
family_ukb-bioage-cancer,weak_candidate_only,1,lineage_becomingcc_ukb_bioage_cancer,becomingcc/UKB_bioage_cancer,20,0,16124; 21988; 22224; 32011; 32292; 34763; 41934; 51784; 54239; 55274; 56648; 68485; 87759; 101888; 150673; 220754; 532689; 597553; 904780; 1092876,,0,0,0,0,20,19
family_ukb-bmi,weak_candidate_only,1,lineage_mariaratnasamy_ukb_bmi,mariaratnasamy/ukb_bmi,20,0,10074; 15293; 15697; 27317; 28525; 40415; 47618; 60239; 68400; 69972; 90060; 93604; 101819; 141529; 221713; 249065; 254674; 379418; 752310; 1038754,,0,0,0,0,20,20
family_ukb-brain-symptoms-clustering,weak_candidate_only,1,lineage_ajpag_ukb-brain-symptoms-clustering,ajpag/ukb-brain-symptoms-clustering,20,0,18177; 30544; 33002; 35944; 37212; 51518; 75946; 82382; 82664; 100773; 106345; 282742; 346418; 933830; 946023; 1055001; 1094875; 1108406; 1155585; 1215961,,0,0,0,0,20,20
family_ukb-cancer-24h,weak_candidate_only,1,lineage_owain-s_ukb-cancer-24h,Owain-S/ukb-cancer-24h,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_ukb-download-and-prep-template,ambiguous,3,lineage_iff-0303_ukb_download_and_prep_template; lineage_jacob-x_ukb_download_and_prep_template; lineage_lenamax2355_ukb_download_and_prep_template,IFF-0303/ukb_download_and_prep_template; Jacob-X/ukb_download_and_prep_template; lenamax2355/ukb_download_and_prep_template,40,1,17351; 21988; 33087; 43983; 48008; 48049; 51830; 53775; 54520; 65592; 67095; 67263; 73507; 82056; 85457; 86879; 93085; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 105731; 106460; 107083; 843724; 1000805; 1001139; 1001461; 1002450; 1004433; 1023980; 1061558,54520,0,0,1,0,59,40
family_ukb-exome,weak_candidate_only,1,lineage_oxwearables_ukb_exome,OxWearables/ukb_exome,20,0,7089; 9126; 16391; 17810; 21988; 26284; 29890; 49899; 49978; 55532; 68278; 74025; 80917; 84404; 97117; 104381; 171511; 425620; 570174; 1083977,,0,0,0,0,20,20
family_ukb-gen-clocks,weak_candidate_only,1,lineage_euskal-oxcitas-biotek_ukb-gen-clocks,Euskal-Oxcitas-Biotek/UKB-gen-clocks,20,0,761; 9055; 21988; 29256; 31984; 41664; 46631; 51709; 52480; 53308; 65138; 65805; 65912; 74655; 85037; 103122; 176536; 214427; 1025229; 1179999,,0,0,0,0,19,19
family_ukb-gwaspipeline-subcorticalregions,weak_candidate_only,1,lineage_skylerzhou_ukb_gwaspipeline_subcorticalregions,SkylerZhou/UKB_GWASpipeline_SubcorticalRegions,20,0,4372; 17847; 18177; 20272; 21743; 21988; 27412; 28174; 30537; 32360; 32677; 34201; 41250; 41798; 42195; 54176; 103076; 129007; 1061562; 1073074,,0,0,0,0,20,20
family_ukb-idears,ambiguous_multi_application,1,lineage_binfnstats_ukb-idears,binfnstats/ukb-IDEARS,20,20,41664; 51709; 75525; 91995; 93141; 209139; 341475; 423966; 564547; 579398; 639461; 795542; 905766; 1012351; 1029266; 1040154; 1061558; 1063834; 1108389; 1237419,41664; 51709; 75525; 91995; 93141; 209139; 341475; 423966; 564547; 579398; 639461; 795542; 905766; 1012351; 1029266; 1040154; 1061558; 1063834; 1108389; 1237419,0,0,1,19,0,20
family_ukb-nmr-cvd-prediction,weak_candidate_only,1,lineage_yanluocityu_ukb_nmr_cvd_prediction,YanLuoCityU/UKB_NMR_CVD_prediction,20,0,761; 15175; 26981; 30418; 31269; 33923; 46631; 48012; 55274; 57831; 62174; 65805; 65912; 77583; 84980; 90143; 181082; 214427; 446734; 1097167,,0,0,0,0,20,17
family_ukb-oligo,weak_candidate_only,1,lineage_mariaratnasamy_ukb_oligo,mariaratnasamy/ukb_oligo,20,0,5237; 10074; 21988; 40415; 54888; 60294; 74629; 75142; 75616; 96168; 97730; 99685; 106206; 228302; 459270; 809737; 920302; 941072; 1083657; 1312325,,0,0,0,0,20,20
family_ukb-processing-nf,weak_candidate_only,1,lineage_vyaspillai_ukb_processing-nf,VyasPillai/ukb_processing-nf,20,0,14421; 21988; 40518; 48008; 54389; 100235; 100242; 100261; 100274; 100300; 100337; 532913; 1000805; 1001139; 1001461; 1002450; 1007072; 1009710; 1060209; 1114664,,0,0,0,0,20,20
family_ukb-tools,weak_candidate_only,2,lineage_12sbxu_ukb-tools; lineage_magdazeb_ukb-tools,12sbxu/ukb-tools; magdazeb/ukb-tools,20,0,21988; 22224; 27412; 34763; 41934; 51784; 54239; 55274; 56648; 61181; 68485; 78748; 87759; 101888; 150673; 220754; 532689; 597553; 904780; 1092876,,0,0,0,0,40,19
family_ukbanalytica,ambiguous_multi_application,3,lineage_blitz305_ukbanalytica; lineage_hinna0818_ukbanalytica; lineage_lcx777-afk_ukbanalytica,blitz305/UKBAnalytica; Hinna0818/UKBAnalytica; lcx777-afk/UKBAnalytica,40,40,14762; 15168; 18177; 20650; 30603; 31615; 45227; 45340; 51980; 54218; 60434; 60651; 60928; 61147; 61467; 65252; 66813; 67263; 68250; 68353; 69972; 73507; 73759; 75556; 77202; 77717; 79325; 80154; 207159; 412140; 532367; 672457; 822932; 826232; 1061558; 1078387; 1084290; 1146999; 1188902; 1290541,14762; 15168; 18177; 20650; 30603; 31615; 45227; 45340; 51980; 54218; 60434; 60651; 60928; 61147; 61467; 65252; 66813; 67263; 68250; 68353; 69972; 73507; 73759; 75556; 77202; 77717; 79325; 80154; 207159; 412140; 532367; 672457; 822932; 826232; 1061558; 1078387; 1084290; 1146999; 1188902; 1290541,3,0,0,59,0,39
family_ukbb-1,weak_candidate_only,2,lineage_hongyuanwu_ukbb-1; lineage_shicheng-guo_ukbb-1,HongyuanWu/ukbb-1; Shicheng-Guo/ukbb-1,20,0,21988; 48511; 65898; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 182419; 782341; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,40,20
family_ukbb-asthma,weak_candidate_only,2,lineage_keerveer_ukbb_asthma; lineage_swbiggs4_ukbb_asthma,keerveer/ukbb_asthma; swbiggs4/ukbb_asthma,20,0,8389; 17765; 21988; 48511; 56987; 61031; 65027; 65898; 88144; 94757; 102849; 109227; 171293; 172001; 182419; 781063; 782341; 899830; 1000805; 1001139,,0,0,0,0,40,20
family_ukbb-data-r,weak_candidate_only,1,lineage_12sbxu_ukbb_data_r,12sbxu/ukbb_data_r,20,0,21988; 48511; 65898; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 182419; 782341; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
family_ukbb-gwas-dev,weak_candidate_only,2,lineage_ashwinas88_ukbb_gwas_dev; lineage_lingtuo_ukbb_gwas_dev,ashwinas88/UKBB_GWAS_dev; LingTuo/UKBB_GWAS_dev,20,0,236; 19705; 34201; 40415; 40951; 41250; 42195; 44080; 44545; 50141; 53832; 61031; 61744; 74025; 74629; 75038; 99470; 105419; 298563; 1067138,,0,0,0,0,40,20
family_ukbb-risk,ambiguous_multi_application,2,lineage_iff-0303_ukbb_risk; lineage_yayapa_ukbb_risk,IFF-0303/ukbb_risk; yayapa/ukbb_risk,38,20,21988; 30603; 44891; 48511; 51347; 51830; 52569; 56329; 56454; 60520; 63774; 63837; 65898; 73860; 76085; 87802; 90519; 99541; 106247; 109607; 134960; 182419; 208479; 213770; 238831; 775744; 778098; 782341; 784342; 789279; 815678; 823964; 861217; 881679; 940419; 1198490; 1240398; 1248961,30603; 44891; 51347; 51830; 56329; 60520; 73860; 76085; 87802; 90519; 99541; 109607; 134960; 775744; 778098; 784342; 789279; 823964; 881679; 940419,2,0,0,19,20,37
family_ukbbcov2risk,weak_candidate_only,1,lineage_kennethcywong_ukbbcov2risk,kennethcywong/ukbbcov2risk,20,0,21988; 26947; 29755; 32011; 33307; 44578; 46030; 52049; 73374; 75946; 94973; 95478; 101520; 102143; 103758; 109800; 171904; 451358; 663873; 1273151,,0,0,0,0,20,20
family_ukbbmodriskr,weak_candidate_only,1,lineage_rrrrrs1_ukbbmodriskr,rrrrrs1/UKBBModRiskR,20,0,21432; 21988; 48511; 60434; 65252; 65898; 95715; 100235; 100242; 182419; 184384; 242487; 672457; 778108; 782341; 1000805; 1001139; 1001461; 1188902; 1229825,,0,0,0,0,20,20
family_ukbbmriutils,probable,1,lineage_stalicla-rnd_ukbbmriutils,STALICLA-RnD/UkbbMriUtils,21,1,18545; 21988; 30769; 31028; 41849; 45420; 55634; 55787; 61031; 65898; 84436; 89197; 93224; 100203; 100862; 151378; 182419; 383384; 782341; 1125546; 1260524,89197,0,1,0,0,20,20
family_ukbbprodromalpd,weak_candidate_only,2,lineage_samyak1729_ukbbprodromalpd; lineage_tolism_ukbbprodromalpd,samyak1729/ukbbprodromalpd; tolism/ukbbprodromalpd,20,0,11138; 17806; 18177; 21988; 41519; 44290; 56580; 62709; 63653; 65912; 76156; 84368; 84979; 95506; 95599; 141517; 176723; 407461; 570174; 759288,,0,0,0,0,40,20
family_ukbcc,ambiguous_multi_application,2,lineage_kevmanderson_ukbcc; lineage_laura-ponting_ukbcc,kevmanderson/ukbcc; laura-ponting/ukbcc,20,20,761; 11425; 19705; 33087; 45289; 46631; 48405; 51064; 51830; 57189; 59456; 63956; 67263; 73507; 85457; 87480; 92681; 96326; 523060; 532322,761; 11425; 19705; 33087; 45289; 46631; 48405; 51064; 51830; 57189; 59456; 63956; 67263; 73507; 85457; 87480; 92681; 96326; 523060; 532322,2,0,0,38,0,19
family_ukbfrailty,weak_candidate_only,1,lineage_becomingcc_ukbfrailty,becomingcc/ukbfrailty,20,0,4372; 17351; 21988; 24711; 27047; 31461; 32677; 45227; 49351; 49572; 64071; 67095; 79840; 83990; 96361; 107326; 124664; 145447; 1121952; 1175049,,0,0,0,0,20,20
family_ukbgwas,weak_candidate_only,1,lineage_lizhihao1990_ukbgwas,lizhihao1990/ukbgwas,20,0,4372; 16651; 17847; 18177; 19705; 20272; 32677; 40876; 42009; 42195; 43332; 52374; 57910; 68779; 80177; 103076; 103620; 144915; 172188; 1258871,,0,0,0,0,20,20
family_ukbiobank-ecg,weak_candidate_only,1,lineage_suniljmanohar_ukbiobank_ecg,suniljmanohar/UKBiobank_ECG,20,0,21988; 55681; 85092; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 179597; 310771; 491285; 1000805; 1001139; 1001461; 1002450; 1102773; 1131176; 1165149,,0,0,0,0,20,20
family_ukbiobank-knockoffs,weak_candidate_only,2,lineage_luzhangh_ukbiobank_knockoffs; lineage_zren94_ukbiobank_knockoffs,LuZhangH/ukbiobank_knockoffs; zren94/ukbiobank_knockoffs,20,0,16651; 19705; 21988; 27800; 36385; 42009; 43332; 47349; 50141; 52374; 57910; 68779; 80177; 85092; 103620; 144915; 172188; 474802; 491285; 1258871,,0,0,0,0,40,20
family_ukbiobank-strs,weak_candidate_only,1,lineage_yiguiz_ukbiobank_strs,YIGUIz/ukbiobank_strs,20,0,21988; 55681; 85092; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 491285; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
family_ukbiobank-table-conversion,weak_candidate_only,4,lineage_audoushka_ukbiobank-table-conversion; lineage_futurologist_ukbiobank-table-conversion; lineage_jiangaoshan_ukbiobank-table-conversion; lineage_lizhihao1990_ukbiobank-table-conversion,audoushka/UKBiobank-Table-Conversion; futurologist/UKBiobank-Table-Conversion; Jiangaoshan/UKBiobank-Table-Conversion; lizhihao1990/UKBiobank-Table-Conversion,20,0,21988; 55681; 85092; 95872; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 110161; 491285; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,80,20
family_ukbpheno,weak_candidate_only,7,lineage_bakermetabolomics_ukbpheno; lineage_kkukendrarajah_ukbpheno; lineage_magdazeb_ukbpheno; lineage_neri0304_ukbpheno; lineage_stefanogg_ukbpheno; lineage_tafelplankje_ukbpheno; lineage_yuehuang-gh_ukbpheno,BakerMetabolomics/ukbpheno; kkukendrarajah/ukbpheno; magdazeb/ukbpheno; Neri0304/ukbpheno; stefanogg/ukbpheno; Tafelplankje/ukbpheno; yuehuang-gh/ukbpheno,20,0,21394; 21988; 30418; 52569; 75142; 84980; 90143; 104659; 148828; 200249; 907097; 915665; 964172; 988975; 1090583; 1103187; 1128609; 1140390; 1158877; 1244343,,0,0,0,0,140,19
family_ukbphenotyping,weak_candidate_only,1,lineage_hoffman2_ukbphenotyping,hoffman2/ukbPhenotyping,20,0,11193; 17379; 21988; 25308; 30397; 40876; 45477; 53246; 58244; 66440; 68018; 80337; 82779; 103727; 107083; 117308; 158652; 398221; 1088582; 1220990,,0,0,0,0,20,20
family_ukbython,confirmed,1,lineage_adamelkholyy_ukbython,adamelkholyy/ukbython,1,1,103356,103356,1,0,0,0,0,0
family_uthesis,weak_candidate_only,1,lineage_michaelguo1204_uthesis,michaelGuo1204/UThesis,20,0,19947; 21988; 28807; 32683; 33952; 41311; 45624; 45994; 59456; 61020; 68640; 76966; 77583; 78949; 87530; 104980; 135228; 240789; 677075; 1065151,,0,0,0,0,20,20
family_viciousjoon_ukbiobank,weak_candidate_only,1,lineage_viciousjoon_ukbiobank,viciousjoon/ukbiobank,20,0,3071; 4372; 17847; 18177; 20272; 21988; 28174; 32677; 34201; 42195; 54176; 77596; 85092; 90221; 92257; 92363; 103076; 491285; 611093; 641439,,0,0,0,0,20,20
family_xander-y_ukb,weak_candidate_only,1,lineage_xander-y_ukb,Xander-Y/ukb,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_zczali4403_001,weak_candidate_only,1,lineage_zczali4403_001,zczali4403/001,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_zeigar_ukb,weak_candidate_only,1,lineage_zeigar_ukb,Zeigar/UKB,20,0,12653; 21988; 54717; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
family_zhishenppp_ukbb,weak_candidate_only,1,lineage_zhishenppp_ukbb,zhishenPPP/ukbb,20,0,21988; 48511; 65851; 65898; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 182419; 782341; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
family_zhishenppp_ukbiobank,confirmed,1,lineage_zhishenppp_ukbiobank,zhishenPPP/UKBiobank,21,1,21988; 55681; 56757; 65851; 85092; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 491285; 1000805; 1001139; 1001461; 1002450; 1004433,56757,1,0,0,0,20,20
family_zoonono_ukb,weak_candidate_only,1,lineage_zoonono_ukb,zoonono/UKB,20,0,12653; 21988; 54717; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
