family_id,family_status,lineage_count,lineage_ids,source_repositories,candidate_application_count,supported_or_ambiguous_application_count,candidate_application_ids,supported_or_ambiguous_application_ids,confirmed_rows,probable_rows,ambiguous_rows,candidate_rows,weak_candidate_rows,new_unique_candidate_count_beyond_52
family_genetic-annotation-aware-dimensionality-reduction-in-uk-biobank,weak_candidate_only,1,lineage_aishaalsuwaidi_genetic-annotation-aware-dimensionality-reduction-in-uk-biobank,AishaAlsuwaidi/Genetic-annotation-aware-dimensionality-reduction-in-UK-Biobank,20,0,21988; 34217; 37539; 70023; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 144802; 254345; 1000805; 1001139; 1001461; 1002450; 1084623,,0,0,0,0,20,20
family_genetic-association,weak_candidate_only,1,lineage_swadha22_genetic_association,Swadha22/Genetic_association,20,0,236; 1602; 6728; 11425; 15697; 17731; 21988; 23509; 25953; 36385; 42176; 47349; 71870; 72298; 104766; 153368; 211468; 276802; 407461; 456965,,0,0,0,0,20,20
family_genetic-survival-analysis-in-ukb,ambiguous_multi_application,1,lineage_tenayatherapeutics_genetic-survival-analysis-in-ukb,tenayatherapeutics/Genetic-Survival-Analysis-in-UKB,20,20,16097; 16577; 19542; 33896; 44290; 56859; 57266; 58919; 60434; 69196; 77512; 82416; 84103; 93173; 104811; 104980; 106223; 692259; 903785; 1012028,16097; 16577; 19542; 33896; 44290; 56859; 57266; 58919; 60434; 69196; 77512; 82416; 84103; 93173; 104811; 104980; 106223; 692259; 903785; 1012028,1,0,1,18,0,18
family_genotype-errors,weak_candidate_only,1,lineage_sylviah23_genotype-errors,sylviah23/genotype-errors,20,0,21988; 55681; 85092; 98772; 100014; 100235; 100242; 100261; 100274; 100300; 100316; 100337; 103789; 491285; 1000805; 1001139; 1001461; 1002450; 1002478; 1088962,,0,0,0,0,20,20
family_gogogpcr,confirmed,2,lineage_deepgohil_gogogpcr; lineage_petergerlach1_gogogpcr,deepgohil/gogoGPCR; petergerlach1/gogoGPCR,20,1,5237; 10074; 19947; 21988; 24299; 27960; 28659; 29890; 40415; 40462; 41910; 42646; 55955; 59528; 74629; 96168; 97117; 228302; 459270; 1083657,55955,2,0,0,0,38,19
family_gwas-phenotype,weak_candidate_only,1,lineage_albbaous_gwas_phenotype,albbaous/GWAS_phenotype,20,0,4372; 17847; 18177; 20272; 21743; 21988; 27412; 28174; 30537; 32360; 32677; 34201; 41250; 41798; 42195; 54176; 103076; 129007; 1061562; 1073074,,0,0,0,0,20,20
family_gxsex,confirmed,1,lineage_harpak-lab_gxsex,harpak-lab/GxSex,20,1,9072; 24487; 30544; 42009; 43332; 48335; 48422; 51518; 52374; 57910; 60520; 61666; 66377; 75946; 80177; 90143; 238831; 654669; 1006787; 1078394,61666,1,0,0,0,19,19
family_human-sex-ratio,confirmed,1,lineage_song88180_human_sex_ratio,song88180/Human_sex_ratio,20,1,788; 16549; 21413; 32568; 40560; 42111; 46053; 52374; 57947; 65439; 75946; 99086; 101287; 101520; 102629; 177030; 285049; 663873; 1022258; 1085301,177030,1,0,0,0,19,19
family_idears-orig,weak_candidate_only,1,lineage_mikeallwright23_idears_orig,MikeAllwright23/idears_orig,20,0,17379; 21988; 29772; 30252; 30619; 40951; 42273; 48008; 51663; 53781; 61446; 63533; 81614; 100261; 107065; 290317; 532322; 716346; 827551; 1245359,,0,0,0,0,20,20
family_iff-0303_001,weak_candidate_only,1,lineage_iff-0303_001,IFF-0303/001,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_im,weak_candidate_only,1,lineage_laura-riedel_im,laura-riedel/IM,20,0,14762; 21942; 21988; 27081; 31224; 31269; 35667; 41664; 48012; 50658; 51709; 53308; 54124; 59571; 83990; 100773; 308132; 1064514; 1121952; 1252926,,0,0,0,0,20,20
family_imds-wes,ambiguous_multi_application,2,lineage_jjrun-11_imds_wes; lineage_sirius-yang_imds_wes,jjrun-11/IMDs_WES; Sirius-Yang/IMDs_WES,40,20,9616; 19542; 21988; 29755; 33307; 43769; 47832; 54336; 56902; 58743; 59528; 70483; 71870; 72821; 74025; 75946; 77050; 78210; 78635; 83942; 85253; 86898; 93379; 95030; 95599; 99135; 100014; 103053; 107825; 116200; 151425; 171904; 184425; 190984; 276785; 317703; 451358; 673794; 1203422; 1273151,9616; 19542; 54336; 56902; 70483; 71870; 72821; 74025; 78210; 85253; 93379; 95030; 95599; 100014; 107825; 116200; 276785; 317703; 673794; 1203422,2,0,0,19,20,39
family_jiangweixia_001,weak_candidate_only,1,lineage_jiangweixia_001,jiangweixia/001,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_jm-gwas,weak_candidate_only,4,lineage_pebblets_jm-gwas; lineage_sandyyy123_jm-gwas; lineage_xiechengyong123_jm-gwas; lineage_zerland_jm-gwas,pebblets/JM-GWAS; Sandyyy123/JM-GWAS; xiechengyong123/JM-GWAS; zerland/JM-GWAS,20,0,4372; 10214; 15479; 17847; 18177; 30350; 32677; 33601; 42195; 42423; 43920; 53061; 53639; 78563; 100359; 101336; 103608; 272827; 1061562; 1203422,,0,0,0,0,80,20
family_jooooooooey_ukb,weak_candidate_only,1,lineage_jooooooooey_ukb,Jooooooooey/ukb,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_junnh_ukbb,weak_candidate_only,1,lineage_junnh_ukbb,Junnh/UKBB,20,0,21988; 32133; 40436; 46114; 47279; 50461; 65898; 77596; 92363; 94113; 94918; 97062; 182419; 240801; 338173; 611093; 641439; 782341; 1009710; 1147329,,0,0,0,0,20,20
family_keloids-clustering,ambiguous,1,lineage_anirudhj05_keloids_clustering,anirudhj05/Keloids_Clustering,20,1,19444; 19746; 33087; 51830; 59456; 83974; 85457; 86776; 101819; 101959; 146079; 179760; 190984; 206855; 523060; 713374; 762904; 843724; 1069778; 1104420,146079,0,0,1,0,19,20
family_latinos-in-ukbb,weak_candidate_only,1,lineage_huytrain42_latinos-in-ukbb,huytrain42/Latinos-in-UKBB,20,0,21988; 48511; 65898; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 182419; 782341; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
family_lizhihao1990_ukbb,weak_candidate_only,1,lineage_lizhihao1990_ukbb,lizhihao1990/ukbb,20,0,21988; 48511; 65898; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 182419; 782341; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
family_lld2018_001,weak_candidate_only,1,lineage_lld2018_001,LLD2018/001,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_longitudinal-data,weak_candidate_only,1,lineage_astrazheng_longitudinal-data,AstraZheng/Longitudinal-data,20,0,21988; 25570; 35826; 66128; 69022; 81680; 89483; 89871; 92288; 103727; 147093; 148925; 211772; 341475; 494920; 506132; 606781; 786675; 899830; 1050006,,0,0,0,0,20,20
family_lronan_ukb,weak_candidate_only,1,lineage_lronan_ukb,lronan/UKB,20,0,12653; 21988; 54717; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
family_main-pipeline-and-images-based-models-pipeline-deep-learning-and-aging-main-pipeline-and-images-based-models-pipeline,confirmed,1,lineage_deep-learning-and-aging_main-pipeline-and-images-based-models-pipeline,deep-learning-and-aging/main-pipeline-and-images-based-models-pipeline; Deep-Learning-and-Aging/Main-pipeline-and-Images-based-models-pipeline,20,1,17346; 27081; 33751; 41664; 43140; 52887; 54124; 55964; 56236; 75310; 87802; 100773; 101900; 103990; 182419; 200882; 533098; 568177; 597553; 1064514,52887,2,0,0,0,38,18
family_margulies_ukb,weak_candidate_only,1,lineage_margulies_ukb,margulies/UKB,20,0,12653; 21988; 54717; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
family_master-thesis,weak_candidate_only,1,lineage_nickathans_master-thesis,nickathans/master-thesis,20,0,21988; 41471; 41519; 42021; 45420; 55787; 56145; 62249; 77916; 77959; 84064; 94956; 100203; 102655; 164589; 383384; 654669; 751650; 959222; 1187254,,0,0,0,0,20,20
