family_id,lineage_id,repo_url,repo_owner,repo_name,application_id,application_title,matching_status,confidence,confidence_group,evidence_level,evidence_type,doi,pmid,paper_title,author_pi_institution_evidence,evidence_urls,reviewer_notes,existing_or_new_match,new_unique_beyond_current_52,candidate_rank,match_score,raw_match_grade,lineage_source_repo
family_amml-disentangling-structure-from-detail,lineage_danilaydh_amml-disentangling-structure-from-detail,https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail,danilayDH,AMML-Disentangling-Structure-from-Detail,27960,Population structure in the UK Biobank samples,weak_candidate,very_low,weak_candidate,C,weak topic/path/data-type evidence,,,,Professor Simon Myers; University of Oxford,https://github.com/github/dmca/blob/master/2026/04/2026-04-01-uk-biobank-5.md; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/2269c046fdd87d343a9effe4faf72663ba670a24/src/ukbb_small.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni_small.csv; https://raw.githubusercontent.com/danilayDH/AMML-Disentangling-Structure-from-Detail/c3453b40fe3e38cb528b07449736a66470d991ed/src/ukbb.csv,lower-ranked weak automated candidate retained for transparency; Alternative candidate retained for audit.,new_exhaustive_attribution_candidate,1,2,10.67,candidate,danilayDH/AMML-Disentangling-Structure-from-Detail
family_amml-disentangling-structure-from-detail,lineage_danilaydh_amml-disentangling-structure-from-detail,https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail,danilayDH,AMML-Disentangling-Structure-from-Detail,14649,Finding and characterizing latent genetic sub-structure,weak_candidate,very_low,weak_candidate,C,weak topic/path/data-type evidence,,,,Dr Nicolo Fusi; Microsoft Corporation,https://github.com/github/dmca/blob/master/2026/04/2026-04-01-uk-biobank-5.md; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/2269c046fdd87d343a9effe4faf72663ba670a24/src/ukbb_small.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni_small.csv; https://raw.githubusercontent.com/danilayDH/AMML-Disentangling-Structure-from-Detail/c3453b40fe3e38cb528b07449736a66470d991ed/src/ukbb.csv,lower-ranked weak automated candidate retained for transparency; Alternative candidate retained for audit.,new_exhaustive_attribution_candidate,1,3,9.6,candidate,danilayDH/AMML-Disentangling-Structure-from-Detail
family_amml-disentangling-structure-from-detail,lineage_danilaydh_amml-disentangling-structure-from-detail,https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail,danilayDH,AMML-Disentangling-Structure-from-Detail,21988,The project of Quantum Pharmacutical company (q-pharm.com),weak_candidate,very_low,weak_candidate,C,weak topic/path/data-type evidence,,,,Dr Peter Fedichev; Gero Pte Ltd.,https://github.com/github/dmca/blob/master/2026/04/2026-04-01-uk-biobank-5.md; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/2269c046fdd87d343a9effe4faf72663ba670a24/src/ukbb_small.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni_small.csv; https://raw.githubusercontent.com/danilayDH/AMML-Disentangling-Structure-from-Detail/c3453b40fe3e38cb528b07449736a66470d991ed/src/ukbb.csv,lower-ranked weak automated candidate retained for transparency; Alternative candidate retained for audit.,new_exhaustive_attribution_candidate,1,4,9.6,candidate,danilayDH/AMML-Disentangling-Structure-from-Detail
family_amml-disentangling-structure-from-detail,lineage_danilaydh_amml-disentangling-structure-from-detail,https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail,danilayDH,AMML-Disentangling-Structure-from-Detail,811724,Exploring the Genetic Basis of Obesity and Cardiac Structure,weak_candidate,very_low,weak_candidate,C,weak topic/path/data-type evidence,,,,The First Affiliated Hospital of University of Science and Technology of China (Anhui Provincial Hospital),https://github.com/github/dmca/blob/master/2026/04/2026-04-01-uk-biobank-5.md; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/2269c046fdd87d343a9effe4faf72663ba670a24/src/ukbb_small.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni_small.csv; https://raw.githubusercontent.com/danilayDH/AMML-Disentangling-Structure-from-Detail/c3453b40fe3e38cb528b07449736a66470d991ed/src/ukbb.csv,lower-ranked weak automated candidate retained for transparency; Alternative candidate retained for audit.,new_exhaustive_attribution_candidate,1,5,9.6,candidate,danilayDH/AMML-Disentangling-Structure-from-Detail
family_amml-disentangling-structure-from-detail,lineage_danilaydh_amml-disentangling-structure-from-detail,https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail,danilayDH,AMML-Disentangling-Structure-from-Detail,84541,The impact of population structure on biomedical outcomes in the UK Biobank,weak_candidate,very_low,weak_candidate,C,weak topic/path/data-type evidence,,,,Professor Eimear Kenny; Icahn School of Medicine at Mount Sinai,https://github.com/github/dmca/blob/master/2026/04/2026-04-01-uk-biobank-5.md; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/2269c046fdd87d343a9effe4faf72663ba670a24/src/ukbb_small.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni_small.csv; https://raw.githubusercontent.com/danilayDH/AMML-Disentangling-Structure-from-Detail/c3453b40fe3e38cb528b07449736a66470d991ed/src/ukbb.csv,lower-ranked weak automated candidate retained for transparency; Alternative candidate retained for audit.,new_exhaustive_attribution_candidate,1,6,9.6,candidate,danilayDH/AMML-Disentangling-Structure-from-Detail
family_amml-disentangling-structure-from-detail,lineage_danilaydh_amml-disentangling-structure-from-detail,https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail,danilayDH,AMML-Disentangling-Structure-from-Detail,87031,Influence of cardiovascular risk on brain structure and function,weak_candidate,very_low,weak_candidate,C,weak topic/path/data-type evidence,,,,Dr Paul Edison; Imperial College London,https://github.com/github/dmca/blob/master/2026/04/2026-04-01-uk-biobank-5.md; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/2269c046fdd87d343a9effe4faf72663ba670a24/src/ukbb_small.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni_small.csv; https://raw.githubusercontent.com/danilayDH/AMML-Disentangling-Structure-from-Detail/c3453b40fe3e38cb528b07449736a66470d991ed/src/ukbb.csv,lower-ranked weak automated candidate retained for transparency; Alternative candidate retained for audit.,new_exhaustive_attribution_candidate,1,7,9.6,candidate,danilayDH/AMML-Disentangling-Structure-from-Detail
family_amml-disentangling-structure-from-detail,lineage_danilaydh_amml-disentangling-structure-from-detail,https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail,danilayDH,AMML-Disentangling-Structure-from-Detail,104017,Brain structure and connectivity - links to metabolic health and diabetes,weak_candidate,very_low,weak_candidate,C,weak topic/path/data-type evidence,,,,Ulm University,https://github.com/github/dmca/blob/master/2026/04/2026-04-01-uk-biobank-5.md; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/2269c046fdd87d343a9effe4faf72663ba670a24/src/ukbb_small.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni_small.csv; https://raw.githubusercontent.com/danilayDH/AMML-Disentangling-Structure-from-Detail/c3453b40fe3e38cb528b07449736a66470d991ed/src/ukbb.csv,lower-ranked weak automated candidate retained for transparency; Alternative candidate retained for audit.,new_exhaustive_attribution_candidate,1,8,9.33,candidate,danilayDH/AMML-Disentangling-Structure-from-Detail
family_amml-disentangling-structure-from-detail,lineage_danilaydh_amml-disentangling-structure-from-detail,https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail,danilayDH,AMML-Disentangling-Structure-from-Detail,127971,Inflammation and Brain Structure in Alzheimer's disease and Other Neurodegenerative Disease,weak_candidate,very_low,weak_candidate,C,weak topic/path/data-type evidence,,,,The Second Affiliated Hospital of Wannan Medical College,https://github.com/github/dmca/blob/master/2026/04/2026-04-01-uk-biobank-5.md; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/2269c046fdd87d343a9effe4faf72663ba670a24/src/ukbb_small.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni_small.csv; https://raw.githubusercontent.com/danilayDH/AMML-Disentangling-Structure-from-Detail/c3453b40fe3e38cb528b07449736a66470d991ed/src/ukbb.csv,lower-ranked weak automated candidate retained for transparency; Alternative candidate retained for audit.,new_exhaustive_attribution_candidate,1,9,9.33,candidate,danilayDH/AMML-Disentangling-Structure-from-Detail
family_amml-disentangling-structure-from-detail,lineage_danilaydh_amml-disentangling-structure-from-detail,https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail,danilayDH,AMML-Disentangling-Structure-from-Detail,34763,Genetic analyses of age-of-onset in cerebral small vessel disease,weak_candidate,very_low,weak_candidate,C,weak topic/path/data-type evidence,,,,Dr Guido Falcone; Yale University,https://github.com/github/dmca/blob/master/2026/04/2026-04-01-uk-biobank-5.md; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/2269c046fdd87d343a9effe4faf72663ba670a24/src/ukbb_small.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni_small.csv; https://raw.githubusercontent.com/danilayDH/AMML-Disentangling-Structure-from-Detail/c3453b40fe3e38cb528b07449736a66470d991ed/src/ukbb.csv,lower-ranked weak automated candidate retained for transparency; Alternative candidate retained for audit.,new_exhaustive_attribution_candidate,1,10,9.33,candidate,danilayDH/AMML-Disentangling-Structure-from-Detail
family_amml-disentangling-structure-from-detail,lineage_danilaydh_amml-disentangling-structure-from-detail,https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail,danilayDH,AMML-Disentangling-Structure-from-Detail,532754,Identifying causal pathways in cerebral small vessel disease,weak_candidate,very_low,weak_candidate,C,weak topic/path/data-type evidence,,,,Imperial College London,https://github.com/github/dmca/blob/master/2026/04/2026-04-01-uk-biobank-5.md; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/2269c046fdd87d343a9effe4faf72663ba670a24/src/ukbb_small.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni.csv; https://github.com/danilayDH/AMML-Disentangling-Structure-from-Detail/blob/e6b4e4b8ec7f00bfc1119ad698a7cef0303a6af0/src/adni_small.csv; https://raw.githubusercontent.com/danilayDH/AMML-Disentangling-Structure-from-Detail/c3453b40fe3e38cb528b07449736a66470d991ed/src/ukbb.csv,lower-ranked weak automated candidate retained for transparency; Alternative candidate retained for audit.,new_exhaustive_attribution_candidate,1,11,9.33,candidate,danilayDH/AMML-Disentangling-Structure-from-Detail
