application_id,application_title,tier,best_matching_status,existing_curated_52,family_ids,repo_urls,evidence_type,confidence_note,included_in_tier_summary
75556,Trans-ethnic genome-wide and exposome-wide association studies of neuroimaging and behavioral phenotypes,Tier 5,candidate,no,family_ukbanalytica,https://github.com/Hinna0818/UKBAnalytica,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
76085,The utility of polygenic risk score (PRS) to identify the risk of gestational diabetes mellitus (GDM) in pregnant women,Tier 5,candidate,no,family_epi-prs; family_ukbb-risk,https://github.com/ghm17/Epi-PRS; https://github.com/tzhang-nmdp/Epi-PRS; https://github.com/yayapa/ukbb_risk,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
76517,A Dynamic Network Approach for the Study of Human Phenotypes using UK Biobank,Tier 5,candidate,no,family_retinapd,https://github.com/lab-smile/RetinaPD,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
77202,Development of training resources and example notebooks for RAP users,Tier 5,candidate,no,family_ukbanalytica,https://github.com/Hinna0818/UKBAnalytica,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
77512,Association of psychiatric disorders with subsequent colorectal cancer: prospective cohort study of UK Biobank participants,Tier 5,candidate,no,family_genetic-survival-analysis-in-ukb,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
77583,A combined risk prediction model for type 1 diabetes mellitus,Tier 5,candidate,no,family_diabetes-prediction; family_t2dm-ukb-predictions; family_ukb-nmr-cvd-prediction; family_uthesis,https://github.com/Haileygu99/diabetes_prediction; https://github.com/yochaiedlitz/T2DM_UKB_predictions; https://github.com/YanLuoCityU/UKB_NMR_CVD_prediction; https://github.com/michaelGuo1204/UThesis,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
77717,Learning disease characteristics from multi-modal data for precision medicine,Tier 5,candidate,no,family_sas-sample-extraction; family_ukb-api; family_ukbanalytica,https://github.com/samarpita-saha293/SAS_sample_extraction; https://github.com/batmanlab/ukb_api; https://github.com/tighu20/ukb_api; https://github.com/blitz305/UKBAnalytica; https://github.com/lcx777-afk/UKBAnalytica,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
78210,Replication of candidate genes associated with Parkinon's disease and cutaneous malignant melanoma using whole-exome sequencing data.,Tier 5,candidate,no,family_imds-wes,https://github.com/Sirius-Yang/IMDs_WES,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
78795,Regression methods for phenome-wide association analysis on large-scale biobank data,Tier 5,candidate,no,family_shapeit5,https://github.com/odelaneau/shapeit5,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
79237,Distribution and correlation free high-dimensional signal region detection with applications to whole genome association studies,Tier 5,candidate,no,family_shapeit5,https://github.com/odelaneau/shapeit5,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
79325,Application of a scalable perturbation algorithm for variable selection in UK Biobank data,Tier 5,candidate,no,family_ukbanalytica,https://github.com/Hinna0818/UKBAnalytica,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
80154,Project for distribution of Olink data,Tier 5,candidate,no,family_ukbanalytica,https://github.com/Hinna0818/UKBAnalytica,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
80610,"Association between dietary patterns, bone health, cardiovascular disease and mortality",Tier 5,candidate,no,family_retinapd,https://github.com/lab-smile/RetinaPD,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
82002,Machine learning approaches using large-scale multi-omics to create comprehensive views of chronic diseases and long-term effects of coronavirus disease 2019 (COVID-19),Tier 5,candidate,no,family_retinapd,https://github.com/lab-smile/RetinaPD,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
82416,Analyses of genotype-to-phenotype data from the UK Biobank to aid in the  identification and validation of drug targets,Tier 5,candidate,no,family_genetic-survival-analysis-in-ukb,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
83259,Lifestyle and environmental factors in relation to risks of major chronic diseases and mortality.,Tier 5,candidate,no,family_retinapd,https://github.com/lab-smile/RetinaPD,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
83990,Genetic and environmental analysis for disease prediction models,Tier 5,candidate,no,family_evidence-embracing-nm; family_im; family_ukb-atherosclerosis-prediction; family_ukbfrailty,https://github.com/saigerutherford/evidence_embracing_nm; https://github.com/laura-riedel/IM; https://github.com/OmriGruman/ukb-atherosclerosis-prediction; https://github.com/becomingcc/ukbfrailty,supporting identity/topic evidence; weak topic/path/data-type evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
84038,Assessing the role of rare and common variation in human clinical conditions and risk prediction using improved methods for genotype imputation and genetic effect modeling across populations,Tier 5,candidate,no,family_omniprs,https://github.com/biostatShao/OmniPRS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
85139,Untangling Heterogeneity: Deep Normative Model to Detect Brain and Cardiac Anomalies in Individual Level,Tier 5,candidate,no,family_retinapd,https://github.com/lab-smile/RetinaPD,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
85224,Identification of risk factors and construction of early-diagnosis model for predicting the risk of pancreatic cancer in new-onset diabetes population based on UK Biobank data,Tier 5,candidate,no,family_t2dm-ukb-predictions,https://github.com/yochaiedlitz/T2DM_UKB_predictions,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
85253,Genome-wide analysis of mechanosensitive channels in cardiometabolic diseases.,Tier 5,candidate,no,family_imds-wes,https://github.com/Sirius-Yang/IMDs_WES,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
85457,Linking genomic determinants of child development to predictors of ageing and multi-morbidities.,Tier 5,candidate,no,family_keloids-clustering; family_ukb-download-and-prep-template; family_ukbcc,https://github.com/anirudhj05/Keloids_Clustering; https://github.com/lenamax2355/ukb_download_and_prep_template; https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
86321,Investigating a causal relationship between asthma and cardiovascular disease: a mendelian randomisation study,Tier 5,candidate,no,family_anyajacobs_ukbiobank,https://github.com/anyajacobs/UKBiobank,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
87480,Genetic and environment analyses for urological conditions,Tier 5,candidate,no,family_ukbcc,https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
90519,Three natural experiments using the UK Biobank,Tier 5,candidate,no,family_ukbb-risk,https://github.com/yayapa/ukbb_risk,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
91995,"The brain, genetic, and environmental correlates of hearing impairment and its effects on cognition and life quality",Tier 5,candidate,no,family_ukb-idears,https://github.com/binfnstats/ukb-IDEARS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
92681,Methods development for gene-environment interaction analysis on cloud platforms,Tier 5,candidate,no,family_ukbcc,https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
93141,A machine learning platform applied to multi-modal data to uncover risk factors for chronic pain conditions to direct mechanistic studies.,Tier 5,candidate,no,family_ukb-idears,https://github.com/binfnstats/ukb-IDEARS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
93173,Association between exposure to air pollution and acceleration of cognitive decline in adults with Parkinson's Disease,Tier 5,candidate,no,family_genetic-survival-analysis-in-ukb; family_t2dm-ukb-predictions,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB; https://github.com/yochaiedlitz/T2DM_UKB_predictions,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
93351,Metabolic syndrome in multiethnic cohort,Tier 5,candidate,no,family_t2dm-ukb-predictions,https://github.com/yochaiedlitz/T2DM_UKB_predictions,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
93379,Identifying non-coding regulatory variants associated with mature B cell neoplasms and B cell mediated autoimmune diseases.,Tier 5,candidate,no,family_imds-wes,https://github.com/Sirius-Yang/IMDs_WES,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
94340,Validation of a breast cancer risk prediction model incorporating a polygenic score for diverse ancestries,Tier 5,candidate,no,family_omniprs,https://github.com/biostatShao/OmniPRS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
95030,Whole genome and exome sequencing to implicate genetic variants in rare dementia syndromes,Tier 5,candidate,no,family_imds-wes; family_shapeit5,https://github.com/Sirius-Yang/IMDs_WES; https://github.com/odelaneau/shapeit5,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
95599,Analyses of IL12B in complex genetic diseases,Tier 5,candidate,no,family_imds-wes; family_ukbbprodromalpd,https://github.com/Sirius-Yang/IMDs_WES; https://github.com/samyak1729/ukbbprodromalpd; https://github.com/tolism/ukbbprodromalpd,supporting identity/topic evidence; weak topic/path/data-type evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
96326,Deep Learning models for predicting phenotypic quantitative traits  from high density genotyping data,Tier 5,candidate,no,family_retinapd; family_sas-sample-extraction; family_ukbcc,https://github.com/lab-smile/RetinaPD; https://github.com/samarpita-saha293/SAS_sample_extraction; https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,supporting identity/topic evidence; weak topic/path/data-type evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
98679,"The associations of genetics, plasma metabolites, and conventional exposures with health outcomes",Tier 5,candidate,no,family_anyajacobs_ukbiobank,https://github.com/anyajacobs/UKBiobank,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
98772,Search for inborn errors of immunity underlying infectious diseases using whole exome and whole genome sequencing data.,Tier 5,candidate,no,family_genotype-errors; family_shapeit5,https://github.com/sylviah23/genotype-errors; https://github.com/odelaneau/shapeit5,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
99541,Assessment of the distribution of variants in genes underlying neuromuscular diseases,Tier 5,candidate,no,family_ukbb-risk,https://github.com/yayapa/ukbb_risk,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
99967,The prediction model of the development and progression of diabetic kidney disease,Tier 5,candidate,no,family_t2dm-ukb-predictions,https://github.com/yochaiedlitz/T2DM_UKB_predictions,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
100014,Whole-genome sequencing studies for disease-related and imaging phenotypes using UKBB data.,Tier 5,candidate,no,family_bis620-2022; family_bis687-capstone-group-8; family_code-examples; family_divergence-pipeline; family_ehr; family_genotype-errors; family_imds-wes; family_mtswirl; family_shapeit5,https://github.com/HankkaMark/bis620.2022; https://github.com/JingnanBai/BIS687-Capstone-group-8; https://github.com/miguelmspereira/code-examples; https://github.com/AdrianHarris96/Divergence_Pipeline; https://github.com/mjfalaguera/EHR; https://github.com/sylviah23/genotype-errors; https://github.com/Sirius-Yang/IMDs_WES; https://github.com/jessicaway/mtSwirl; https://github.com/Victory-Hugo/mtSwirl; https://github.com/odelaneau/shapeit5,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
100274,Universal machine learning model research for Magnetic Resonance(MR) images,Tier 5,candidate,no,family_anyalasagne1_ukbiobank; family_bis620-2022; family_bis687-capstone-group-8; family_biv-volumetric-meshing; family_cancerrisk; family_code-examples; family_cuihuaxia_001; family_data2vec-bert-ukb; family_divergence-pipeline; family_genetic-annotation-aware-dimensionality-reduction-in-uk-biobank; family_genotype-errors; family_iff-0303_001; family_jiangweixia_001; family_jooooooooey_ukb; family_latinos-in-ukbb; family_lizhihao1990_ukbb; family_lld2018_001; family_lronan_ukb; family_margulies_ukb; family_mh-in-ukb; family_mtswirl; family_nanhui2000_ukb; family_nextgen-exomiser-ukb; family_retinapd; family_rick-chen-pku_001; family_rooty29_ukbiobank; family_smiles2011hyc_001; family_t2dm-ukb-predictions; family_takdrift_001; family_transconnectome_ukb; family_uk-biobank-study-1; family_ukb-cancer-24h; family_ukb-download-and-prep-template; family_ukb-processing-nf; family_ukbb-1; family_ukbb-data-r; family_ukbiobank-ecg; family_ukbiobank-strs; family_ukbiobank-table-conversion; family_xander-y_ukb; family_zczali4403_001; family_zeigar_ukb; family_zhishenppp_ukbb; family_zhishenppp_ukbiobank; family_zoonono_ukb,https://github.com/anyalasagne1/UKBiobank; https://github.com/HankkaMark/bis620.2022; https://github.com/JingnanBai/BIS687-Capstone-group-8; https://github.com/kiwixiao/biv-volumetric-meshing; https://github.com/alexwjung/CancerRisk; https://github.com/miguelmspereira/code-examples; https://github.com/CuihuaXia/001; https://github.com/alatteaday/data2vec_bert_ukb; https://github.com/AdrianHarris96/Divergence_Pipeline; https://github.com/AishaAlsuwaidi/Genetic-annotation-aware-dimensionality-reduction-in-UK-Biobank; https://github.com/sylviah23/genotype-errors; https://github.com/IFF-0303/001; https://github.com/jiangweixia/001; https://github.com/Jooooooooey/ukb; https://github.com/huytrain42/Latinos-in-UKBB; https://github.com/lizhihao1990/ukbb; https://github.com/LLD2018/001; https://github.com/lronan/UKB; https://github.com/margulies/UKB; https://github.com/tongluobing/MH_in_UKB; https://github.com/jessicaway/mtSwirl; https://github.com/Victory-Hugo/mtSwirl; https://github.com/nanhui2000/ukb; https://github.com/martadelfino/nextgen-exomiser-ukb; https://github.com/lab-smile/RetinaPD; https://github.com/Rick-Chen-PKU/001; https://github.com/Rooty29/UKBiobank; https://github.com/smiles2011hyc/001; https://github.com/Farida-Ali/T2DM_UKB_predictions; https://github.com/Takdrift/001; https://github.com/Transconnectome/UKB; https://github.com/xx2383/UK-Biobank-study-1; https://github.com/Owain-S/ukb-cancer-24h; https://github.com/IFF-0303/ukb_download_and_prep_template; https://github.com/Jacob-X/ukb_download_and_prep_template; https://github.com/VyasPillai/ukb_processing-nf; https://github.com/HongyuanWu/ukbb-1; https://github.com/Shicheng-Guo/ukbb-1; https://github.com/12sbxu/ukbb_data_r; https://github.com/suniljmanohar/UKBiobank_ECG; https://github.com/YIGUIz/ukbiobank_strs; https://github.com/audoushka/UKBiobank-Table-Conversion; https://github.com/futurologist/UKBiobank-Table-Conversion; https://github.com/Jiangaoshan/UKBiobank-Table-Conversion; https://github.com/lizhihao1990/UKBiobank-Table-Conversion; https://github.com/Xander-Y/ukb; https://github.com/zczali4403/001; https://github.com/Zeigar/UKB; https://github.com/zhishenPPP/ukbb; https://github.com/zhishenPPP/UKBiobank; https://github.com/zoonono/UKB,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
101622,Fairness in clinical prediction models for cancer,Tier 5,candidate,no,family_evidence-embracing-nm,https://github.com/saigerutherford/evidence_embracing_nm,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
104784,Phenotypic and genetic associations between chronic diseases in the UK Biobank cohort.,Tier 5,candidate,no,family_anyajacobs_ukbiobank; family_bio-machinelearning,https://github.com/anyajacobs/UKBiobank; https://github.com/Apostolos00tapsas/bio-machinelearning,supporting identity/topic evidence; weak topic/path/data-type evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
104980,Using UK Biobank data to support discovery research and drug development at Chugai,Tier 5,candidate,no,family_genetic-survival-analysis-in-ukb; family_uthesis,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB; https://github.com/michaelGuo1204/UThesis,supporting identity/topic evidence; weak topic/path/data-type evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
106223,An integrated biopsychosocial approach to identify shared mechanisms underlying major psychiatric and neurodegenerative disorders,Tier 5,candidate,no,family_genetic-survival-analysis-in-ukb; family_t2dm-ukb-predictions,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB; https://github.com/yochaiedlitz/T2DM_UKB_predictions,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
107825,A diseases prediction model based on common variants (polygenic risk score) and rare variants (variant weighted gene burden scores) in whole exome sequencing data,Tier 5,candidate,no,family_imds-wes; family_shapeit5,https://github.com/Sirius-Yang/IMDs_WES; https://github.com/odelaneau/shapeit5,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
109607,Assessment and prediction of early neurodegenerative diseases and dementia,Tier 5,candidate,no,family_metabolomicscommondiseases; family_ukbb-risk,https://github.com/chengluomilk/MetabolomicsCommonDiseases; https://github.com/YanLuoCityU/MetabolomicsCommonDiseases; https://github.com/zlpsophina/MetabolomicsCommonDiseases; https://github.com/yayapa/ukbb_risk,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
115757,"Investigating Food-Drug Interactions for Cardiometabolic Disease Risks Using Machine Learning, Mendelian Randomization, and PBPK Models",Tier 5,candidate,no,family_evidence-embracing-nm,https://github.com/saigerutherford/evidence_embracing_nm,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
116200,Influences of rare non-protein-coding genetic variants across the phenome,Tier 5,candidate,no,family_biomarkers; family_biomarkers-beautfig; family_imds-wes,https://github.com/Eugene-xyHe/biomarkers; https://github.com/IFF-0303/biomarkers; https://github.com/JujiaoKang/biomarkers; https://github.com/julyfish711/biomarkers; https://github.com/lenamax2355/biomarkers; https://github.com/Ran485/biomarkers; https://github.com/Shicheng-Guo/biomarkers; https://github.com/smiles2011hyc/biomarkers; https://github.com/K-zhangfengwei/biomarkers_beautfig; https://github.com/Sirius-Yang/IMDs_WES,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
134960,"Artificial intelligence (AI) and radiomics for cardiac and brain magnetic resonance based imaging analysis: artifact reduction, quality assessment and interaction between cardiac and brain",Tier 5,candidate,no,family_ukbb-risk,https://github.com/yayapa/ukbb_risk,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
148757,Genetic risk prediction of non-contact ACL rupture using polygenic risk scores,Tier 5,candidate,no,family_omniprs,https://github.com/biostatShao/OmniPRS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
148925,Multimodal representation learning of remote and wearable data to clinical health data for longitudinal risk prediction,Tier 5,candidate,no,family_evidence-embracing-nm; family_longitudinal-data,https://github.com/saigerutherford/evidence_embracing_nm; https://github.com/AstraZheng/Longitudinal-data,supporting identity/topic evidence; weak topic/path/data-type evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
171511,Improving of polygenic scores using exome and whole genome resequencing data and repeat imaging,Tier 5,candidate,no,family_omniprs; family_ukb-exome,https://github.com/biostatShao/OmniPRS; https://github.com/OxWearables/ukb_exome,supporting identity/topic evidence; weak topic/path/data-type evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
176486,"Integration of Clinical, Imaging, and Genetic Data to Explore the Association between Sarcopenic Obesity and Selected Chronic Diseases, as well as the Role of Lifestyle Factors",Tier 5,candidate,no,family_t2dm-ukb-predictions,https://github.com/yochaiedlitz/T2DM_UKB_predictions,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
190333,Whole-genome identification of rare variants in UK Biobank Glaucoma patients,Tier 5,candidate,no,family_shapeit5,https://github.com/odelaneau/shapeit5,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
190346,Incorporating Multi-Trait Polygenic Risk Scores into an Ensemble Learning Classifier Improves the Risk Stratification for Type 2 Diabetes in the Qatar Biobank Cohort,Tier 5,candidate,no,family_omniprs,https://github.com/biostatShao/OmniPRS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
207159,Statistical and Machine-Learning Methods for Genetic and Health-Record Data,Tier 5,candidate,no,family_ukbanalytica,https://github.com/Hinna0818/UKBAnalytica,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
209139,"Discovery, development, and validation of biomarkers and imaging phenotypes for neurodegenerative diseases",Tier 5,candidate,no,family_ukb-idears,https://github.com/binfnstats/ukb-IDEARS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
214427,Hematopoiesis in type 1 diabetes.,Tier 5,candidate,no,family_congele-msc; family_diabetes-prediction; family_epi-prs; family_t2dm-ukb-predictions; family_ukb-gen-clocks; family_ukb-nmr-cvd-prediction,https://github.com/Arnoldzyf/ConGele_MSc; https://github.com/Haileygu99/diabetes_prediction; https://github.com/ghm17/Epi-PRS; https://github.com/tzhang-nmdp/Epi-PRS; https://github.com/yochaiedlitz/T2DM_UKB_predictions; https://github.com/Euskal-Oxcitas-Biotek/UKB-gen-clocks; https://github.com/YanLuoCityU/UKB_NMR_CVD_prediction,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
276785,Genetic basis of inflammatory immune mediated diseases,Tier 5,candidate,no,family_imds-wes,https://github.com/Sirius-Yang/IMDs_WES,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
317703,Investigating the impact of genome-wide variants on human diseases,Tier 5,candidate,no,family_imds-wes; family_shapeit5,https://github.com/Sirius-Yang/IMDs_WES; https://github.com/odelaneau/shapeit5,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
341475,Biomarker discovery in neurodegenerative diseases using integrated longitudinal data analysis,Tier 5,candidate,no,family_longitudinal-data; family_ukb-idears,https://github.com/AstraZheng/Longitudinal-data; https://github.com/binfnstats/ukb-IDEARS,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
412140,Using Machine Learning and Deep Learning for (Early) Detection of Dementia Disease,Tier 5,candidate,no,family_ukbanalytica,https://github.com/blitz305/UKBAnalytica; https://github.com/lcx777-afk/UKBAnalytica,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
423966,Machine learning of retinal markers in Parkinson's disease.,Tier 5,candidate,no,family_ukb-idears,https://github.com/binfnstats/ukb-IDEARS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
474802,Deconstructing the genetic basis of human complex phenotypes,Tier 5,candidate,no,family_omniprs; family_ukbiobank-knockoffs,https://github.com/biostatShao/OmniPRS; https://github.com/LuZhangH/ukbiobank_knockoffs; https://github.com/zren94/ukbiobank_knockoffs,supporting identity/topic evidence; weak topic/path/data-type evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
494920,Comparative Analysis of Risk Profiles and Longitudinal Changes in Risk Factors for Colorectal and Lung Cancer: Insights from the UK Biobank,Tier 5,candidate,no,family_longitudinal-data; family_t2dm-ukb-predictions,https://github.com/AstraZheng/Longitudinal-data; https://github.com/yochaiedlitz/T2DM_UKB_predictions,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
519005,Predictive Models for Cardio-Metabolic Disease,Tier 5,candidate,no,family_evidence-embracing-nm,https://github.com/saigerutherford/evidence_embracing_nm,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
523060,Improving risk prediction of multimorbidity by multimodal learning across populations of different age groups and ancestries.,Tier 5,candidate,no,family_keloids-clustering; family_ukbcc,https://github.com/anirudhj05/Keloids_Clustering; https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
532322,Stratification of general cohort for precision pharmacogenomic application in immunological diseases,Tier 5,candidate,no,family_idears-orig; family_sas-sample-extraction; family_ukbcc,https://github.com/MikeAllwright23/idears_orig; https://github.com/samarpita-saha293/SAS_sample_extraction; https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
532367,Identifying factors of ageing and comorbidities using multivariate survival analysis of disease phenotypes in UK biobank,Tier 5,candidate,no,family_uk-biobank-survival; family_ukbanalytica,https://github.com/gerstung-lab/uk_biobank_survival; https://github.com/rrrrrs1/uk_biobank_survival; https://github.com/blitz305/UKBAnalytica; https://github.com/lcx777-afk/UKBAnalytica,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
564547,"An Integrated Exploration of Behavioral, Environmental, and Genetic Predictors Associated with the Onset and Prognosis of Cardiovascular Disease, Digestive Diseases, and Multimorbidity",Tier 5,candidate,no,family_ukb-idears,https://github.com/binfnstats/ukb-IDEARS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
578405,"Risk evaluation using multi-environmental factors [natural environmental, social, behavioral, dietary determinants, etc.] of health and genetic susceptibility for prevention of complex diseases.",Tier 5,candidate,no,family_omniprs,https://github.com/biostatShao/OmniPRS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
579398,"Multimodal Integration of Genetic, Environmental, and Biomarkers for Early Detection and Prevention of Accelerated Brain Aging",Tier 5,candidate,no,family_ukb-idears,https://github.com/binfnstats/ukb-IDEARS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
592266,Integrating Multifaceted Data to Identify Risk Factors for Valvular Disease,Tier 5,candidate,no,family_evidence-embracing-nm,https://github.com/saigerutherford/evidence_embracing_nm,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
639461,Investigating the Shared Mechanisms and Risk Assessment of Systemic Diseases and Neurodegenerative Disorders,Tier 5,candidate,no,family_ukb-idears,https://github.com/binfnstats/ukb-IDEARS,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
