design,frequency,control_definition,outcome,model,coefficient,cluster,n_obs,n_apps,n_treated_apps,n_control_apps,estimate,clustered_se,p_value,ci_low,ci_high,warning,note
Q0_quarterly_stable_post_drop_2024Q3,quarter,CONTROL_C01,publication_count,application_fe_calendar_quarter_fe,treated_x_stable_post,application,47985,3450,3338,112,0.008471,0.025445,0.739206,-0.041402,0.058343,,drops 2024Q3 transition quarter; post starts 2024Q4
Q0_quarterly_exclude_top1pct_publication_apps,quarter,CONTROL_C01,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,50518,3391,3281,110,-0.014089,0.016044,0.379848,-0.045535,0.017357,,excluded_top_1pct_apps=72
Q0_balanced_incumbent_started_by_2022Q3,quarter,CONTROL_C01,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,37040,2315,2242,73,-0.018844,0.037547,0.615749,-0.092435,0.054747,,balanced incumbent sample started by 2022-07-01
Q0_recent_projects_started_after_2019,quarter,CONTROL_C01,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,38507,2642,2540,102,-0.002520,0.016641,0.879611,-0.035137,0.030096,,active-project exposure robustness using pre-treatment start date only
Q0_recent_projects_started_after_2020,quarter,CONTROL_C01,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,32155,2245,2155,90,0.008663,0.017825,0.626955,-0.026274,0.043601,,active-project exposure robustness using pre-treatment start date only
Q0_quarterly_incumbent_did,quarter,CONTROL_C01,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,51435,3450,3338,112,-0.012307,0.013155,0.349480,-0.038091,0.013476,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q0_quarterly_incumbent_did,quarter,CONTROL_C01,any_publication,application_fe_calendar_quarter_fe,treated_x_post,institution,51435,3450,3338,112,-0.012307,0.014366,0.391599,-0.040464,0.015849,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q1_quarterly_incumbent_did_age_adjusted,quarter,CONTROL_C01,any_publication,application_fe_calendar_quarter_fe_project_age_bin_fe,treated_x_post,application,51435,3450,3338,112,-0.002697,0.012651,0.831203,-0.027493,0.022099,,"age bins: q0,q1,q2,q3,q4_7,q8_11,q12_15,q16_23,q24_35,q36_47,q48_plus"
Q0_quarterly_drop_first_partial_period,quarter,CONTROL_C01,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,50300,3450,3338,112,-0.015434,0.013505,0.253101,-0.041905,0.011036,,drops first partial at-risk quarter
Q0_quarterly_stable_post_drop_2024Q3,quarter,CONTROL_C01,any_publication,application_fe_calendar_quarter_fe,treated_x_stable_post,application,47985,3450,3338,112,-0.010197,0.014343,0.477140,-0.038310,0.017916,,drops 2024Q3 transition quarter; post starts 2024Q4
Q0_balanced_incumbent_started_by_2022Q3,quarter,CONTROL_C01,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,37040,2315,2242,73,-0.030089,0.015442,0.051346,-0.060355,0.000176,,balanced incumbent sample started by 2022-07-01
Q0_recent_projects_started_after_2019,quarter,CONTROL_C01,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,38507,2642,2540,102,-0.012332,0.013039,0.344231,-0.037888,0.013223,,active-project exposure robustness using pre-treatment start date only
