app_id	pub_id
132	4542
166	4490
166	4609
166	5660
166	7321
166	7383
166	7384
166	7385
166	7554
166	8404
166	8406
178	5878
178	8423
178	12584
236	585
236	3391
236	4885
236	5539
236	7532
236	8480
236	8486
236	8504
236	8544
236	8566
236	9114
236	9139
236	9319
236	9336
236	10724
236	11398
236	12574
236	12848
236	13774
236	18335
262	3988
262	8469
262	8879
270	404
289	7556
338	165
408	4417
408	7734
408	8461
408	8515
408	9211
412	1903
412	7537
412	8454
431	4366
431	7670
522	4324
522	4333
522	5677
522	9046
522	10363
648	740
648	1944
648	2748
648	3847
648	4005
648	5982
648	6007
648	7550
648	7669
648	8280
648	8414
648	8420
648	8556
648	8709
648	9118
648	9163
648	10426
648	11197
648	12271
648	13833
648	13856
648	15251
648	18336
648	18741
648	19365
669	2608
669	2656
669	2657
669	2683
669	5203
669	8628
669	12600
669	13685
761	409
774	464
774	465
774	502
774	505
774	509
774	510
774	512
774	514
774	4413
774	7553
788	2246
788	2423
788	3617
788	5326
788	5718
788	7430
788	7666
788	8428
788	8429
788	9316
788	11267
788	11447
788	11454
788	12613
788	15601
788	16647
788	18824
871	1456
871	1457
871	4104
871	4923
871	8563
871	9433
871	11585
885	2620
885	9431
1100	1459
1100	1462
1100	4698
1144	422
1144	1542
1144	2765
1144	2767
1144	3418
1144	4407
1144	7524
1144	14276
1144	19642
1159	1663
1251	3990
1251	4289
1251	4790
1251	5890
1251	8505
1251	10561
1251	13420
1251	17012
1251	17175
1251	19505
1383	8405
1383	8410
1383	8411
1383	8426
1383	8453
1417	1802
1417	1804
1417	8501
1602	3047
1602	3054
1602	7892
1602	9948
1602	10788
1602	11808
1602	11979
1602	12646
1602	13105
1602	13405
1602	15817
1602	18827
1602	18995
1618	7857
1995	1466
2112	1874
2112	1876
2112	4024
2112	4038
2112	4172
2112	4229
2112	4315
2112	4543
2112	4575
2112	4950
2112	5664
2112	5881
2112	7926
2112	8628
2112	9033
2112	9733
2112	10498
2112	10749
2112	11098
2112	11583
2112	12392
2112	13879
2112	14069
2112	14234
2112	15800
2482	424
2495	1469
2495	1470
2495	2173
2495	2788
2495	2789
2495	2796
2495	3434
2495	3543
2495	5488
2495	5648
2495	5720
2495	5721
2495	5765
2495	7161
2495	8192
2495	10548
2495	12634
2495	12691
2495	13923
2532	4975
2532	5039
2532	5399
2532	5822
2532	6011
2532	7589
2532	8674
2532	9127
2532	10432
2532	10480
2532	10877
2532	10986
2532	12041
2532	12907
2532	13717
2532	13756
2532	13863
2532	14514
2532	14836
2532	15003
2532	15546
2532	15572
2964	1364
2964	1884
2964	1890
2964	1972
2964	2159
2964	2365
2964	2542
2964	2843
2964	2844
2964	2856
2964	3127
2964	3562
2964	3629
2964	3996
2964	4010
2964	4126
2964	4285
2964	4300
2964	4330
2964	4334
2964	4422
2964	4451
2964	4466
2964	5000
2964	5095
2964	5216
2964	5516
2964	5581
2964	5606
2964	5635
2964	5728
2964	5783
2964	5836
2964	5976
2964	6015
2964	7232
2964	7560
2964	7582
2964	7736
2964	7979
2964	8281
2964	8866
2964	9153
2964	9239
2964	9310
2964	9360
2964	9585
2964	9604
2964	9662
2964	10048
2964	10377
2964	10506
2964	10605
2964	10617
2964	10671
2964	10696
2964	10812
2964	10879
2964	10931
2964	11185
2964	11210
2964	11330
2964	11354
2964	11474
2964	11528
2964	11626
2964	12036
2964	12118
2964	12235
2964	12343
2964	12534
2964	12670
2964	12781
2964	12933
2964	12940
2964	12957
2964	12996
2964	13190
2964	13732
2964	13849
2964	13901
2964	13964
2964	14480
2964	14609
2964	15096
2964	15144
2964	15328
2964	15801
2964	16351
2964	17145
2964	17603
2964	18495
2964	18739
2964	18820
2964	19121
2964	19311
2964	19521
2964	20536
3028	5889
3037	4074
3037	4154
3037	4675
3037	4682
3037	4687
3037	13772
3071	12915
3071	13895
3173	3438
3173	3439
3248	3964
3248	3986
3248	4386
3248	4776
3248	5245
3248	5540
3248	8407
3248	9317
3248	11929
3248	13805
3282	530
3282	2169
3282	4816
3282	5114
3282	5544
3282	5615
3282	9087
3474	535
3474	536
3474	537
3474	1471
3474	8484
3501	1665
3572	266
3572	474
3572	475
3572	548
3572	1664
3572	2770
3572	8441
3593	422
3593	1473
3593	2828
3593	8510
3593	8923
3593	9762
3593	9835
3593	14391
3593	16909
3593	17398
3593	17502
3593	18811
3593	19067
3593	19681
3913	2815
3966	425
3966	4180
4047	9049
4236	12436
4236	14117
4408	11311
4483	2946
4580	8680
4669	8455
4844	750
4844	1642
4844	1665
4844	1879
4844	2922
4844	3050
4844	3051
4844	3144
4844	3185
4844	3883
4844	3921
4844	4105
4844	4221
4844	4264
4844	4616
4844	4721
4844	4902
4844	4908
4844	4940
4844	5566
4844	5627
4844	5773
4844	5779
4844	6006
4844	7285
4844	7373
4844	7377
4844	7519
4844	7539
4844	8424
4844	8479
4844	8498
4844	8534
4844	8827
4844	8893
4844	9103
4844	9161
4844	9323
4844	10099
4844	10700
4844	11067
4844	11236
4844	12010
4844	12031
4844	12659
4844	13339
4844	13362
4844	13681
4844	13700
4844	13744
4844	13768
4844	13778
4844	14516
4844	14948
4844	16045
4844	16296
4844	17788
4844	17852
4844	17921
4892	5387
4892	6007
4892	8280
4892	10426
4892	10663
4939	2423
5122	8412
5122	8416
5122	8466
5122	8531
5167	3546
5167	5713
5167	11247
5167	18406
5179	4039
5179	5688
5179	5689
5180	4345
5237	9704
5608	4314
5608	8413
5791	2891
5791	4669
5791	7113
5791	14016
5864	5747
5864	7130
5864	8126
5864	10523
5864	11334
5974	3090
5974	8124
6077	5562
6077	5749
6077	8173
6077	10975
6077	12469
6077	12891
6077	13082
6077	13091
6077	13919
6326	1476
6326	4855
6326	5844
6326	8819
6326	9584
6326	12453
6326	13749
6326	19320
6507	8445
6553	1964
6553	1982
6553	2083
6553	2122
6553	2525
6553	3379
6553	4429
6553	4987
6553	5536
6553	5735
6553	7255
6553	7352
6553	7438
6553	7508
6553	7578
6553	8195
6553	8424
6553	8882
6553	10230
6553	11642
6553	11966
6553	12685
6553	13755
6569	3667
6569	3998
6569	3999
6569	4379
6569	4425
6569	5499
6569	5621
6569	8178
6569	8443
6569	9028
6569	9417
6569	10035
6569	10573
6569	10851
6569	11203
6569	13447
6569	14316
6569	15710
6569	16812
6569	18000
6569	18043
6569	19101
6684	8690
6763	147
6818	745
6818	746
6818	2894
6818	4114
6818	4187
6818	4780
6818	4829
6818	5009
6818	5268
6818	5415
6818	5501
6818	5702
6818	5744
6818	5752
6818	5908
6818	7106
6818	7125
6818	7419
6818	7631
6818	7693
6818	7735
6818	8474
6818	8820
6818	8824
6818	9099
6818	9272
6818	10484
6818	10821
6818	10831
6818	10912
6818	11278
6818	11346
6818	11740
6818	11771
6818	12031
6818	12910
6818	13372
6818	13681
6818	14934
6818	15325
6818	15615
6818	16041
6818	16471
6818	17164
6818	17444
6818	19323
7036	753
7036	1849
7036	2882
7036	2904
7036	8946
7036	9155
7036	9271
7036	10530
7036	12598
7036	13828
7089	2686
7089	3362
7089	3381
7089	3455
7089	3724
7089	3726
7089	4068
7089	4174
7089	4223
7089	4224
7089	4227
7089	4415
7089	4418
7089	4635
7089	4716
7089	4772
7089	4920
7089	5011
7089	5019
7089	5067
7089	5337
7089	5347
7089	5380
7089	5600
7089	7139
7089	7382
7089	7746
7089	7807
7089	7810
7089	7884
7089	7986
7089	8075
7089	8113
7089	8348
7089	8450
7089	8458
7089	8464
7089	8465
7089	8476
7089	8488
7089	8494
7089	8558
7089	8753
7089	8869
7089	9442
7089	9561
7089	9572
7089	9603
7089	9633
7089	9819
7089	10075
7089	10347
7089	10368
7089	10376
7089	10642
7089	10644
7089	10688
7089	10743
7089	10963
7089	11030
7089	11140
7089	11276
7089	11332
7089	11362
7089	11402
7089	11503
7089	11536
7089	11586
7089	11621
7089	11648
7089	11896
7089	11922
7089	11970
7089	12016
7089	12195
7089	12237
7089	12317
7089	12326
7089	12431
7089	12439
7089	12533
7089	12645
7089	12692
7089	13341
7089	13605
7089	13706
7089	13707
7089	13781
7089	13794
7089	13862
7089	13866
7089	13881
7089	14121
7089	14308
