term,source_field_ids,source_field_titles,source_category,precision_level,reason
Kidney Imaging gradient echo DICOM,20264; 1020264; 2020264,Kidney Imaging - gradient echo - DICOM; EMBARGOED UNLINKED : Kidney Imaging - gradient echo - DICOM; EMBARGOED LINKED : Kidney Imaging - gradient echo - DICOM,Kidney imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Kidney Imaging T1 Sh MOLLI,20243,Kidney Imaging - T1 ShMOLLI - DICOM,Kidney imaging,field_title_stem,specific s3 field title after file-format suffix removal
Kidney imaging T1 Vibe DICOM,20267; 1020267,Kidney imaging - T1 Vibe - DICOM; EMBARGOED UNLINKED : Kidney imaging - T1 Vibe - DICOM,Kidney imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Kidney Imaging T2 haste DICOM,20265; 1020265; 2020265,Kidney Imaging - T2 haste - DICOM; EMBARGOED UNLINKED : Kidney Imaging - T2 haste - DICOM; EMBARGOED LINKED : Kidney Imaging - T2 haste - DICOM,Kidney imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Kidney imaging T2 Vibe DICOM,2020267,EMBARGOED LINKED : Kidney imaging - T2 Vibe - DICOM,Kidney imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Liver imaging gradient echo DICOM,20203; 1020203; 2020203,Liver imaging - gradient echo - DICOM; EMBARGOED UNLINKED : Liver imaging - gradient echo - DICOM; EMBARGOED LINKED : Liver imaging - gradient echo - DICOM,Liver imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Liver imaging IDEAL protocol DICOM,20254; 1020254; 2020254,Liver imaging - IDEAL protocol - DICOM; EMBARGOED UNLINKED : Liver imaging - IDEAL protocol - DICOM; EMBARGOED LINKED : Liver imaging - IDEAL protocol - DICOM,Liver imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Long axis heart images DICOM,20208; 1020208; 2020208,Long axis heart images - DICOM; EMBARGOED UNLINKED : Long axis heart images - DICOM; EMBARGOED LINKED : Long axis heart images - DICOM,Cardiac MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Measurements of pancreas volume DICOM,20206; 1020206; 2020206,Measurements of pancreas volume - DICOM; EMBARGOED UNLINKED : Measurements of pancreas volume - DICOM; EMBARGOED LINKED : Measurements of pancreas volume - DICOM,Pancreas imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Multiband diffusion brain images DICOM,20218; 1020218; 2020218,Multiband diffusion brain images - DICOM; EMBARGOED UNLINKED : Multiband diffusion brain images - DICOM; EMBARGOED LINKED : Multiband diffusion brain images - DICOM,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Multiband diffusion brain images NIFTI,20250; 1020250; 2020250,Multiband diffusion brain images - NIFTI; EMBARGOED UNLINKED : Multiband diffusion brain images - NIFTI; EMBARGOED LINKED : Multiband diffusion brain images - NIFTI,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Native aparc a2009s dMRI,31001,Native aparc a2009s dMRI,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Native Schaefer7n100p to 1000p SF,31012,Native Schaefer7n100p to 1000p SF,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Pancreas Images gradient echo DICOM,20260; 1020260; 2020260,Pancreas Images - gradient echo - DICOM; EMBARGOED UNLINKED : Pancreas Images - gradient echo - DICOM; EMBARGOED LINKED : Pancreas Images - gradient echo - DICOM,Pancreas imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Pancreas Images ShMoLLI,20259; 1020259; 2020259,Pancreas Images - ShMoLLI - DICOM; EMBARGOED UNLINKED : Pancreas Images - ShMoLLI - DICOM; EMBARGOED LINKED : Pancreas Images - ShMoLLI - DICOM,Pancreas imaging,field_title_stem,specific s3 field title after file-format suffix removal
PANDORA: included in DTI FA,31219,PANDORA: included in DTI FA,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in DTI L1,31220,PANDORA: included in DTI L1,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in DTI L2,31221,PANDORA: included in DTI L2,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in DTI L3,31222,PANDORA: included in DTI L3,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in DTI MD,31223,PANDORA: included in DTI MD,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in DTI MO,31224,PANDORA: included in DTI MO,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in NODDI ICVF,31225,PANDORA: included in NODDI ICVF,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in NODDI ISOVF,31226,PANDORA: included in NODDI ISOVF,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in NODDI OD,31227,PANDORA: included in NODDI OD,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in RSN d25,31228,PANDORA: included in RSN d25,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in RSN d50,31229,PANDORA: included in RSN d50,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in SWI QSM,31230,PANDORA: included in SWI QSM,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in SWI T2star,31231,PANDORA: included in SWI T2star,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in T1 VBM,31233,PANDORA: included in T1 VBM,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in T2 FLAIR,31234,PANDORA: included in T2 FLAIR,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in warpfield jacobian,31243,PANDORA: included in warpfield jacobian,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Quantitative susceptibility mapping images NIFTI,26301; 1026301; 2026301,Quantitative susceptibility mapping images - NIFTI; EMBARGOED UNLINKED : Quantitative susceptibility mapping images - NIFTI; EMBARGOED LINKED : Quantitative susceptibility mapping images - NIFTI,Mixed s3 imaging/file fields,field_title_exact,normalized exact title of an s3 Schema 1 field
Reason cine file not available,30029,Reason cine file not available,Cardiac MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Scout images for brain scans,20215; 1020215; 2020215,Scout images for brain scans - DICOM; EMBARGOED UNLINKED : Scout images for brain scans - DICOM; EMBARGOED LINKED : Scout images for brain scans - DICOM,Brain MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
Scout images for heart MRI,20207; 1020207; 2020207,Scout images for heart MRI - DICOM; EMBARGOED UNLINKED : Scout images for heart MRI - DICOM; EMBARGOED LINKED : Scout images for heart MRI - DICOM,Cardiac MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
Short axis heart images DICOM,20209; 1020209; 2020209,Short axis heart images - DICOM; EMBARGOED UNLINKED : Short axis heart images - DICOM; EMBARGOED LINKED : Short axis heart images - DICOM,Cardiac MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Susceptibility weighted brain images DICOM,20219; 1020219; 2020219,Susceptibility weighted brain images - DICOM; EMBARGOED UNLINKED : Susceptibility weighted brain images - DICOM; EMBARGOED LINKED : Susceptibility weighted brain images - DICOM,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Susceptibility weighted brain images NIFTI,20251; 1020251; 2020251,Susceptibility weighted brain images - NIFTI; EMBARGOED UNLINKED : Susceptibility weighted brain images - NIFTI; EMBARGOED LINKED : Susceptibility weighted brain images - NIFTI,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
T1 structural brain images DICOM,20216; 1020216; 2020216,T1 structural brain images - DICOM; EMBARGOED UNLINKED : T1 structural brain images - DICOM; EMBARGOED LINKED : T1 structural brain images - DICOM,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
T1 structural brain images NIFTI,20252; 1020252; 2020252,T1 structural brain images - NIFTI; EMBARGOED UNLINKED : T1 structural brain images - NIFTI; EMBARGOED LINKED : T1 structural brain images - NIFTI,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
T2 FLAIR structural brain images,20220; 20253; 1020220; 1020253; 2020220; 2020253,T2 FLAIR structural brain images - DICOM; T2 FLAIR structural brain images - NIFTI; EMBARGOED UNLINKED : T2 FLAIR structural brain images - DICOM; EMBARGOED UNLINKED : T2 FLAIR structural brain images - NIFTI; EMBARGOED LINKED : T2 FLAIR structural brain images - DICOM; EMBARGOED LINKED : T2 FLAIR structural brain images - NIFTI,Brain MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
T2 PD brain images DICOM,20221; 1020221; 2020221,T2/PD brain images - DICOM; EMBARGOED UNLINKED : T2/PD brain images - DICOM; EMBARGOED LINKED : T2/PD brain images - DICOM,Brain MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Aortic distensibilty images DICOM,20210; 1020210; 2020210,Aortic distensibilty images - DICOM; EMBARGOED UNLINKED : Aortic distensibilty images - DICOM; EMBARGOED LINKED : Aortic distensibilty images - DICOM,Cardiac MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Blood flow images DICOM,20213; 1020213; 2020213,Blood flow images - DICOM; EMBARGOED UNLINKED : Blood flow images - DICOM; EMBARGOED LINKED : Blood flow images - DICOM,Mixed s3 imaging/file fields,field_title_exact,normalized exact title of an s3 Schema 1 field
Cardiac biventricular mesh models,30099,Cardiac biventricular mesh models,Cardiac MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Carotid artery ultrasound report,20226; 1020226; 2020226,Carotid artery ultrasound report; EMBARGOED UNLINKED : Carotid artery ultrasound report; EMBARGOED LINKED : Carotid artery ultrasound report,Carotid ultrasound,field_title_exact,specific s3 field title after file-format suffix removal
Cine tagging images DICOM,20211; 1020211; 2020211,Cine tagging images - DICOM; EMBARGOED UNLINKED : Cine tagging images - DICOM; EMBARGOED LINKED : Cine tagging images - DICOM,Cardiac MRI/imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
Functional brain images resting,20225; 20227; 1020225; 1020227; 2020225; 2020227,Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; EMBARGOED UNLINKED : Functional brain images - resting - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - NIFTI; EMBARGOED LINKED : Functional brain images - resting - DICOM; EMBARGOED LINKED : Functional brain images - resting - NIFTI,Brain MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
Functional brain images task,20217; 20249; 1020217; 1020249; 2020217; 2020249,Functional brain images - task - DICOM; Functional brain images - task - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - DICOM; EMBARGOED UNLINKED : Functional brain images - task - NIFTI; EMBARGOED LINKED : Functional brain images - task - DICOM; EMBARGOED LINKED : Functional brain images - task - NIFTI,Brain MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
Kidney Imaging gradient echo,20264; 1020264; 2020264,Kidney Imaging - gradient echo - DICOM; EMBARGOED UNLINKED : Kidney Imaging - gradient echo - DICOM; EMBARGOED LINKED : Kidney Imaging - gradient echo - DICOM,Kidney imaging,field_title_stem,specific s3 field title after file-format suffix removal
Kidney imaging T1 Vibe,20267; 1020267,Kidney imaging - T1 Vibe - DICOM; EMBARGOED UNLINKED : Kidney imaging - T1 Vibe - DICOM,Kidney imaging,field_title_stem,specific s3 field title after file-format suffix removal
Kidney Imaging T2 haste,20265; 1020265; 2020265,Kidney Imaging - T2 haste - DICOM; EMBARGOED UNLINKED : Kidney Imaging - T2 haste - DICOM; EMBARGOED LINKED : Kidney Imaging - T2 haste - DICOM,Kidney imaging,field_title_stem,specific s3 field title after file-format suffix removal
Kidney imaging T2 Vibe,2020267,EMBARGOED LINKED : Kidney imaging - T2 Vibe - DICOM,Kidney imaging,field_title_stem,specific s3 field title after file-format suffix removal
Liver imaging gradient echo,20203; 1020203; 2020203,Liver imaging - gradient echo - DICOM; EMBARGOED UNLINKED : Liver imaging - gradient echo - DICOM; EMBARGOED LINKED : Liver imaging - gradient echo - DICOM,Liver imaging,field_title_stem,specific s3 field title after file-format suffix removal
Liver imaging IDEAL protocol,20254; 1020254; 2020254,Liver imaging - IDEAL protocol - DICOM; EMBARGOED UNLINKED : Liver imaging - IDEAL protocol - DICOM; EMBARGOED LINKED : Liver imaging - IDEAL protocol - DICOM,Liver imaging,field_title_stem,specific s3 field title after file-format suffix removal
Long axis heart images,20208; 1020208; 2020208,Long axis heart images - DICOM; EMBARGOED UNLINKED : Long axis heart images - DICOM; EMBARGOED LINKED : Long axis heart images - DICOM,Cardiac MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
Measurements of pancreas volume,20206; 1020206; 2020206,Measurements of pancreas volume - DICOM; EMBARGOED UNLINKED : Measurements of pancreas volume - DICOM; EMBARGOED LINKED : Measurements of pancreas volume - DICOM,Pancreas imaging,field_title_stem,specific s3 field title after file-format suffix removal
Multiband diffusion brain images,20218; 20250; 1020218; 1020250; 2020218; 2020250,Multiband diffusion brain images - DICOM; Multiband diffusion brain images - NIFTI; EMBARGOED UNLINKED : Multiband diffusion brain images - DICOM; EMBARGOED UNLINKED : Multiband diffusion brain images - NIFTI; EMBARGOED LINKED : Multiband diffusion brain images - DICOM; EMBARGOED LINKED : Multiband diffusion brain images - NIFTI,Brain MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
Native aparc a2009s SF,31009,Native aparc a2009s SF,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Native aparc dMRI,31002,Native aparc dMRI,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Native Glasser dMRI,31003,Native Glasser dMRI,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Native Schaefer7n1000p dMRI,31008,Native Schaefer7n1000p dMRI,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Native Schaefer7n200p dMRI,31004,Native Schaefer7n200p dMRI,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Native Schaefer7n500p dMRI,31005,Native Schaefer7n500p dMRI,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Pancreas Images gradient echo,20260; 1020260; 2020260,Pancreas Images - gradient echo - DICOM; EMBARGOED UNLINKED : Pancreas Images - gradient echo - DICOM; EMBARGOED LINKED : Pancreas Images - gradient echo - DICOM,Pancreas imaging,field_title_stem,specific s3 field title after file-format suffix removal
PANDORA: included in globals,31244,PANDORA: included in globals,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
PANDORA: included in T1,31232,PANDORA: included in T1,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Quantitative susceptibility mapping images,26301; 1026301; 2026301,Quantitative susceptibility mapping images - NIFTI; EMBARGOED UNLINKED : Quantitative susceptibility mapping images - NIFTI; EMBARGOED LINKED : Quantitative susceptibility mapping images - NIFTI,Mixed s3 imaging/file fields,field_title_stem,specific s3 field title after file-format suffix removal
Raw carotid device data,20241; 1020241; 2020241,Raw carotid device data; EMBARGOED UNLINKED : Raw carotid device data; EMBARGOED LINKED : Raw carotid device data,Carotid ultrasound,field_title_exact,specific s3 field title after file-format suffix removal
Short axis heart images,20209; 1020209; 2020209,Short axis heart images - DICOM; EMBARGOED UNLINKED : Short axis heart images - DICOM; EMBARGOED LINKED : Short axis heart images - DICOM,Cardiac MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
Susceptibility weighted brain images,20219; 20251; 1020219; 1020251; 2020219; 2020251,Susceptibility weighted brain images - DICOM; Susceptibility weighted brain images - NIFTI; EMBARGOED UNLINKED : Susceptibility weighted brain images - DICOM; EMBARGOED UNLINKED : Susceptibility weighted brain images - NIFTI; EMBARGOED LINKED : Susceptibility weighted brain images - DICOM; EMBARGOED LINKED : Susceptibility weighted brain images - NIFTI,Brain MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
T1 structural brain images,20216; 20252; 1020216; 1020252; 2020216; 2020252,T1 structural brain images - DICOM; T1 structural brain images - NIFTI; EMBARGOED UNLINKED : T1 structural brain images - DICOM; EMBARGOED UNLINKED : T1 structural brain images - NIFTI; EMBARGOED LINKED : T1 structural brain images - DICOM; EMBARGOED LINKED : T1 structural brain images - NIFTI,Brain MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
T2 PD brain images,20221; 1020221; 2020221,T2/PD brain images - DICOM; EMBARGOED UNLINKED : T2/PD brain images - DICOM; EMBARGOED LINKED : T2/PD brain images - DICOM,Brain MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
Aortic distensibilty images,20210; 1020210; 2020210,Aortic distensibilty images - DICOM; EMBARGOED UNLINKED : Aortic distensibilty images - DICOM; EMBARGOED LINKED : Aortic distensibilty images - DICOM,Cardiac MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
cardiac biventricular mesh,30099,Cardiac biventricular mesh models,Cardiac MRI/imaging,field_title_stem,cardiac mesh model field is s3
carotid artery ultrasound,20222; 20223; 20226; 30005; 1020222; 1020223; 1020226; 1030005; 2020222; 2020223; 2020226; 2030005,Carotid artery ultrasound image (left); Carotid artery ultrasound image (right); Carotid artery ultrasound report; Carotid Artery Ultrasound (MAT format); EMBARGOED UNLINKED : Carotid artery ultrasound image (left); EMBARGOED UNLINKED : Carotid artery ultrasound image (right); EMBARGOED UNLINKED : Carotid artery ultrasound report; EMBARGOED UNLINKED : Carotid Artery Ultrasound (MAT format); EMBARGOED LINKED : Carotid artery ultrasound image (left); EMBARGOED LINKED : Carotid artery ultrasound image (right); EMBARGOED LINKED : Carotid artery ultrasound report; EMBARGOED LINKED : Carotid Artery Ultrasound (MAT format),Carotid ultrasound,field_family_phrase,carotid artery ultrasound files are s3 fields
Cine tagging images,20211; 1020211; 2020211,Cine tagging images - DICOM; EMBARGOED UNLINKED : Cine tagging images - DICOM; EMBARGOED LINKED : Cine tagging images - DICOM,Cardiac MRI/imaging,field_title_stem,specific s3 field title after file-format suffix removal
magnetic resonance imaging,20207; 20215; 31001; 31002; 31003; 31004; 31005; 31006; 31007; 31008; 31236; 31237; 31238; 31239; 31240; 31241; 31242; 32136; 1020207; 1020215; 1025750; 1025751; 1025752; 1025753; 1025754; 1025755; 1032136; 2020207; 2020215; 2025750; 2025751; 2025752; 2025753; 2025754; 2025755; 2032136,Scout images for heart MRI - DICOM; Scout images for brain scans - DICOM; Native aparc a2009s dMRI; Native aparc dMRI; Native Glasser dMRI; Native Schaefer7n200p dMRI; Native Schaefer7n500p dMRI; Native Tian Subcortex S1 3T dMRI; Native Tian Subcortex S4 3T dMRI; Native Schaefer7n1000p dMRI; PANDORA: included in dMRI tracts; PANDORA: included in tfMRI cope1; ... +24 more,Mixed s3 imaging/file fields,field_family_phrase,MRI source-file fields are in the s3 dictionary
MNI Native Transform,31000,MNI Native Transform,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Native aparc SF,31010,Native aparc SF,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Native Glasser SF,31011,Native Glasser SF,Brain MRI/imaging,field_title_exact,specific s3 field title after file-format suffix removal
Pancreatic fat DICOM,20202; 1020202; 2020202,Pancreatic fat - DICOM; EMBARGOED UNLINKED : Pancreatic fat - DICOM; EMBARGOED LINKED : Pancreatic fat - DICOM,Pancreas imaging,field_title_exact,normalized exact title of an s3 Schema 1 field
quantitative susceptibility mapping,26301; 1026301; 2026301,Quantitative susceptibility mapping images - NIFTI; EMBARGOED UNLINKED : Quantitative susceptibility mapping images - NIFTI; EMBARGOED LINKED : Quantitative susceptibility mapping images - NIFTI,Mixed s3 imaging/file fields,field_family_phrase,QSM brain imaging files are s3 fields
