term,source_field_ids,source_field_titles,source_category,precision_level,reason
raw imaging data,20201; 20202; 20203; 20204; 20206; 20207; 20208; 20209; 20210; 20211; 20212; 20213; 20214; 20215; 20216; 20217; 20218; 20219; 20220; 20221; 20224; 20225; 20227; 20241; 20243; 20249; 20250; 20251; 20252; 20253; 20254; 20259; 20260; 20264; 20265; 20266; 20267; 26300; 26301; 32136; 1020201; 1020202; 1020203; 1020204; 1020206; 1020207; 1020208; 1020209; 1020210; 1020211; 1020212; 1020213; 1020214; 1020215; 1020216; 1020217; 1020218; 1020219; 1020220; 1020221; 1020224; 1020225; 1020227; 1020241; 1020249; 1020250; 1020251; 1020252; 1020253; 1020254; 1020259; 1020260; 1020264; 1020265; 1020266; 1020267; 1026300; 1026301; 2020201; 2020202; 2020203; 2020204; 2020206; 2020207; 2020208; 2020209; 2020210; 2020211; 2020212; 2020213; 2020214; 2020215; 2020216; 2020217; 2020218; 2020219; 2020220; 2020221; 2020224; 2020225; 2020227; 2020241; 2020249; 2020250; 2020251; 2020252; 2020253; 2020254; 2020259; 2020260; 2020264; 2020265; 2020266; 2020267; 2026300; 2026301,Dixon technique for internal fat - DICOM; Pancreatic fat - DICOM; Liver imaging - gradient echo - DICOM; Liver Imaging - T1 ShMoLLI - DICOM; Measurements of pancreas volume - DICOM; Scout images for heart MRI - DICOM; Long axis heart images - DICOM; Short axis heart images - DICOM; Aortic distensibilty images - DICOM; Cine tagging images - DICOM; Left ventricular outflow tract images - DICOM; Blood flow images - DICOM; ... +104 more,Mixed s3 imaging/file fields,field_family_phrase,s3 fields include raw imaging/file-format products
susceptibility weighted imaging,20219; 20251; 1020219; 1020251; 2020219; 2020251,Susceptibility weighted brain images - DICOM; Susceptibility weighted brain images - NIFTI; EMBARGOED UNLINKED : Susceptibility weighted brain images - DICOM; EMBARGOED UNLINKED : Susceptibility weighted brain images - NIFTI; EMBARGOED LINKED : Susceptibility weighted brain images - DICOM; EMBARGOED LINKED : Susceptibility weighted brain images - NIFTI,Brain MRI/imaging,field_family_phrase,susceptibility-weighted brain imaging files are s3 fields
task fMRI,20217; 20249; 32136; 1020217; 1020249; 1032136; 2020217; 2020249; 2032136,Functional brain images - task - DICOM; Functional brain images - task - NIFTI; Surface-based analysis of resting and task fMRI - CIFTI; EMBARGOED UNLINKED : Functional brain images - task - DICOM; EMBARGOED UNLINKED : Functional brain images - task - NIFTI; EMBARGOED UNLINKED : Surface-based analysis of resting and task fMRI; EMBARGOED LINKED : Functional brain images - task - DICOM; EMBARGOED LINKED : Functional brain images - task - NIFTI; EMBARGOED LINKED : Surface-based analysis of resting and task fMRI,Mixed s3 imaging/file fields,field_family_phrase,task fMRI fields are s3 fields
brain imaging,20215; 20216; 20217; 20218; 20219; 20220; 20221; 20225; 20227; 20249; 20250; 20251; 20252; 20253; 20266; 26300; 31219; 31220; 31221; 31222; 31223; 31224; 31225; 31226; 31227; 31228; 31229; 31230; 31231; 31232; 31233; 31234; 31235; 31236; 31237; 31238; 31239; 31240; 31241; 31242; 31243; 31244; 1020215; 1020216; 1020217; 1020218; 1020219; 1020220; 1020221; 1020225; 1020227; 1020249; 1020250; 1020251; 1020252; 1020253; 1020266; 1026300; 2020215; 2020216; 2020217; 2020218; 2020219; 2020220; 2020221; 2020225; 2020227; 2020249; 2020250; 2020251; 2020252; 2020253; 2020266; 2026300,Scout images for brain scans - DICOM; T1 structural brain images - DICOM; Functional brain images - task - DICOM; Multiband diffusion brain images - DICOM; Susceptibility weighted brain images - DICOM; T2 FLAIR structural brain images - DICOM; T2/PD brain images - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; Multiband diffusion brain images - NIFTI; Susceptibility weighted brain images - NIFTI; ... +62 more,Brain MRI/imaging,field_family_phrase,brain imaging titles and PANDORA outputs are s3 fields
brain MRI,20215; 20216; 20217; 20218; 20219; 20220; 20221; 20225; 20227; 20249; 20250; 20251; 20252; 20253; 20266; 26300; 1020215; 1020216; 1020217; 1020218; 1020219; 1020220; 1020221; 1020225; 1020227; 1020249; 1020250; 1020251; 1020252; 1020253; 1020266; 1026300; 2020215; 2020216; 2020217; 2020218; 2020219; 2020220; 2020221; 2020225; 2020227; 2020249; 2020250; 2020251; 2020252; 2020253; 2020266; 2026300,Scout images for brain scans - DICOM; T1 structural brain images - DICOM; Functional brain images - task - DICOM; Multiband diffusion brain images - DICOM; Susceptibility weighted brain images - DICOM; T2 FLAIR structural brain images - DICOM; T2/PD brain images - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; Multiband diffusion brain images - NIFTI; Susceptibility weighted brain images - NIFTI; ... +36 more,Brain MRI/imaging,field_family_phrase,brain MRI source files dominate the s3 dictionary
brain scan,20215; 20216; 20217; 20218; 20219; 20220; 20221; 20225; 20227; 20249; 20250; 20251; 20252; 20253; 20266; 26300; 1020215; 1020216; 1020217; 1020218; 1020219; 1020220; 1020221; 1020225; 1020227; 1020249; 1020250; 1020251; 1020252; 1020253; 1020266; 1026300; 2020215; 2020216; 2020217; 2020218; 2020219; 2020220; 2020221; 2020225; 2020227; 2020249; 2020250; 2020251; 2020252; 2020253; 2020266; 2026300,Scout images for brain scans - DICOM; T1 structural brain images - DICOM; Functional brain images - task - DICOM; Multiband diffusion brain images - DICOM; Susceptibility weighted brain images - DICOM; T2 FLAIR structural brain images - DICOM; T2/PD brain images - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; Multiband diffusion brain images - NIFTI; Susceptibility weighted brain images - NIFTI; ... +36 more,Brain MRI/imaging,field_family_phrase,brain scan source files are s3 fields
brain scans,20215; 20216; 20217; 20218; 20219; 20220; 20221; 20225; 20227; 20249; 20250; 20251; 20252; 20253; 20266; 26300; 1020215; 1020216; 1020217; 1020218; 1020219; 1020220; 1020221; 1020225; 1020227; 1020249; 1020250; 1020251; 1020252; 1020253; 1020266; 1026300; 2020215; 2020216; 2020217; 2020218; 2020219; 2020220; 2020221; 2020225; 2020227; 2020249; 2020250; 2020251; 2020252; 2020253; 2020266; 2026300,Scout images for brain scans - DICOM; T1 structural brain images - DICOM; Functional brain images - task - DICOM; Multiband diffusion brain images - DICOM; Susceptibility weighted brain images - DICOM; T2 FLAIR structural brain images - DICOM; T2/PD brain images - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; Multiband diffusion brain images - NIFTI; Susceptibility weighted brain images - NIFTI; ... +36 more,Brain MRI/imaging,field_family_phrase,brain scan source files are s3 fields
cardiac imaging,20207; 20208; 20209; 30099; 1020207; 1020208; 1020209; 2020207; 2020208; 2020209,Scout images for heart MRI - DICOM; Long axis heart images - DICOM; Short axis heart images - DICOM; Cardiac biventricular mesh models; EMBARGOED UNLINKED : Scout images for heart MRI - DICOM; EMBARGOED UNLINKED : Long axis heart images - DICOM; EMBARGOED UNLINKED : Short axis heart images - DICOM; EMBARGOED LINKED : Scout images for heart MRI - DICOM; EMBARGOED LINKED : Long axis heart images - DICOM; EMBARGOED LINKED : Short axis heart images - DICOM,Cardiac MRI/imaging,field_family_phrase,cardiac imaging source files are s3 fields
cardiac MRI,20207; 20208; 20209; 30099; 1020207; 1020208; 1020209; 2020207; 2020208; 2020209,Scout images for heart MRI - DICOM; Long axis heart images - DICOM; Short axis heart images - DICOM; Cardiac biventricular mesh models; EMBARGOED UNLINKED : Scout images for heart MRI - DICOM; EMBARGOED UNLINKED : Long axis heart images - DICOM; EMBARGOED UNLINKED : Short axis heart images - DICOM; EMBARGOED LINKED : Scout images for heart MRI - DICOM; EMBARGOED LINKED : Long axis heart images - DICOM; EMBARGOED LINKED : Short axis heart images - DICOM,Cardiac MRI/imaging,field_family_phrase,heart/cardiac MRI source files are s3 fields
carotid ultrasound,20222; 20223; 20226; 20241; 30005; 1020222; 1020223; 1020226; 1020241; 1030005; 2020222; 2020223; 2020226; 2020241; 2030005,Carotid artery ultrasound image (left); Carotid artery ultrasound image (right); Carotid artery ultrasound report; Raw carotid device data; Carotid Artery Ultrasound (MAT format); EMBARGOED UNLINKED : Carotid artery ultrasound image (left); EMBARGOED UNLINKED : Carotid artery ultrasound image (right); EMBARGOED UNLINKED : Carotid artery ultrasound report; EMBARGOED UNLINKED : Raw carotid device data; EMBARGOED UNLINKED : Carotid Artery Ultrasound (MAT format); EMBARGOED LINKED : Carotid artery ultrasound image (left); EMBARGOED LINKED : Carotid artery ultrasound image (right); ... +3 more,Carotid ultrasound,field_family_phrase,carotid ultrasound files are s3 fields
cine tagging,20211; 1020211; 2020211,Cine tagging images - DICOM; EMBARGOED UNLINKED : Cine tagging images - DICOM; EMBARGOED LINKED : Cine tagging images - DICOM,Cardiac MRI/imaging,field_title_stem,cine-tagging heart images are s3 fields
diffusion MRI,20218; 20250; 1020218; 1020250; 2020218; 2020250,Multiband diffusion brain images - DICOM; Multiband diffusion brain images - NIFTI; EMBARGOED UNLINKED : Multiband diffusion brain images - DICOM; EMBARGOED UNLINKED : Multiband diffusion brain images - NIFTI; EMBARGOED LINKED : Multiband diffusion brain images - DICOM; EMBARGOED LINKED : Multiband diffusion brain images - NIFTI,Brain MRI/imaging,field_family_phrase,diffusion MRI fields are s3 fields
dMRI,20218; 20250; 1020218; 1020250; 2020218; 2020250,Multiband diffusion brain images - DICOM; Multiband diffusion brain images - NIFTI; EMBARGOED UNLINKED : Multiband diffusion brain images - DICOM; EMBARGOED UNLINKED : Multiband diffusion brain images - NIFTI; EMBARGOED LINKED : Multiband diffusion brain images - DICOM; EMBARGOED LINKED : Multiband diffusion brain images - NIFTI,Brain MRI/imaging,acronym,diffusion MRI fields are s3 fields
DXA images,20158; 1020158; 2020158,DXA images; EMBARGOED UNLINKED : DXA images; EMBARGOED LINKED : DXA images,DXA imaging,field_title_exact,specific s3 field title after file-format suffix removal
fMRI,20217; 20225; 20227; 20249; 1020217; 1020225; 1020227; 1020249; 2020217; 2020225; 2020227; 2020249,Functional brain images - task - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - NIFTI; EMBARGOED LINKED : Functional brain images - task - DICOM; EMBARGOED LINKED : Functional brain images - resting - DICOM; EMBARGOED LINKED : Functional brain images - resting - NIFTI; EMBARGOED LINKED : Functional brain images - task - NIFTI,Brain MRI/imaging,acronym,fMRI files and outputs are s3 fields
functional MRI,20217; 20225; 20227; 20249; 1020217; 1020225; 1020227; 1020249; 2020217; 2020225; 2020227; 2020249,Functional brain images - task - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - NIFTI; EMBARGOED LINKED : Functional brain images - task - DICOM; EMBARGOED LINKED : Functional brain images - resting - DICOM; EMBARGOED LINKED : Functional brain images - resting - NIFTI; EMBARGOED LINKED : Functional brain images - task - NIFTI,Brain MRI/imaging,field_family_phrase,functional brain MRI files are s3 fields
heart MRI,20207; 20208; 20209; 1020207; 1020208; 1020209; 2020207; 2020208; 2020209,Scout images for heart MRI - DICOM; Long axis heart images - DICOM; Short axis heart images - DICOM; EMBARGOED UNLINKED : Scout images for heart MRI - DICOM; EMBARGOED UNLINKED : Long axis heart images - DICOM; EMBARGOED UNLINKED : Short axis heart images - DICOM; EMBARGOED LINKED : Scout images for heart MRI - DICOM; EMBARGOED LINKED : Long axis heart images - DICOM; EMBARGOED LINKED : Short axis heart images - DICOM,Cardiac MRI/imaging,field_family_phrase,heart MRI source files are s3 fields
kidney imaging,20243; 20264; 20265; 20267; 1020264; 1020265; 1020267; 2020264; 2020265; 2020267,Kidney Imaging - T1 ShMOLLI - DICOM; Kidney Imaging - gradient echo - DICOM; Kidney Imaging - T2 haste - DICOM; Kidney imaging - T1 Vibe - DICOM; EMBARGOED UNLINKED : Kidney Imaging - gradient echo - DICOM; EMBARGOED UNLINKED : Kidney Imaging - T2 haste - DICOM; EMBARGOED UNLINKED : Kidney imaging - T1 Vibe - DICOM; EMBARGOED LINKED : Kidney Imaging - gradient echo - DICOM; EMBARGOED LINKED : Kidney Imaging - T2 haste - DICOM; EMBARGOED LINKED : Kidney imaging - T2 Vibe - DICOM,Kidney imaging,field_family_phrase,kidney DICOM imaging files are s3 fields
liver imaging,20203; 20204; 20254; 1020203; 1020204; 1020254; 2020203; 2020204; 2020254,Liver imaging - gradient echo - DICOM; Liver Imaging - T1 ShMoLLI - DICOM; Liver imaging - IDEAL protocol - DICOM; EMBARGOED UNLINKED : Liver imaging - gradient echo - DICOM; EMBARGOED UNLINKED : Liver Imaging - T1 ShMoLLI - DICOM; EMBARGOED UNLINKED : Liver imaging - IDEAL protocol - DICOM; EMBARGOED LINKED : Liver imaging - gradient echo - DICOM; EMBARGOED LINKED : Liver Imaging - T1 ShMoLLI - DICOM; EMBARGOED LINKED : Liver imaging - IDEAL protocol - DICOM,Liver imaging,field_family_phrase,liver DICOM imaging files are s3 fields
MRI scan,20207; 20215; 31001; 31002; 31003; 31004; 31005; 31006; 31007; 31008; 31236; 31237; 31238; 31239; 31240; 31241; 31242; 32136; 1020207; 1020215; 1025750; 1025751; 1025752; 1025753; 1025754; 1025755; 1032136; 2020207; 2020215; 2025750; 2025751; 2025752; 2025753; 2025754; 2025755; 2032136,Scout images for heart MRI - DICOM; Scout images for brain scans - DICOM; Native aparc a2009s dMRI; Native aparc dMRI; Native Glasser dMRI; Native Schaefer7n200p dMRI; Native Schaefer7n500p dMRI; Native Tian Subcortex S1 3T dMRI; Native Tian Subcortex S4 3T dMRI; Native Schaefer7n1000p dMRI; PANDORA: included in dMRI tracts; PANDORA: included in tfMRI cope1; ... +24 more,Mixed s3 imaging/file fields,field_family_phrase,MRI scan files appear in s3 field titles
MRI scans,20207; 20215; 31001; 31002; 31003; 31004; 31005; 31006; 31007; 31008; 31236; 31237; 31238; 31239; 31240; 31241; 31242; 32136; 1020207; 1020215; 1025750; 1025751; 1025752; 1025753; 1025754; 1025755; 1032136; 2020207; 2020215; 2025750; 2025751; 2025752; 2025753; 2025754; 2025755; 2032136,Scout images for heart MRI - DICOM; Scout images for brain scans - DICOM; Native aparc a2009s dMRI; Native aparc dMRI; Native Glasser dMRI; Native Schaefer7n200p dMRI; Native Schaefer7n500p dMRI; Native Tian Subcortex S1 3T dMRI; Native Tian Subcortex S4 3T dMRI; Native Schaefer7n1000p dMRI; PANDORA: included in dMRI tracts; PANDORA: included in tfMRI cope1; ... +24 more,Mixed s3 imaging/file fields,field_family_phrase,MRI scan files appear in s3 field titles
pancreas imaging,20202; 20206; 20259; 20260; 1020202; 1020206; 1020259; 1020260; 2020202; 2020206; 2020259; 2020260,Pancreatic fat - DICOM; Measurements of pancreas volume - DICOM; Pancreas Images - ShMoLLI - DICOM; Pancreas Images - gradient echo - DICOM; EMBARGOED UNLINKED : Pancreatic fat - DICOM; EMBARGOED UNLINKED : Measurements of pancreas volume - DICOM; EMBARGOED UNLINKED : Pancreas Images - ShMoLLI - DICOM; EMBARGOED UNLINKED : Pancreas Images - gradient echo - DICOM; EMBARGOED LINKED : Pancreatic fat - DICOM; EMBARGOED LINKED : Measurements of pancreas volume - DICOM; EMBARGOED LINKED : Pancreas Images - ShMoLLI - DICOM; EMBARGOED LINKED : Pancreas Images - gradient echo - DICOM,Pancreas imaging,field_family_phrase,pancreas DICOM imaging files are s3 fields
Phoenix DICOM,20224; 1020224; 2020224,Phoenix - DICOM; EMBARGOED UNLINKED : Phoenix - DICOM; EMBARGOED LINKED : Phoenix - DICOM,Mixed s3 imaging/file fields,field_title_exact,normalized exact title of an s3 Schema 1 field
raw imaging,20201; 20202; 20203; 20204; 20206; 20207; 20208; 20209; 20210; 20211; 20212; 20213; 20214; 20215; 20216; 20217; 20218; 20219; 20220; 20221; 20224; 20225; 20227; 20241; 20243; 20249; 20250; 20251; 20252; 20253; 20254; 20259; 20260; 20264; 20265; 20266; 20267; 26300; 26301; 32136; 1020201; 1020202; 1020203; 1020204; 1020206; 1020207; 1020208; 1020209; 1020210; 1020211; 1020212; 1020213; 1020214; 1020215; 1020216; 1020217; 1020218; 1020219; 1020220; 1020221; 1020224; 1020225; 1020227; 1020241; 1020249; 1020250; 1020251; 1020252; 1020253; 1020254; 1020259; 1020260; 1020264; 1020265; 1020266; 1020267; 1026300; 1026301; 2020201; 2020202; 2020203; 2020204; 2020206; 2020207; 2020208; 2020209; 2020210; 2020211; 2020212; 2020213; 2020214; 2020215; 2020216; 2020217; 2020218; 2020219; 2020220; 2020221; 2020224; 2020225; 2020227; 2020241; 2020249; 2020250; 2020251; 2020252; 2020253; 2020254; 2020259; 2020260; 2020264; 2020265; 2020266; 2020267; 2026300; 2026301,Dixon technique for internal fat - DICOM; Pancreatic fat - DICOM; Liver imaging - gradient echo - DICOM; Liver Imaging - T1 ShMoLLI - DICOM; Measurements of pancreas volume - DICOM; Scout images for heart MRI - DICOM; Long axis heart images - DICOM; Short axis heart images - DICOM; Aortic distensibilty images - DICOM; Cine tagging images - DICOM; Left ventricular outflow tract images - DICOM; Blood flow images - DICOM; ... +104 more,Mixed s3 imaging/file fields,field_family_phrase,s3 fields include raw imaging/file-format products
rfMRI,20225; 20227; 32136; 1020225; 1020227; 1032136; 2020225; 2020227; 2032136,Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Surface-based analysis of resting and task fMRI - CIFTI; EMBARGOED UNLINKED : Functional brain images - resting - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - NIFTI; EMBARGOED UNLINKED : Surface-based analysis of resting and task fMRI; EMBARGOED LINKED : Functional brain images - resting - DICOM; EMBARGOED LINKED : Functional brain images - resting - NIFTI; EMBARGOED LINKED : Surface-based analysis of resting and task fMRI,Mixed s3 imaging/file fields,acronym,resting fMRI fields are s3 fields
structural segmentations,20263; 1020263; 2020263,T1 surface model files and additional structural segmentations; EMBARGOED UNLINKED : T1 surface model files and additional structural segmentations; EMBARGOED LINKED : T1 surface model files and additional structural segmentations,Mixed s3 imaging/file fields,field_family_phrase,structural segmentation files are s3 fields
T1 structural,20216; 20252; 1020216; 1020252; 2020216; 2020252,T1 structural brain images - DICOM; T1 structural brain images - NIFTI; EMBARGOED UNLINKED : T1 structural brain images - DICOM; EMBARGOED UNLINKED : T1 structural brain images - NIFTI; EMBARGOED LINKED : T1 structural brain images - DICOM; EMBARGOED LINKED : T1 structural brain images - NIFTI,Brain MRI/imaging,field_family_phrase,T1 structural brain files are s3 fields
T2 FLAIR,20220; 20253; 31234; 31235; 1020220; 1020253; 2020220; 2020253,T2 FLAIR structural brain images - DICOM; T2 FLAIR structural brain images - NIFTI; PANDORA: included in T2 FLAIR; PANDORA: included in T2 FLAIR lesions; EMBARGOED UNLINKED : T2 FLAIR structural brain images - DICOM; EMBARGOED UNLINKED : T2 FLAIR structural brain images - NIFTI; EMBARGOED LINKED : T2 FLAIR structural brain images - DICOM; EMBARGOED LINKED : T2 FLAIR structural brain images - NIFTI,Brain MRI/imaging,field_family_phrase,T2 FLAIR brain files are s3 fields
tfMRI,20217; 20249; 32136; 1020217; 1020249; 1032136; 2020217; 2020249; 2032136,Functional brain images - task - DICOM; Functional brain images - task - NIFTI; Surface-based analysis of resting and task fMRI - CIFTI; EMBARGOED UNLINKED : Functional brain images - task - DICOM; EMBARGOED UNLINKED : Functional brain images - task - NIFTI; EMBARGOED UNLINKED : Surface-based analysis of resting and task fMRI; EMBARGOED LINKED : Functional brain images - task - DICOM; EMBARGOED LINKED : Functional brain images - task - NIFTI; EMBARGOED LINKED : Surface-based analysis of resting and task fMRI,Mixed s3 imaging/file fields,acronym,task fMRI fields are s3 fields
CIFTI,32136,Surface-based analysis of resting and task fMRI - CIFTI,Brain MRI/imaging,file_format,CIFTI appears in an s3 fMRI connectivity field title
DICOM,20201; 20202; 20203; 20204; 20206; 20207; 20208; 20209; 20210; 20211; 20212; 20213; 20214; 20215; 20216; 20217; 20218; 20219; 20220; 20221; 20224; 20225; 20243; 20254; 20259; 20260; 20264; 20265; 20266; 20267; 1020201; 1020202; 1020203; 1020204; 1020206; 1020207; 1020208; 1020209; 1020210; 1020211; 1020212; 1020213; 1020214; 1020215; 1020216; 1020217; 1020218; 1020219; 1020220; 1020221; 1020224; 1020225; 1020254; 1020259; 1020260; 1020264; 1020265; 1020266; 1020267; 2020201; 2020202; 2020203; 2020204; 2020206; 2020207; 2020208; 2020209; 2020210; 2020211; 2020212; 2020213; 2020214; 2020215; 2020216; 2020217; 2020218; 2020219; 2020220; 2020221; 2020224; 2020225; 2020254; 2020259; 2020260; 2020264; 2020265; 2020266; 2020267,Dixon technique for internal fat - DICOM; Pancreatic fat - DICOM; Liver imaging - gradient echo - DICOM; Liver Imaging - T1 ShMoLLI - DICOM; Measurements of pancreas volume - DICOM; Scout images for heart MRI - DICOM; Long axis heart images - DICOM; Short axis heart images - DICOM; Aortic distensibilty images - DICOM; Cine tagging images - DICOM; Left ventricular outflow tract images - DICOM; Blood flow images - DICOM; ... +76 more,Mixed s3 imaging/file fields,file_format,DICOM appears in many s3 raw imaging field titles
NIFTI,20227; 20249; 20250; 20251; 20252; 20253; 26300; 26301; 1020227; 1020249; 1020250; 1020251; 1020252; 1020253; 1026300; 1026301; 2020227; 2020249; 2020250; 2020251; 2020252; 2020253; 2026300; 2026301,Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; Multiband diffusion brain images - NIFTI; Susceptibility weighted brain images - NIFTI; T1 structural brain images - NIFTI; T2 FLAIR structural brain images - NIFTI; Arterial spin labelling brain images - NIFTI; Quantitative susceptibility mapping images - NIFTI; EMBARGOED UNLINKED : Functional brain images - resting - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - NIFTI; EMBARGOED UNLINKED : Multiband diffusion brain images - NIFTI; EMBARGOED UNLINKED : Susceptibility weighted brain images - NIFTI; ... +12 more,Mixed s3 imaging/file fields,file_format,NIFTI appears in s3 brain MRI field titles
QSM,26301; 31230; 1026301; 2026301,Quantitative susceptibility mapping images - NIFTI; PANDORA: included in SWI QSM; EMBARGOED UNLINKED : Quantitative susceptibility mapping images - NIFTI; EMBARGOED LINKED : Quantitative susceptibility mapping images - NIFTI,Mixed s3 imaging/file fields,acronym,quantitative susceptibility mapping fields are s3 fields
SWI,20219; 20251; 31230; 31231; 1020219; 1020251; 2020219; 2020251,Susceptibility weighted brain images - DICOM; Susceptibility weighted brain images - NIFTI; PANDORA: included in SWI QSM; PANDORA: included in SWI T2star; EMBARGOED UNLINKED : Susceptibility weighted brain images - DICOM; EMBARGOED UNLINKED : Susceptibility weighted brain images - NIFTI; EMBARGOED LINKED : Susceptibility weighted brain images - DICOM; EMBARGOED LINKED : Susceptibility weighted brain images - NIFTI,Brain MRI/imaging,acronym,susceptibility-weighted imaging fields are s3 fields
