grouping,value,field_count,application_field_link_count,distinct_application_count
main_category,172,4,0,0
main_category,17518,30,0,0
main_category,180,2,0,0
main_category,181,2,0,0
main_category,182,2,0,0
main_category,1839,5,0,0
main_category,185,17,0,0
main_category,18518,180,0,0
main_category,186,1,0,0
main_category,187,15,0,0
main_category,190,99,0,0
main_category,191,121,0,0
main_category,192,202,0,0
main_category,193,66,0,0
main_category,194,70,0,0
main_category,195,84,0,0
main_category,196,186,0,0
main_category,197,444,0,0
main_category,198,23,0,0
main_category,199001,8,0,0
main_category,2,7,0,0
main_category,200,1,0,0
main_category,2000,36,0,0
main_category,2001,23,0,0
main_category,2002,21,0,0
main_category,2003,45,0,0
main_category,2004,14,0,0
main_category,2005,21,0,0
main_category,2006,8,0,0
main_category,201,8,0,0
main_category,202,5,0,0
main_category,203,6,0,0
main_category,204,9,0,0
main_category,205,1,0,0
main_category,206,7,0,0
main_category,207,14,0,0
main_category,208,34,0,0
main_category,209,11,0,0
main_category,210,30,0,0
main_category,211,9,0,0
main_category,212,10,0,0
main_category,213,41,0,0
main_category,214,9,0,0
main_category,215,14,0,0
main_category,216,6,0,0
main_category,217,5,0,0
main_category,220,251,0,0
main_category,221,249,0,0
main_category,222,12,0,0
main_category,2401,346,0,0
main_category,2403,68,0,0
main_category,2404,146,0,0
main_category,2405,156,0,0
main_category,2406,136,0,0
main_category,2407,94,0,0
main_category,2408,48,0,0
main_category,2409,154,0,0
main_category,2410,128,0,0
main_category,2411,144,0,0
main_category,2412,144,0,0
main_category,2413,158,0,0
main_category,2414,164,0,0
main_category,2415,152,0,0
main_category,2416,118,0,0
main_category,2417,174,0,0
main_category,264,5,0,0
main_category,265,5,0,0
main_category,267,4,0,0
main_category,268,6,0,0
main_category,270,14,0,0
main_category,271,21,0,0
main_category,272,15,0,0
main_category,273,12,0,0
main_category,274,2,0,0
main_category,300,2,0,0
main_category,3001,3,0,0
main_category,301,39,0,0
main_category,302,53,0,0
main_category,348,48,0,0
main_category,349,66,0,0
main_category,43,8,0,0
main_category,44,6,0,0
main_category,45,2,0,0
main_category,46,2,0,0
main_category,47,8,0,0
main_category,48,2,0,0
main_category,49,2,0,0
main_category,50,8,0,0
main_category,501,4,0,0
main_category,502,6,0,0
main_category,503,4,0,0
main_category,504,7,0,0
main_category,505,8,0,0
main_category,506,11,0,0
main_category,507,29,24,2
main_category,51428,25,0,0
main_category,517,45,0,0
main_category,518,62,0,0
main_category,519,22,0,0
main_category,520,13,0,0
main_category,521,50,0,0
main_category,522,13,0,0
main_category,531,99,0,0
main_category,532,444,0,0
main_category,533,204,0,0
main_category,534,84,0,0
main_category,535,68,0,0
main_category,536,70,0,0
main_category,537,70,0,0
main_category,538,2,0,0
main_category,539,26,0,0
main_category,54,9,0,0
main_category,603,6,0,0
main_category,76,25,0,0
main_category,9081,124,0,0
main_category,97,5,0,0
main_category,989,22,0,0
main_category,990,4,0,0
main_category,991,94,0,0
main_category,992,24,0,0
main_category,993,9,0,0
main_category,994,4,0,0
main_category,995,5,0,0
main_category,997,4,0,0
main_category,998,8,0,0
