frequency,linkage_sample,application_sample,model,coefficient,n_periods,estimate,estimate_percentage_points,std_error,std_error_percentage_points,p_value,ci_low,ci_high,irr,inference,warning
quarterly,strict_21,drop_recent_12m,OLS rate segmented ITS,TimeAfterJuly2024,27,0.00004958,0.0050,0.00047010,0.0470,0.916013,-0.00087182,0.00097097,,OLS Newey-West HAC lag 1,
quarterly,strict_21,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,Time,27,,,,,,,,,,singular regression matrix
quarterly,strict_21,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,PostJuly2024,27,,,,,,,,,,singular regression matrix
quarterly,strict_21,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,TimeAfterJuly2024,27,,,,,,,,,,singular regression matrix
quarterly,main_27,drop_recent_12m,OLS rate segmented ITS,Time,27,-0.00059278,-0.0593,0.00009925,0.0099,0.000000,-0.00078731,-0.00039825,,OLS Newey-West HAC lag 1,
quarterly,main_27,drop_recent_12m,OLS rate segmented ITS,PostJuly2024,27,0.00063519,0.0635,0.00217093,0.2171,0.769836,-0.00361982,0.00489021,,OLS Newey-West HAC lag 1,
quarterly,main_27,drop_recent_12m,OLS rate segmented ITS,TimeAfterJuly2024,27,0.00048486,0.0485,0.00040349,0.0403,0.229496,-0.00030598,0.00127570,,OLS Newey-West HAC lag 1,
quarterly,main_27,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,Time,27,,,,,,,,,,singular regression matrix
quarterly,main_27,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,PostJuly2024,27,,,,,,,,,,singular regression matrix
quarterly,main_27,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,TimeAfterJuly2024,27,,,,,,,,,,singular regression matrix
quarterly,archived_broad_48,drop_recent_12m,OLS rate segmented ITS,Time,27,-0.00103212,-0.1032,0.00018236,0.0182,0.000000,-0.00138954,-0.00067470,,OLS Newey-West HAC lag 1,
quarterly,archived_broad_48,drop_recent_12m,OLS rate segmented ITS,PostJuly2024,27,0.00147504,0.1475,0.00282412,0.2824,0.601462,-0.00406024,0.00701031,,OLS Newey-West HAC lag 1,
quarterly,archived_broad_48,drop_recent_12m,OLS rate segmented ITS,TimeAfterJuly2024,27,0.00127250,0.1272,0.00051513,0.0515,0.013502,0.00026284,0.00228215,,OLS Newey-West HAC lag 1,
quarterly,archived_broad_48,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,Time,27,,,,,,,,,,singular regression matrix
quarterly,archived_broad_48,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,PostJuly2024,27,,,,,,,,,,singular regression matrix
quarterly,archived_broad_48,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,TimeAfterJuly2024,27,,,,,,,,,,singular regression matrix
quarterly,final_expanded,drop_recent_12m,OLS rate segmented ITS,Time,27,-0.00100233,-0.1002,0.00017651,0.0177,0.000000,-0.00134830,-0.00065637,,OLS Newey-West HAC lag 1,
quarterly,final_expanded,drop_recent_12m,OLS rate segmented ITS,PostJuly2024,27,0.00084267,0.0843,0.00262754,0.2628,0.748433,-0.00430731,0.00599265,,OLS Newey-West HAC lag 1,
quarterly,final_expanded,drop_recent_12m,OLS rate segmented ITS,TimeAfterJuly2024,27,0.00105068,0.1051,0.00054604,0.0546,0.054330,-0.00001955,0.00212092,,OLS Newey-West HAC lag 1,
quarterly,final_expanded,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,Time,27,,,,,,,,,,singular regression matrix
quarterly,final_expanded,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,PostJuly2024,27,,,,,,,,,,singular regression matrix
quarterly,final_expanded,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,TimeAfterJuly2024,27,,,,,,,,,,singular regression matrix
