frequency,linkage_sample,application_sample,model,coefficient,n_periods,estimate,estimate_percentage_points,std_error,std_error_percentage_points,p_value,ci_low,ci_high,irr,inference,warning
monthly,archived_broad_48,drop_recent_12m,OLS rate segmented ITS,Time,79,-0.00030835,-0.0308,0.00005874,0.0059,0.000000,-0.00042347,-0.00019323,,OLS Newey-West HAC lag 3,
monthly,archived_broad_48,drop_recent_12m,OLS rate segmented ITS,PostJuly2024,79,0.00035261,0.0353,0.00372938,0.3729,0.924673,-0.00695699,0.00766220,,OLS Newey-West HAC lag 3,
monthly,archived_broad_48,drop_recent_12m,OLS rate segmented ITS,TimeAfterJuly2024,79,0.00054569,0.0546,0.00044859,0.0449,0.223811,-0.00033355,0.00142492,,OLS Newey-West HAC lag 3,
monthly,archived_broad_48,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,Time,79,,,,,,,,,,singular regression matrix
monthly,archived_broad_48,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,PostJuly2024,79,,,,,,,,,,singular regression matrix
monthly,archived_broad_48,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,TimeAfterJuly2024,79,,,,,,,,,,singular regression matrix
monthly,final_expanded,drop_recent_12m,OLS rate segmented ITS,Time,79,-0.00029964,-0.0300,0.00005857,0.0059,0.000000,-0.00041444,-0.00018484,,OLS Newey-West HAC lag 3,
monthly,final_expanded,drop_recent_12m,OLS rate segmented ITS,PostJuly2024,79,0.00019306,0.0193,0.00382302,0.3823,0.959725,-0.00730007,0.00768619,,OLS Newey-West HAC lag 3,
monthly,final_expanded,drop_recent_12m,OLS rate segmented ITS,TimeAfterJuly2024,79,0.00041846,0.0418,0.00047298,0.0473,0.376300,-0.00050858,0.00134551,,OLS Newey-West HAC lag 3,
monthly,final_expanded,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,Time,79,,,,,,,,,,singular regression matrix
monthly,final_expanded,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,PostJuly2024,79,,,,,,,,,,singular regression matrix
monthly,final_expanded,drop_recent_12m,Poisson QMLE count/rate ITS with log(N_t) offset,TimeAfterJuly2024,79,,,,,,,,,,singular regression matrix
