outcome,outcome_file_label,model,coefficient,estimate,estimate_percentage_points,robust_se,robust_se_percentage_points,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,p_value,n_applications,r_squared,inference
Leak52,curated52,Raw application-level LPM,PostJuly2024,-0.01077367,-1.0774,0.00171155,0.1712,-0.01412831,-0.00741903,-1.4128,-0.7419,3.08024e-10,6935,0.003657,OLS HC1 robust SE
Leak55,broad55,Raw application-level LPM,PostJuly2024,-0.01146619,-1.1466,0.00175656,0.1757,-0.01490905,-0.00802333,-1.4909,-0.8023,6.68175e-11,6935,0.003918,OLS HC1 robust SE
