outcome,outcome_label,coefficient,estimate_beta,clustered_se,z,p_value,ci_low,ci_high,coefficient_status,n_applications,analytic_universe_applications,start_month_clusters,month_of_year_fixed_effects,inference,source_membership_applications,analytic_positive_applications
Leak55,Broad 55 attribution outcome,month_10,-0.90862556,0.81450684,-1.115553,0.264614,-2.50505896,0.68780784,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",55,55
Leak55,Broad 55 attribution outcome,month_11,-0.03029850,0.60707801,-0.049909,0.960195,-1.22017140,1.15957440,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",55,55
Leak55,Broad 55 attribution outcome,month_12,-0.62123221,0.80461996,-0.772082,0.440066,-2.19828734,0.95582292,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",55,55
Leak269,Candidate-inclusive upper-bound attribution outcome,Intercept,-3.07616214,0.35842138,-8.582530,9.28092e-18,-3.77866804,-2.37365623,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,Time,-0.00647057,0.00194956,-3.318992,0.00090343,-0.01029170,-0.00264943,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,PostJuly2024,-0.48298098,0.27471183,-1.758137,0.0787242,-1.02141616,0.05545421,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,TimeAfterJuly2024,0.03639967,0.01858740,1.958298,0.050195,-0.00003163,0.07283096,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_01,,,,,,,reference_month_omitted,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_02,0.48552373,0.39138584,1.240525,0.214781,-0.28159251,1.25263997,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_03,0.98738722,0.31738274,3.111030,0.00186436,0.36531706,1.60945738,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_04,0.52003914,0.32306922,1.609683,0.107467,-0.11317654,1.15325482,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_05,0.63889340,0.31352145,2.037798,0.0415701,0.02439136,1.25339543,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_06,0.46740841,0.32700594,1.429358,0.152901,-0.17352323,1.10834005,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_07,0.45503667,0.32158989,1.414959,0.15708,-0.17527952,1.08535285,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_08,0.70255642,0.32043723,2.192493,0.0283439,0.07449945,1.33061339,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_09,0.41563884,0.36854179,1.127793,0.259407,-0.30670307,1.13798076,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_10,0.43917244,0.34780467,1.262699,0.206698,-0.24252471,1.12086959,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_11,0.55500008,0.34180576,1.623729,0.104434,-0.11493921,1.22493938,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
Leak269,Candidate-inclusive upper-bound attribution outcome,month_12,1.05843284,0.32336614,3.273172,0.00106348,0.42463520,1.69223049,estimated,6935,6935,162,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",269,266
