application_id,application_title,tier,source_set,has_valid_public_start_date,project_start_date,included_in_fixed_6935_application_universe,exclusion_reason
106223,An integrated biopsychosocial approach to identify shared mechanisms underlying major psychiatric and neurodegenerative disorders,Tier 5,candidate-inclusive upper-bound attribution,yes,2023-08-09,yes,
107825,A diseases prediction model based on common variants (polygenic risk score) and rare variants (variant weighted gene burden scores) in whole exome sequencing data,Tier 5,candidate-inclusive upper-bound attribution,yes,2023-09-27,yes,
109607,Assessment and prediction of early neurodegenerative diseases and dementia,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-10-23,yes,
115757,"Investigating Food-Drug Interactions for Cardiometabolic Disease Risks Using Machine Learning, Mendelian Randomization, and PBPK Models",Tier 5,candidate-inclusive upper-bound attribution,yes,2023-10-26,yes,
116200,Influences of rare non-protein-coding genetic variants across the phenome,Tier 5,candidate-inclusive upper-bound attribution,yes,2023-11-22,yes,
134960,"Artificial intelligence (AI) and radiomics for cardiac and brain magnetic resonance based imaging analysis: artifact reduction, quality assessment and interaction between cardiac and brain",Tier 5,candidate-inclusive upper-bound attribution,yes,2023-12-06,yes,
146079,Epidemiological and Genetic Risk Factors for keloid and hypertrophic scar,Tier 4,candidate-inclusive upper-bound attribution,yes,2024-02-27,yes,
148757,Genetic risk prediction of non-contact ACL rupture using polygenic risk scores,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-02-27,yes,
148925,Multimodal representation learning of remote and wearable data to clinical health data for longitudinal risk prediction,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-04-28,yes,
171511,Improving of polygenic scores using exome and whole genome resequencing data and repeat imaging,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-03-27,yes,
176486,"Integration of Clinical, Imaging, and Genetic Data to Explore the Association between Sarcopenic Obesity and Selected Chronic Diseases, as well as the Role of Lifestyle Factors",Tier 5,candidate-inclusive upper-bound attribution,yes,2024-03-13,yes,
177030,Impacts of rapid environmental/societal changes on the genetic architecture of and selection on human traits,Tier 1,candidate-inclusive upper-bound attribution,yes,2024-03-26,yes,
190333,Whole-genome identification of rare variants in UK Biobank Glaucoma patients,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-07-22,yes,
190346,Incorporating Multi-Trait Polygenic Risk Scores into an Ensemble Learning Classifier Improves the Risk Stratification for Type 2 Diabetes in the Qatar Biobank Cohort,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-01-22,yes,
207159,Statistical and Machine-Learning Methods for Genetic and Health-Record Data,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-10-30,yes,
209139,"Discovery, development, and validation of biomarkers and imaging phenotypes for neurodegenerative diseases",Tier 5,candidate-inclusive upper-bound attribution,yes,2024-12-17,yes,
214427,Hematopoiesis in type 1 diabetes.,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-10-10,yes,
276785,Genetic basis of inflammatory immune mediated diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-12-18,yes,
317703,Investigating the impact of genome-wide variants on human diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-11-20,yes,
341475,Biomarker discovery in neurodegenerative diseases using integrated longitudinal data analysis,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-04-25,yes,
412140,Using Machine Learning and Deep Learning for (Early) Detection of Dementia Disease,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-12-12,yes,
423966,Machine learning of retinal markers in Parkinson's disease.,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-11-01,yes,
474802,Deconstructing the genetic basis of human complex phenotypes,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-12-06,yes,
494920,Comparative Analysis of Risk Profiles and Longitudinal Changes in Risk Factors for Colorectal and Lung Cancer: Insights from the UK Biobank,Tier 5,candidate-inclusive upper-bound attribution,yes,2024-12-17,yes,
519005,Predictive Models for Cardio-Metabolic Disease,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-05-26,yes,
523060,Improving risk prediction of multimorbidity by multimodal learning across populations of different age groups and ancestries.,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-05-29,yes,
532322,Stratification of general cohort for precision pharmacogenomic application in immunological diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-04-01,yes,
532367,Identifying factors of ageing and comorbidities using multivariate survival analysis of disease phenotypes in UK biobank,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-05-15,yes,
564547,"An Integrated Exploration of Behavioral, Environmental, and Genetic Predictors Associated with the Onset and Prognosis of Cardiovascular Disease, Digestive Diseases, and Multimorbidity",Tier 5,candidate-inclusive upper-bound attribution,yes,2025-01-09,yes,
578405,"Risk evaluation using multi-environmental factors [natural environmental, social, behavioral, dietary determinants, etc.] of health and genetic susceptibility for prevention of complex diseases.",Tier 5,candidate-inclusive upper-bound attribution,yes,2025-01-22,yes,
579398,"Multimodal Integration of Genetic, Environmental, and Biomarkers for Early Detection and Prevention of Accelerated Brain Aging",Tier 5,candidate-inclusive upper-bound attribution,yes,2025-11-19,yes,
592266,Integrating Multifaceted Data to Identify Risk Factors for Valvular Disease,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-04-30,yes,
639461,Investigating the Shared Mechanisms and Risk Assessment of Systemic Diseases and Neurodegenerative Disorders,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-04-17,yes,
672457,Exploration of risk and prognostic factors for urologic cancers and construction of precise prediction models: A large-scale cohort study and mendelian randomization analysis,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-03-04,yes,
673794,Improving Complex Disease Prediction Through Machine Learning Analysis of Coding Variants in UK Biobank,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-05-23,yes,
680373,"Creating and validating Integrated Risk Scores that incorporate polygenic risk scores, rare variant burden, and family history",Tier 5,candidate-inclusive upper-bound attribution,yes,2025-03-10,yes,
692259,Exploring the association between neuropsychiatric diseases and cardiovascular diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-07-03,yes,
714779,Investigating the causal Relationships and Predictive Modeling Between Circulatory Disorders and neuropsychiatric Outcomes,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-10-30,yes,
753669,Systemic GenAI models from peripheral samples,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-07-25,yes,
762904,Multimodal Biomarker Signatures and AI-Powered Predictive Modeling for Early Stratification of Central Nervous System Degenerative Disorders,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-08-11,yes,
775744,AI-Driven Retinal Analysis for Early Detection of Neurocognitive Disorders and Modifiable Risk Factors,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-04-28,yes,
778098,Predictive Modeling for Hypertensive Retinopathy Using AI-Driven Fundus Photography Analysis,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-07-18,yes,
784342,Deep Learning-Based Multimodal Integration of Imaging and Genetic Features for Carotid Atherosclerosis Characterization,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-07-03,yes,
789279,Study of preclinical brain structure changes in response to occupational and environmental characteristics.,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-05-28,yes,
795542,"Redefining the Cardiovascular Continuum: Integrating Risk, Genomic, and Therapeutics for Precision Medicine",Tier 5,candidate-inclusive upper-bound attribution,yes,2025-06-23,yes,
807154,Validation of the Automated Intelligence Genetics (AIG) Technology for Personalized Medicine: Multi-Scale Predictive Models Using Genomic and Clinical Data from UK Biobank.,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-08-26,yes,
822932,Inherent and non-inherent factors for chronic diseases and multimorbidity,Tier 1,candidate-inclusive upper-bound attribution,yes,2025-12-01,yes,
823964,From genotype to target: data-driven functional genomics for therapeutic discovery in common chronic and fibrotic diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-06-24,yes,
826232,Prediction of Bidirectional Relationships Between Major Psychiatric Disorders and Cognitive Decline Using Multi-modal Machine Learning in UK Biobank,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-08-21,yes,
867484,Identifying predictors for persistent pain after joint replacement in osteoarthritis patients by integrative analysis of multimodal data,Tier 1,candidate-inclusive upper-bound attribution,yes,2025-08-05,yes,
881679,End-to-End AI-Driven Prediction of Glaucoma-Linked Genetic Variants from OCT Retinal Imaging,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-11-05,yes,
888618,Correlation analysis between metabolism-related risk factors and long-term prognosis of metabolic syndrome,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-09-19,yes,
899824,Advancing complex trait prediction and genetic understanding using genome sequence data,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-11-19,yes,
903785,The genetic architecture and multi-omics characteristics of the association between precision nutrition interventions and brain disorders,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-09-15,yes,
905766,Machine Learning Based Early Stroke Detection on Retinal Images with other Neurological Diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-10-02,yes,
922920,"Integrative predictive modeling of multi-modal data in cancer, aging, and cardiovascular diseases",Tier 5,candidate-inclusive upper-bound attribution,yes,2025-10-17,yes,
940419,AI-Driven Radiogenomic and Body Composition Analysis for Abdominal Tumor Diagnosis and Prognosis,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-07-29,yes,
1012028,Integrating Multimodal Exposures for Risk Stratification: Identifying Key Modifiable Determinants and Developing Predictive Models in Neuropsychiatric Disorders,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-09-28,yes,
1012351,"Multi-Omics Profiling of Geriatric Multimorbidity: Integrating Genomic, Metabolomic, Radiomic and Proteomic Signatures with Neuroimaging in Aging-related Diseases",Tier 5,candidate-inclusive upper-bound attribution,yes,2026-02-13,yes,
1029266,Female-specific plasma proteomic trajectories and causal inflammatory pathways in multi-modal prediction of Alzheimer's disease risk (PhD project),Tier 5,candidate-inclusive upper-bound attribution,yes,2026-01-13,yes,
1040154,Development of UK Biobank-based multimodal models for early prediction and recurrence risk assessment of gout,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-02-18,yes,
1054981,Polygenic Risk for Mental Health and Its Impact on All-Cause and Cause-Specific Mortality: Evidence from the UK Biobank,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-11-28,yes,
1059547,"Genetic architecture of reaction time, brain size, and cognitive functions from whole-genome sequencing in the UK Biobank",Tier 5,candidate-inclusive upper-bound attribution,yes,2026-03-05,yes,
1061558,"Risk and Prognostic Factors in Neurodegenerative Diseases: A Systematic Research Integrating Multimodal Imaging, Multi-Omics, Lifestyle, and Environmental Exposures",Tier 5,candidate-inclusive upper-bound attribution,yes,2025-10-03,yes,
1063834,AI models for personalised cardiovascular risk prediction and prevention in midlife women using multimodal data from UK Biobank (CARAMEL Project),Tier 5,candidate-inclusive upper-bound attribution,yes,2025-12-01,yes,
1078387,Integrating Multi-Omics for Risk Prediction and Mechanistic Insight in Cardio-Cerebrovascular Diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-10-31,yes,
1084290,Identification of multi-omic biomarkers for neurodegenerative diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-01-29,yes,
1108389,"Integrating Lifestyle Behaviours, Polygenic Risk, and Digital Biomarkers to Predict Chronic Disease, Physical Function Decline, and Cognitive Impairment",Tier 5,candidate-inclusive upper-bound attribution,yes,2025-11-13,yes,
1110109,"Predicting First-Time Stroke Risk Through Integration of Genetic, Clinical, and Lifestyle Factors",Tier 5,candidate-inclusive upper-bound attribution,yes,2026-04-17,yes,
1124550,"Multi-Modal Research for Predictive, Preventive and Precision Health Using UK Biobank Data",Tier 5,candidate-inclusive upper-bound attribution,yes,2025-12-18,yes,
1127907,Multi-Omics and Imaging Integration for Cardiovascular Risk Prediction: A UK Biobank Study,Tier 5,candidate-inclusive upper-bound attribution,yes,2025-12-15,yes,
1141727,Validation of the PRS-Augmented QDiabetes Model for Type 2 Diabetes Risk Prediction in the UK Biobank.,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-03-22,yes,
1145019,Uncovering Genetic Determinants of Risk and Progression in Multiple Sclerosis through Rare and Common Variant Analyses,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-02-26,yes,
1146999,"Blood-based biomarkers, proteomics and genetics to predict and understand hematologic malignancies in UK Biobank",Tier 5,candidate-inclusive upper-bound attribution,yes,2026-01-06,yes,
1159532,longitudinal multimodal intelligence for trustworthy prediction and reasoning of time-to-onset and progression of diabetic retinopathy in UK Biobank,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-03-28,yes,
1168445,"Multifactorial Risk Profiling of Diabetes Mellitus and Its Complications Using Integrated Genomic, Biomarker, and Lifestyle Data from UK Biobank",Tier 5,candidate-inclusive upper-bound attribution,yes,2026-02-23,yes,
1188902,Construction of Multi-Omics Biomarker-Based Predictive Models for Cancer Risk Using the UK Biobank,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-01-13,yes,
1203422,Molecular and genetic analysis of unilateral renal diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-04-15,yes,
1209696,Determining the relationship of gut microbiome to venous leg ulcers using the UK Biobank and MiBioGen consortium databases,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-02-13,yes,
1221902,Precision prediction and intervention strategies for age-related diseases using multimodal biomarkers,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-02-09,yes,
1237419,Development and Validation of Multi-Biomarker Aging and Disease Risk Prediction Models Using UK Biobank Data,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-02-18,yes,
1252926,Learning Robust Multimodal Risk Prediction Models for Cardiometabolic and Mental Health Outcomes Using UK Biobank Data,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-03-16,yes,
1290541,Comparative proteogenomics of neurodegenerative disease for precision medicine,Tier 5,candidate-inclusive upper-bound attribution,yes,2026-03-18,yes,
