period,period_start,frequency,applications_started,post_july2024_period,exact_post_july2024_applications,strict_21_leakage_risk_applications,strict_21_leakage_rate,strict_21_leakage_rate_percent,main_27_leakage_risk_applications,main_27_leakage_rate,main_27_leakage_rate_percent,archived_broad_48_leakage_risk_applications,archived_broad_48_leakage_rate,archived_broad_48_leakage_rate_percent,final_expanded_leakage_risk_applications,final_expanded_leakage_rate,final_expanded_leakage_rate_percent
2015-06,2015-06-01,monthly,6,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015-07,2015-07-01,monthly,15,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015-08,2015-08-01,monthly,11,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015-09,2015-09-01,monthly,23,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015-10,2015-10-01,monthly,33,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015-11,2015-11-01,monthly,8,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015-12,2015-12-01,monthly,11,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2016-01,2016-01-01,monthly,20,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2016-02,2016-02-01,monthly,11,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2016-03,2016-03-01,monthly,15,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.06666667,6.66667
2016-04,2016-04-01,monthly,22,0,0,1,0.04545455,4.54545,1,0.04545455,4.54545,1,0.04545455,4.54545,1,0.04545455,4.54545
2016-05,2016-05-01,monthly,19,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.05263158,5.26316,1,0.05263158,5.26316
2016-06,2016-06-01,monthly,20,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2016-07,2016-07-01,monthly,16,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2016-08,2016-08-01,monthly,14,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2016-09,2016-09-01,monthly,10,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2016-10,2016-10-01,monthly,14,0,0,1,0.07142857,7.14286,1,0.07142857,7.14286,1,0.07142857,7.14286,1,0.07142857,7.14286
