application_id,application_title,application_pi,application_institution,project_start_date,project_start_month,project_start_year,project_start_quarter,post_july2024,analysis_eligible_start_date,primary_its_window_2019_2025,drop_recent_12m_sample,website_match_status,website_url,leak_strict_21,leak_main_27,leak_archived_broad_48,leak_final_expanded,linkage_confidence,linked_lineage_count,linked_family_count,linked_repo_count,linked_notice_count,linked_targeted_row_count,linked_lineages,linked_repo_urls,evidence_grades,count_notes
52293,"Large-scale whole genome sequencing of the UK Biobank cohort to generate and evaluate therapeutic hypotheses regarding targets, biomarkers and pathways implicated in disease",Dr Adrian Cortes,"Janssen Research And Development, LLC",2020-02-03,2020-02,2020,2020Q1,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/large-scale-whole-genome-sequencing-of-the-uk-biobank-cohort-to-generate-and-evaluate-therapeutic-hypotheses-regarding-targets-biomarkers-and-pathways-implicated-in-disease/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
52887,Leveraging medical images and deep learning to characterize biological age,Professor Chirag Patel,Harvard Medical School,2019-09-13,2019-09,2019,2019Q3,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/leveraging-medical-images-and-deep-learning-to-characterize-biological-age/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,2,1,8,lineage_deep-learning-and-aging_main-pipeline-and-images-based-models-pipeline,https://github.com/Deep-Learning-and-Aging/Main-pipeline-and-Images-based-models-pipeline; https://github.com/deep-learning-and-aging/main-pipeline-and-images-based-models-pipeline,C,
55288,"Early life, adulthood, and genomic risk factors for early-onset cancers",Dr Yin Cao,Washington University in St. Louis,2019-11-29,2019-11,2019,2019Q4,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/early-life-adulthood-and-genomic-risk-factors-for-early-onset-cancers/,0,1,1,1,main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
55955,Advancing personalised medicine for psychiatric diseases through integrative GPCR pharmacogenomics,Dr Alexander Hauser,University of Copenhagen,2020-06-24,2020-06,2020,2020Q2,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/advancing-personalised-medicine-for-psychiatric-diseases-through-integrative-gpcr-pharmacogenomics/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,2,1,2,1,16,lineage_deepgohil_gogogpcr; lineage_petergerlach1_gogogpcr,https://github.com/deepgohil/gogoGPCR; https://github.com/petergerlach1/gogoGPCR,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,
57232,Estimating the overall impact of genetic variation on morbidity and mortality and assessing differential risk conditional on environmental and genetic factors.,Professor Paul Franks,Lund University,2020-04-30,2020-04,2020,2020Q2,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/estimating-the-overall-impact-of-genetic-variation-on-morbidity-and-mortality-and-assessing-differential-risk-conditional-on-environmental-and-genetic-factors/,0,1,1,1,main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
61054,Social and Environmental Adversity in Relation to All-Cause Mortality,Ms Cornelia van Duijn,University of Oxford,2020-05-19,2020-05,2020,2020Q2,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/social-and-environmental-adversity-in-relation-to-all-cause-mortality/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
61666,Sexually antagonistic selection in humans,Professor Mark Kirkpatrick,University of Texas (UT Austin),2020-08-17,2020-08,2020,2020Q3,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/sexually-antagonistic-selection-in-humans/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,1,1,38,lineage_harpak-lab_gxsex,https://github.com/harpak-lab/GxSex,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY,
65805,Genetic factors on Type 2 diabetes and hypertension,Professor Huiying Zhao,Sun Yat-Sen University,2020-11-06,2020-11,2020,2020Q4,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/genetic-factors-on-type-2-diabetes-and-hypertension/,0,1,1,1,main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
66995,"Prediction of haplotypes, genotypes, parental-of-origin and applications in biobanks.",Dr Olivier Delaneau,University of Lausanne,2021-03-01,2021-03,2021,2021Q1,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/prediction-of-haplotypes-genotypes-parental-of-origin-and-applications-in-biobanks/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,10,1,10,1,10,lineage_23andme-jaredo_shapeit5; lineage_barneyhill_shapeit5; lineage_josephlalli_shapeit5; lineage_m-hakmi_shapeit5; lineage_odelaneau_shapeit5; lineage_rimanb_shapeit5; lineage_rwk-unil_shapeit5; lineage_sunrisefor_shapeit5; lineage_toseph_shapeit5; lineage_victorasua_shapeit5,https://github.com/23andme-jaredo/shapeit5; https://github.com/JosephLalli/shapeit5; https://github.com/M-Hakmi/shapeit5; https://github.com/RimanB/shapeit5; https://github.com/Toseph/shapeit5; https://github.com/barneyhill/shapeit5; https://github.com/odelaneau/shapeit5; https://github.com/rwk-unil/shapeit5; https://github.com/sunrisefor/shapeit5; https://github.com/victorasua/shapeit5,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,
69610,Genetic stratification of immunosuppressive drugs on neurodegenerative disorders incidence,Dr Cynthia Sandor,Cardiff University,2021-05-04,2021-05,2021,2021Q2,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/genetic-stratification-of-immunosuppressive-drugs-on-neurodegenerative-disorders-incidence/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
84103,Genomic approaches to relating cardiovascular structure and function to heart failure for the purposes of drug discovery.,Dr James Priest,Tenaya Therapeutics Inc.,2022-09-20,2022-09,2022,2022Q3,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/genomic-approaches-to-relating-cardiovascular-structure-and-function-to-heart-failure-for-the-purposes-of-drug-discovery/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,1,2,17,lineage_tenayatherapeutics_genetic-survival-analysis-in-ukb,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB,A1_DIRECT_APP_ID,
87802,Assessment of frailty and biological age using multi-modal deep learning,,Imperial College London,2022-07-13,2022-07,2022,2022Q3,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/assessment-of-frailty-and-biological-age-using-multi-modal-deep-learning/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,2,1,2,1,4,lineage_iff-0303_ukbb_risk; lineage_yayapa_ukbb_risk,https://github.com/IFF-0303/ukbb_risk; https://github.com/yayapa/ukbb_risk,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,
88159,"Fine-mapping, genetic correlation and genetic risk prediction for complex traits in different populations",,Huazhong University of Science and Technology,2022-08-25,2022-08,2022,2022Q3,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/fine-mapping-genetic-correlation-and-genetic-risk-prediction-for-complex-traits-in-different-populations/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,1,1,1,lineage_biostatshao_omniprs,https://github.com/biostatShao/OmniPRS,A1_DIRECT_APP_ID,
92005,"Integrative analysis of genomic, molecular, cellular, and biochemical measures to inform cancer etiology",,National Cancer Institute,2022-09-21,2022-09,2022,2022Q3,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/integrative-analysis-of-genomic-molecular-cellular-and-biochemical-measures-to-inform-cancer-etiology/,0,1,1,1,main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
103356,Understanding the role of rare and common genetic variation in human phenotypes,,University of Exeter,2023-09-07,2023-09,2023,2023Q3,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/understanding-the-role-of-rare-and-common-genetic-variation-in-human-phenotypes/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,1,1,1,lineage_adamelkholyy_ukbython,https://github.com/adamelkholyy/ukbython,A1_DIRECT_APP_ID,
177030,Impacts of rapid environmental/societal changes on the genetic architecture of and selection on human traits,,University of Michigan,2024-03-26,2024-03,2024,2024Q1,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/impacts-of-rapid-environmental-societal-changes-on-the-genetic-architecture-of-and-selection-on-human-traits/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,1,1,1,lineage_song88180_human_sex_ratio,https://github.com/song88180/Human_sex_ratio,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,
822932,Inherent and non-inherent factors for chronic diseases and multimorbidity,,Southern Medical University,2025-12-01,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/inherent-and-non-inherent-factors-for-chronic-diseases-and-multimorbidity/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,3,1,3,1,3,lineage_blitz305_ukbanalytica; lineage_hinna0818_ukbanalytica; lineage_lcx777-afk_ukbanalytica,https://github.com/Hinna0818/UKBAnalytica; https://github.com/blitz305/UKBAnalytica; https://github.com/lcx777-afk/UKBAnalytica,A1_DIRECT_APP_ID; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,
