period,period_start,frequency,applications_started,post_july2024_period,exact_post_july2024_applications,strict_21_leakage_risk_applications,strict_21_leakage_rate,strict_21_leakage_rate_percent,main_27_leakage_risk_applications,main_27_leakage_rate,main_27_leakage_rate_percent,archived_broad_48_leakage_risk_applications,archived_broad_48_leakage_rate,archived_broad_48_leakage_rate_percent,final_expanded_leakage_risk_applications,final_expanded_leakage_rate,final_expanded_leakage_rate_percent
2022Q1,2022-01-01,quarterly,179,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.00558659,0.55866,2,0.01117318,1.11732
2022Q2,2022-04-01,quarterly,171,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2022Q3,2022-07-01,quarterly,220,0,0,3,0.01363636,1.36364,4,0.01818182,1.81818,5,0.02272727,2.27273,5,0.02272727,2.27273
2022Q4,2022-10-01,quarterly,181,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023Q1,2023-01-01,quarterly,180,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023Q2,2023-04-01,quarterly,197,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.00507614,0.50761
2023Q3,2023-07-01,quarterly,177,0,0,1,0.00564972,0.56497,1,0.00564972,0.56497,1,0.00564972,0.56497,1,0.00564972,0.56497
2023Q4,2023-10-01,quarterly,188,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024Q1,2024-01-01,quarterly,209,0,0,1,0.00478469,0.47847,1,0.00478469,0.47847,1,0.00478469,0.47847,1,0.00478469,0.47847
2024Q2,2024-04-01,quarterly,115,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024Q3,2024-07-01,quarterly,4,1,1,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024Q4,2024-10-01,quarterly,470,1,470,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025Q1,2025-01-01,quarterly,320,1,320,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025Q2,2025-04-01,quarterly,467,1,467,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025Q3,2025-07-01,quarterly,473,1,473,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.00211416,0.21142,1,0.00211416,0.21142
2025Q4,2025-10-01,quarterly,402,1,402,1,0.00248756,0.24876,1,0.00248756,0.24876,1,0.00248756,0.24876,1,0.00248756,0.24876
2026Q1,2026-01-01,quarterly,405,1,405,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2026Q2,2026-04-01,quarterly,63,1,63,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2026Q3,2026-07-01,quarterly,2,1,2,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
