application_id,application_title,project_start_date,start_month,start_quarter,start_month_number,Post,Time,TimeAfter,Leak52,Leak55
61335,Understanding the genetic basis and pathophysiology of heart failure subtypes,2020-08-24,2020-08-01,2020-07-01,8,0,98,0,0,0
61342,Integrating UK Biobank personal health information with a heterogeneous knowledge network to gain new insights into complex diseases,2020-10-26,2020-10-01,2020-10-01,10,0,100,0,0,0
61388,Identifying and validating genetic biomarkers for systemic lupus erythematosus (SLE) and relevant autoimmune conditions,2020-06-16,2020-06-01,2020-04-01,6,0,96,0,0,0
61422,An Observational Exploration of Various Medication Risk Scores Calculated from Electronic Health Record Data in a General Population to Predict Medical Outcomes.,2021-01-25,2021-01-01,2021-01-01,1,0,103,0,0,0
61446,Genetic Modifiers of Autism Related Genes in the General Population,2020-06-24,2020-06-01,2020-04-01,6,0,96,0,0,0
61467,Polygenic analysis for Alzheimer's disease,2020-07-28,2020-07-01,2020-07-01,7,0,97,0,0,0
61479,Understanding the prevalence of cardiovascular co-morbidities in common endocrine disorders,2020-12-01,2020-12-01,2020-10-01,12,0,102,0,0,0
61507,Quantifying tissue-specific effects on Parkinson's disease by Machine Learning,2020-09-29,2020-09-01,2020-07-01,9,0,99,0,0,0
61530,Multimodal subtyping of mental illness across the adult lifespan through integration of multi-scale whole-person phenotypes,2020-08-24,2020-08-01,2020-07-01,8,0,98,0,0,0
61548,"Air pollution, immunohematologic failure, and cardiovascular risk",2021-01-12,2021-01-01,2021-01-01,1,0,103,0,0,0
61553,Understanding the genetic architecture of complex diseases,2021-01-11,2021-01-01,2021-01-01,1,0,103,0,0,0
61576,Using UK Biobank participants as control subjects in genetic studies of Mendelian and complex diseases,2020-06-01,2020-06-01,2020-04-01,6,0,96,0,0,0
61621,"Progression rate of structural brain changes associated with cerebral small vessel disease, and their relationship with longitudinal measures of blood pressure.",2020-09-01,2020-09-01,2020-07-01,9,0,99,0,0,0
61632,The Genetics of Cholesteatoma,2020-07-13,2020-07-01,2020-07-01,7,0,97,0,0,0
61650,Genetic variation in sodium-glucose cotransporter 2 (SGLT2) and glucagon-like peptide-1 receptor (GLP1R) and cardiovascular outcomes,2020-06-01,2020-06-01,2020-04-01,6,0,96,0,0,0
61666,Sexually antagonistic selection in humans,2020-08-17,2020-08-01,2020-07-01,8,0,98,0,1,1
61678,Shared and unique genetic vulnerability of mood and substance use disorders to address the dual diagnosis versus co-occurrence hypotheses.,2022-07-13,2022-07-01,2022-07-01,7,0,121,0,0,0
61684,"Genetic, Environmental and Lifestyle Factors in Assessment of Personalized Disease Risk",2020-06-24,2020-06-01,2020-04-01,6,0,96,0,0,0
61700,Analyzing the genetic association between depressive disorders and metabolic conditions considering environmental risk factors,2020-09-29,2020-09-01,2020-07-01,9,0,99,0,0,0
61716,Genetic variations and psychosocial adversities in stress-related mental disorders,2021-05-27,2021-05-01,2021-04-01,5,0,107,0,0,0
61744,Study of white blood cell counts in relation to cancer risk,2020-07-27,2020-07-01,2020-07-01,7,0,97,0,0,0
61759,Deriving novel markers of general and hearing health from measures of speech perception in noise,2020-09-16,2020-09-01,2020-07-01,9,0,99,0,0,0
61771,Haemoglobin in multiple sclerosis (HIMS) study,2020-07-20,2020-07-01,2020-07-01,7,0,97,0,0,0
61785,Physiological and Bioinformatics Analyses of Genetic Variants in the Glucagon Receptor,2021-02-23,2021-02-01,2021-01-01,2,0,104,0,1,1
61818,"Understanding the associations between sleep, diet, mental health and cognition",2020-07-27,2020-07-01,2020-07-01,7,0,97,0,0,0
61825,Phenotypic characterization of genetic variant associations with frailty in chronic diseases,2020-07-14,2020-07-01,2020-07-01,7,0,97,0,0,0
61856,The role of biological aging in the effect of genetic and environmental factors on health outcomes,2020-09-17,2020-09-01,2020-07-01,9,0,99,0,0,0
61860,"Lifecycle shocks, genetics and long-term outcomes",2022-03-07,2022-03-01,2022-01-01,3,0,117,0,0,0
61894,Predictors of incident albuminuria in people with newly diagnosed Type 2 diabetes mellitus and prediabetes depending on smoking status and cardiometabolic profile.,2020-09-02,2020-09-01,2020-07-01,9,0,99,0,0,0
61915,Multi-omics integrative approaches for discovery and functional studies of putative mechanisms underlying complex human diseases,2021-03-09,2021-03-01,2021-01-01,3,0,105,0,0,0
61936,"Reproductive health, physical function, and long-term health outcomes in association with genetic and environmental factors",2020-09-22,2020-09-01,2020-07-01,9,0,99,0,0,0
61943,Machine Intelligence for Accelerated Magnetic Resonance Imaging,2020-08-07,2020-08-01,2020-07-01,8,0,98,0,0,0
62001,Big data driven sleep genes identification in Human,2021-03-30,2021-03-01,2021-01-01,3,0,105,0,0,0
62017,Risk of cardiovascular disease and all-cause/cause-specific mortality in patients with Non- alcoholic fatty liver disease.,2020-12-02,2020-12-01,2020-10-01,12,0,102,0,0,0
62029,"The influence of metabolic parameters, hormones, and time of day on cognitive functioning and the fMRI/BOLD signal",2021-06-16,2021-06-01,2021-04-01,6,0,108,0,0,0
62040,Variability-controlling quantitative trait loci (vQTL) for intelligence and their association with increased risk for severe psychiatric disorders,2020-11-18,2020-11-01,2020-10-01,11,0,101,0,0,0
62055,Genetic variation in the MYBPC3 and MYH7 genes and exercise levels,2020-07-27,2020-07-01,2020-07-01,7,0,97,0,0,0
62093,"Integrating Clinical Model, Polygenic Risk Score, and Machine Learning Models in the Prediction of Cardio-Metabolic Disease Using an Ensemble Approach",2020-05-18,2020-05-01,2020-04-01,5,0,95,0,0,0
62103,Associations of cardiovascular and lifestyle factors with ocular disease,2021-01-25,2021-01-01,2021-01-01,1,0,103,0,0,0
62135,Application of Artificial Intelligence (AI) in Medical Diagnosis Based on Liver Imaging,2020-07-27,2020-07-01,2020-07-01,7,0,97,0,0,0
62142,"Modeling of polygenic risks and characterization of pleiotropy across respiratory, inflammatory, and metabolic disorders",2021-05-12,2021-05-01,2021-04-01,5,0,107,0,0,0
62174,Prostate Cancer Genetic Susceptibility and Prediction,2021-04-20,2021-04-01,2021-04-01,4,0,106,0,0,0
62188,Characterising neural network markers of occupational wellbeing,2020-09-29,2020-09-01,2020-07-01,9,0,99,0,0,0
62249,Evaluation of Sleep and Health,2021-02-15,2021-02-01,2021-01-01,2,0,104,0,0,0
62254,Optimisation of time use for health and wellbeing,2020-11-25,2020-11-01,2020-10-01,11,0,101,0,1,1
62265,Food preferences and habitual diet in health and non-communicable diseases,2021-01-25,2021-01-01,2021-01-01,1,0,103,0,0,0
62277,Insomnia with short sleep duration and its association with cardiometabolic diseases and life expectancy: evidence from the UK Biobank cohort.,2021-10-11,2021-10-01,2021-10-01,10,0,112,0,0,0
62283,Assessment of vitamin D and calcium on the risk of sarcoidosis by Mendelian Randomization approach,2020-11-26,2020-11-01,2020-10-01,11,0,101,0,0,0
62296,Lifestyle behavior-biomarker interactions on cancer,2020-05-27,2020-05-01,2020-04-01,5,0,95,0,0,0
62306,"Associations of cardiometabolic, genetic, and lifestyle factors with the risk of arrhythmias",2020-06-17,2020-06-01,2020-04-01,6,0,96,0,0,0
62323,"Understanding the role of gastrointestinal, hepatic, and cardiovascular factors in neurological disease",2020-07-10,2020-07-01,2020-07-01,7,0,97,0,0,0
62347,Improving Modeling and Prediction of Complex Traits and Diseases by Accounting for Context-Dependent Effects,2021-01-19,2021-01-01,2021-01-01,1,0,103,0,0,0
62352,Genetic effects on fine-grained brain regionalization,2020-06-16,2020-06-01,2020-04-01,6,0,96,0,0,0
62375,Validating targets and optimizing development of therapies for rare Mendelian Disorders using UK BioBank dataset,2020-06-26,2020-06-01,2020-04-01,6,0,96,0,0,0
62399,Predicting potential diseases from retinal images,2020-07-21,2020-07-01,2020-07-01,7,0,97,0,0,0
62404,Analyzing common cancers and immune diseases using multi-trait polygenic risk score subtyping and imputed expression dimensions for the discovery of novel etiological factors.,2020-11-18,2020-11-01,2020-10-01,11,0,101,0,0,0
62427,Clonal Hematopoiesis of Indeterminate Potential and Atherosclerotic Cardiovascular Disease Phenotypes,2021-03-18,2021-03-01,2021-01-01,3,0,105,0,0,0
62436,"Demographic, Lifestyle and Genetic Factors Underlying the Major Hyperlipidemias and the Associated Cardiovascular Risk",2021-03-16,2021-03-01,2021-01-01,3,0,105,0,0,0
62443,The eye and the brain,2020-06-24,2020-06-01,2020-04-01,6,0,96,0,0,0
62458,Sleep Disturbances in Major Depressive Disorder (MDD) in the UK Biobank: Focus on Mitochondria,2020-09-29,2020-09-01,2020-07-01,9,0,99,0,0,0
62462,Analysis of diabetes mellitus and cardiometabolic disease in relation to severe outcomes of COVID-19: A UK Biobank study,2020-08-28,2020-08-01,2020-07-01,8,0,98,0,0,0
62489,The eye and the heart,2020-10-08,2020-10-01,2020-10-01,10,0,100,0,0,0
62491,The eye and the kidney,2020-06-12,2020-06-01,2020-04-01,6,0,96,0,0,0
62518,A multi-omics strategy to characterize the causes of cardio- and cerebrovascular diseases,2021-01-29,2021-01-01,2021-01-01,1,0,103,0,0,0
62525,The eye and aging,2020-08-07,2020-08-01,2020-07-01,8,0,98,0,0,0
62556,Genome-Wide Association Studies for COVID-19 and Its Outcomes,2020-05-04,2020-05-01,2020-04-01,5,0,95,0,0,0
62594,"Combined associations of body weight and lifestyle factors with arterial health, cardiovascular events and mortality",2020-10-06,2020-10-01,2020-10-01,10,0,100,0,0,0
62644,Prevention and Remediation of Insulin Multimorbidity in Europe (PRIME),2021-05-04,2021-05-01,2021-04-01,5,0,107,0,0,0
62659,Co-analysis of the International Mouse Phenotyping Consortium (IMPC) data and the UK Biobank exome sequencing and blood screen data to identify gene-phenotype associations,2021-01-11,2021-01-01,2021-01-01,1,0,103,0,0,0
62663,"Evaluation of causal risk factors for autoimmune diseases: evidence from epidemiological studies, phenome-wide Mendelian randomisation study",2020-07-27,2020-07-01,2020-07-01,7,0,97,0,0,0
62685,"The relationship between genetic polymorphisms around the sweet taste receptor genes (hT1R2 and hT1R3), the intake of sugar sweetened beverages (SSBs) and body fatness in UK adults.",2020-11-06,2020-11-01,2020-10-01,11,0,101,0,0,0
62709,Genetic variation in incidence and outcome of cancer and infectious disease,2020-05-19,2020-05-01,2020-04-01,5,0,95,0,0,0
62713,Core business of the CNV analysis group for the Psychiatric Genomics Consortium,2020-07-13,2020-07-01,2020-07-01,7,0,97,0,0,0
62721,Central nervous system adaptation in ankle instability.,2020-08-25,2020-08-01,2020-07-01,8,0,98,0,0,0
62745,EPIFEVER-2: single nucleotide polymorphisms in the IL-1Ra gene and outcomes in labour following epidural analgesia.,2020-08-07,2020-08-01,2020-07-01,8,0,98,0,0,0
62750,Myocardial dynamic analysis and CRT treatment outcome prediction,2021-03-22,2021-03-01,2021-01-01,3,0,105,0,0,0
62766,Genetic risk prediction for complex diseases by multi-task deep learning model,2020-10-26,2020-10-01,2020-10-01,10,0,100,0,0,0
62778,Dissecting Genetic and Non-Genetic Heterogeneity in Predisposition to Alzheimer's Disease and Vascular Traits in Pleiotropic Context,2020-11-25,2020-11-01,2020-10-01,11,0,101,0,0,0
62797,Heterogeneity of Chronic Liver Disease,2020-10-27,2020-10-01,2020-10-01,10,0,100,0,0,0
62807,PeriOdonTal disEases aNd oTher Non-communIcAbLe diseases. (POTENTIAL),2021-01-21,2021-01-01,2021-01-01,1,0,103,0,0,0
62811,"Lifestyle, metabolic/inflammatory profile, genetics and neurological diseases among participants in the UK Biobank",2020-10-26,2020-10-01,2020-10-01,10,0,100,0,0,0
62824,UK Biobank OMOP based analyses (including COVID-19 network study),2020-08-19,2020-08-01,2020-07-01,8,0,98,0,0,0
62848,Vitamin D and health outcomes,2020-09-11,2020-09-01,2020-07-01,9,0,99,0,0,0
62876,"Retrospective evaluation of relationships between existing clinical biomarkers, emerging/potential biomarkers and chronic disease in populations classified as generally healthy.",2021-09-01,2021-09-01,2021-07-01,9,0,111,0,0,0
62895,Global Market Behaviour and The Anxious Brain,2020-07-27,2020-07-01,2020-07-01,7,0,97,0,0,0
62905,"Analyzing unmappable (""camouflaged"") genome regions in UK Biobank exome sequencing data using the LPA gene as a model.",2020-07-27,2020-07-01,2020-07-01,7,0,97,0,0,0
62914,Machine learning algorithms for physical activity from accelerometry and its quantification as predictor of progressive neurodegeneration,2020-07-27,2020-07-01,2020-07-01,7,0,97,0,0,0
62922,Investigating the influence of natural selection on metabolites,2021-12-14,2021-12-01,2021-10-01,12,0,114,0,0,0
62933,Sex-specific cardiovascular mortality in type 2 diabetes mellitus,2020-07-27,2020-07-01,2020-07-01,7,0,97,0,0,0
62946,"Prediction of coronavirus infections and complications at the individual and the population levels from genomic, proteomic, clinical and behavioral data sources",2020-07-16,2020-07-01,2020-07-01,7,0,97,0,0,0
62979,Impact of pharmacogenetic profiles on depression treatment outcomes,2020-12-04,2020-12-01,2020-10-01,12,0,102,0,0,0
62980,A prospective study of daily lifestyle/living customary and the risk of breast cancer in the UK Biobank,2021-02-16,2021-02-01,2021-01-01,2,0,104,0,0,0
63023,Efficient whole-genome scans for positive selection in large population genomic datasets,2021-03-08,2021-03-01,2021-01-01,3,0,105,0,0,0
63047,"Integration of genomic data from UK Biobank and other omics data to diagnose, predict, understand and inform treatment of diseases",2020-08-17,2020-08-01,2020-07-01,8,0,98,0,0,0
63081,Biomarkers for Frailty and Unsuccessful Aging,2020-08-27,2020-08-01,2020-07-01,8,0,98,0,0,0
63099,Wearable tech as a novel diagnostic tool.,2020-09-02,2020-09-01,2020-07-01,9,0,99,0,0,0
63109,The impact of HLA promiscuity on COVID-19 suceptibility,2020-06-15,2020-06-01,2020-04-01,6,0,96,0,0,0
63113,Chronic Ingestion of high dose proton pump inhibitors (PPIs) and development of pancreatic cancer,2021-06-16,2021-06-01,2021-04-01,6,0,108,0,0,0
63121,Understanding the genetic and environmental risk factors and genotype-environment interaction in cardiovascular diseases for precision medicine,2020-07-17,2020-07-01,2020-07-01,7,0,97,0,0,0
63132,Drug repurposing for elderly populations,2021-05-19,2021-05-01,2021-04-01,5,0,107,0,0,0
63178,Examining grey matter volume in psoriasis and associations with depression comorbidity and peripheral inflammation: a cross-sectional study,2020-09-02,2020-09-01,2020-07-01,9,0,99,0,0,0
63204,Unravelling heterogeneity of host related outcomes and sequelae: from mild infection to septic shock.,2020-08-17,2020-08-01,2020-07-01,8,0,98,0,0,0
63215,Comparison and replication of GWAS and gene-environment interaction signals and polygenic risk scores for complex traits in the African AWI-Gen cohort study,2020-11-26,2020-11-01,2020-10-01,11,0,101,0,0,0
63258,Creating and evaluating polygenic scores for risk and response for common complex chronic diseases in multiple populations,2020-11-09,2020-11-01,2020-10-01,11,0,101,0,0,0
63270,London Great Smog (1952) and later life outcomes,2020-07-28,2020-07-01,2020-07-01,7,0,97,0,0,0
63291,Social Health and Reserve in the Dementia patient journey (JPND/NHMRC SHARED),2020-11-10,2020-11-01,2020-10-01,11,0,101,0,0,0
63317,Evaluation of the potential association of vitamin D and risk of COVID-19 infection in the UK population,2020-07-13,2020-07-01,2020-07-01,7,0,97,0,0,0
63338,HLA associated risk for COVID-19 disease severity,2020-07-13,2020-07-01,2020-07-01,7,0,97,0,0,0
63372,"Development of complex disease risk prediction algorithm on obesity, cancers, alopecia areata, and sleep pattern-related genetic factors using microarray genome data",2021-02-08,2021-02-01,2021-01-01,2,0,104,0,0,0
63393,Genetic basis for excess comorbidities and poor health outcomes in patients with musculoskeletal diseases,2020-09-29,2020-09-01,2020-07-01,9,0,99,0,0,0
63412,Impact of classical cardiovascular risk factors on population attributable fractions (PAFs) and lifetime risks (LTRs) to predict cardiovascular disease (CVD) burden globally and CVD risk in Europe.,2020-09-17,2020-09-01,2020-07-01,9,0,99,0,0,0
63454,"Understand the relationship between diet, lifestyle and gene-environment interactions and healthy aging",2020-06-24,2020-06-01,2020-04-01,6,0,96,0,0,0
63465,Genomic determinants of acquisition and severity of COVID-19,2020-07-13,2020-07-01,2020-07-01,7,0,97,0,0,0
63483,Combined effects of healthy lifestyle factors for early-onset colorectal cancer incidence and mortality,2020-09-24,2020-09-01,2020-07-01,9,0,99,0,0,0
63496,Fine mapping haplotype association analysis of ABO locus with thrombotic risks,2021-01-25,2021-01-01,2021-01-01,1,0,103,0,0,0
63505,Employing genetic polymorphisms in ageing signalling pathways to predict individual risk of severe Covid-19 disease.,2020-07-09,2020-07-01,2020-07-01,7,0,97,0,0,0
63533,Complementing rare disease studies with data from national cohort projects.,2020-08-27,2020-08-01,2020-07-01,8,0,98,0,0,0
63546,The associations between long-time commuting and cardiovascular diseases,2020-11-26,2020-11-01,2020-10-01,11,0,101,0,0,0
63567,Primate Model of Neurodevelopmental Disorders,2021-02-16,2021-02-01,2021-01-01,2,0,104,0,0,0
63630,Genetic architecture of the rare monogenic disease Charcot-Marie-Tooth Type 1A and of other Charcot-Marie-Tooth diseases,2020-07-13,2020-07-01,2020-07-01,7,0,97,0,0,0
63648,Characterizing the genetic and biological heterogeneity of Alzheimer's disease risk,2021-01-12,2021-01-01,2021-01-01,1,0,103,0,0,0
63653,Case-control analyses in neuropsychiatric disorders,2021-03-01,2021-03-01,2021-01-01,3,0,105,0,0,0
63669,Gravity Sensors and Linear Acceleration Comparing Human and Mice Genomics,2022-01-11,2022-01-01,2022-01-01,1,0,115,0,0,0
63682,Cardiorenal Genomics for Risk Prediction in African Descent Populations,2021-01-25,2021-01-01,2021-01-01,1,0,103,0,0,0
63719,Population-based Risk Estimation to Drive Improved personalized Care and Translation in Chronic Kidney Disease (PREDICT CKD Lifestyle),2021-03-19,2021-03-01,2021-01-01,3,0,105,0,0,0
63726,Genetic and Biomarker Data Improve Risk Prediction for Gastrointestinal Cancer in large Population Studies,2020-07-09,2020-07-01,2020-07-01,7,0,97,0,0,0
63735,Prediction of clinical outcomes in patients with aortic valve regurgitation using a deep learning approach,2021-01-11,2021-01-01,2021-01-01,1,0,103,0,0,0
63742,Penetrance of hereditary fructose intolerance,2021-03-30,2021-03-01,2021-01-01,3,0,105,0,0,0
63757,Functional interpretation of complex disease traits by TWAS,2021-01-25,2021-01-01,2021-01-01,1,0,103,0,0,0
63761,GWA studies of gastroparesis,2021-03-15,2021-03-01,2021-01-01,3,0,105,0,0,0
63774,Providing explainable risk prediction intervals and feature recommendations with limited features,2021-05-13,2021-05-01,2021-04-01,5,0,107,0,0,0
63788,Machine learning prediction of tinnitus incidence and severity with neuroimaging data,2021-03-19,2021-03-01,2021-01-01,3,0,105,0,0,0
63790,Integrating Wearable and personal data using machine-learning approaches,2020-10-26,2020-10-01,2020-10-01,10,0,100,0,0,0
63816,Antibodies to human herpesviruses and risk of incident cardiovascular events and all-cause mortality,2020-08-07,2020-08-01,2020-07-01,8,0,98,0,0,0
63837,Identification of genetic variants associated to the pathogenesis of arthrofibrosis after total knee arthroplasty,2021-09-08,2021-09-01,2021-07-01,9,0,111,0,0,0
63844,"Exploring the relationship between nutrition, lifestyles, genotypes and risks of chronic diseases and mortality",2020-09-17,2020-09-01,2020-07-01,9,0,99,0,0,0
63871,"Association of depressive symptoms with risk of all-cause mortality, cause-specific mortality and morbidity.",2020-08-17,2020-08-01,2020-07-01,8,0,98,0,0,0
63885,"Investigating heterogeneity and degeneracy in depression across brain, body, and behavioral data",2021-02-23,2021-02-01,2021-01-01,2,0,104,0,0,0
63939,Elucidating the role of varying levels of alcohol consumption in the progression to liver damage in people with high metabolic risk /non-alcoholic fatty liver disease (NAFLD),2021-01-29,2021-01-01,2021-01-01,1,0,103,0,0,0
63941,"A study of the impact of physical exercise and activity level on cognitive function, and associated MRI brain changes, in chronic kidney disease.",2021-11-08,2021-11-01,2021-10-01,11,0,113,0,0,0
63956,"Advanced imaging pipelines to further our understanding of how genotype, the brain, and personal history interact.",2021-06-16,2021-06-01,2021-04-01,6,0,108,0,0,0
63973,"Sex Differences in Brain Structure and Function Related to Cigarette Smoking: Neuroimaging, Behavior and Genotype",2021-09-01,2021-09-01,2021-07-01,9,0,111,0,0,0
63994,The interplay of psychiatric symptoms with genetic and environmental risk factors: a network analysis in UK Biobank,2020-09-29,2020-09-01,2020-07-01,9,0,99,0,0,0
64016,Discovery of genetic interactions associated with human diseases,2021-01-14,2021-01-01,2021-01-01,1,0,103,0,0,0
64028,"Associations among 24-hour movement behaviours and markers of physical and mental health, cognitive and physical functioning, metabolic risk, and disease status: A compositional data analysis approach",2021-01-25,2021-01-01,2021-01-01,1,0,103,0,0,0
64037,"Novel Predictors of Cardiovascular and Surgical Outcomes: Clinical, Socioeconomic, Biomarker and Genetic Factors",2020-11-26,2020-11-01,2020-10-01,11,0,101,0,0,0
64044,How does substance misuse affect brain networks in ageing and its relation to impulsivity and negative emotion,2021-03-22,2021-03-01,2021-01-01,3,0,105,0,0,0
64059,The causal effect of obesity on occupational attainment,2020-10-26,2020-10-01,2020-10-01,10,0,100,0,0,0
64071,Causal inference for disease effect on cancer,2021-10-26,2021-10-01,2021-10-01,10,0,112,0,0,0
64085,"Deep learning of personal health, genomics, and imaging data for early detection of prostate and breast cancers",2020-11-10,2020-11-01,2020-10-01,11,0,101,0,0,0
64102,Understanding the mechanisms of pain (heterogeneity),2021-01-11,2021-01-01,2021-01-01,1,0,103,0,0,0
64118,"Generative models of brain structure for transfer learning and prediction of age, sex, and cognitive function",2021-03-22,2021-03-01,2021-01-01,3,0,105,0,0,0
64211,Alzheimer's Disease Genetics Consortium Multi-ethnic Alzheimer disease Genetics Analysis,2021-01-11,2021-01-01,2021-01-01,1,0,103,0,0,0
64253,In silico clinicogenomic risk prediction in atrial fibrillation and flutter: electrifying patient and clinician decision making,2020-09-16,2020-09-01,2020-07-01,9,0,99,0,0,0
64276,"Assessing the inflammatory processes in noncommunicable and communicable diseases, including COVID-19",2021-06-15,2021-06-01,2021-04-01,6,0,108,0,0,0
64314,"Association between shift work, sleep disorder, and risks of cancers and chronic kidney disease",2020-10-28,2020-10-01,2020-10-01,10,0,100,0,0,0
64333,Phenome-wide association study (PheWAS) of clonal mosaic alterations in blood derived DNA in the UK Biobank using sequencing data,2021-03-30,2021-03-01,2021-01-01,3,0,105,0,0,0
64351,Risk-stratified early detection and diagnosis of cancer using linked electronic health records (RREDD-HER),2020-11-25,2020-11-01,2020-10-01,11,0,101,0,0,0
64367,Statistical Power of Multivariate over Univariate Mixed Model Association Analysis,2021-01-25,2021-01-01,2021-01-01,1,0,103,0,0,0
64379,Using a founder population to study the genetic transmissions in epilepsies,2020-10-06,2020-10-01,2020-10-01,10,0,100,0,0,0
64403,"Uncovering mechanisms from genetic variants to disease severity in COVID-19, with applications to drug discovery and repurposing",2021-03-08,2021-03-01,2021-01-01,3,0,105,0,0,0
64426,Dietary factors in relation to risks of major chronic diseases and mortality,2021-07-07,2021-07-01,2021-07-01,7,0,109,0,0,0
64442,Uncover the genetic architecture between phenotypic factors and Head and neck cancer,2021-01-11,2021-01-01,2021-01-01,1,0,103,0,0,0
64457,"Genetic, lifestyle, and socio-demographic determinations to the development of hypertension and its associated complications",2021-07-01,2021-07-01,2021-07-01,7,0,109,0,0,0
64474,Stratification of major depression with machine learning-based bioinformatics through the hidden biology of its symptoms,2021-06-21,2021-06-01,2021-04-01,6,0,108,0,0,0
64488,High-resolution multi-omics maps of Parkinson's disease,2021-01-11,2021-01-01,2021-01-01,1,0,103,0,0,0
64555,Interaction effect of physical activity and environmental factors on health outcomes in general populations,2021-01-27,2021-01-01,2021-01-01,1,0,103,0,0,0
64572,"The risk, prognosis and severity rate of novel coronavirus disease 2019 in patients with cancer.",2021-06-28,2021-06-01,2021-04-01,6,0,108,0,0,0
64586,Assessing the role of pharmacogenomics in precision medicine using artificial intelligence methods,2020-09-15,2020-09-01,2020-07-01,9,0,99,0,0,0
64593,Indian Schizophrenia Genome-wide association study - Phase 2,2020-11-10,2020-11-01,2020-10-01,11,0,101,0,0,0
64615,"Investigating associations between the physical environment and brain health, mental well-being and cognition",2020-10-18,2020-10-01,2020-10-01,10,0,100,0,0,0
64636,Improving risk prediction models for common cancers,2021-09-07,2021-09-01,2021-07-01,9,0,111,0,0,0
64643,Repeat imaging to understand longitudinal changes in health and disease,2022-03-08,2022-03-01,2022-01-01,3,0,117,0,0,0
64658,Personalized modelling of patient lab readout and application to understanding age-related disease,2021-01-11,2021-01-01,2021-01-01,1,0,103,0,0,0
64662,A genome-wide association study of human transmission distortion,2020-09-16,2020-09-01,2020-07-01,9,0,99,0,0,0
64670,Impact of the interaction between major cardiovascular disease risk factors on the models predicting cardiovascular disease risk,2020-09-16,2020-09-01,2020-07-01,9,0,99,0,0,0
64689,"Associations of genetic factors, healthy lifestyle behavior, testosterone level and sleep traits with human healthspan",2021-07-14,2021-07-01,2021-07-01,7,0,109,0,0,0
64708,Phenomic Aspects of SLC12A3 and Other Renal Sodium Transporter Biology in a Healthy Population,2021-02-15,2021-02-01,2021-01-01,2,0,104,0,0,0
64712,Genetic and phenotypic characterization of potential therapeutic targets,2020-10-08,2020-10-01,2020-10-01,10,0,100,0,0,0
64749,Predictors and sequelea of chronic musculoskeletal pain,2021-06-16,2021-06-01,2021-04-01,6,0,108,0,0,0
64754,"Lipoprotein (a) and risk of clinical outcomes including chronic kidney disease, cardiovascular diseases and cancers among different glycemic status: an interactive and prospective analysis",2021-05-05,2021-05-01,2021-04-01,5,0,107,0,0,0
64765,Risk factors for chronic pain: understanding genetic risk for chronic pain and its interaction with other risk factors to guide the development of future medicines.,2021-06-17,2021-06-01,2021-04-01,6,0,108,0,0,0
64777,Is there an association between genetic risk factors for neurodegenerative disorders and COVID-19 susceptibility?,2020-08-24,2020-08-01,2020-07-01,8,0,98,0,0,0
64796,Leveraging endophenotypes to investigate the causes of pleiotropy across psychiatric disorders,2021-02-22,2021-02-01,2021-01-01,2,0,104,0,0,0
64806,"Use of UK Biobank data to support genetic studies of Mendelian and complex diseases with a focus on renal, cardiovascular and metabolic phenotypes",2021-01-11,2021-01-01,2021-01-01,1,0,103,0,0,0
64810,Uncovering genetic architecture and disease subtyping of complex disease based on genomic and phenotypic data,2020-11-26,2020-11-01,2020-10-01,11,0,101,0,0,0
64823,A Genomic Data Science Framework for the 1000 Arab genome project,2021-03-01,2021-03-01,2021-01-01,3,0,105,0,1,1
64852,Testing Hypotheses for Genetic Predisposition to Chronic Fatigue Syndrome (CFS) in a UK Patient Population,2020-11-09,2020-11-01,2020-10-01,11,0,101,0,0,0
64868,Identifying alternative splicing variants in heritable cardiac diseases.,2021-01-25,2021-01-01,2021-01-01,1,0,103,0,0,0
64875,"Novel Statistical Methods for Disease Prediction, Causal Inference and Discovery in Genetic and Genomic Studies",2021-07-05,2021-07-01,2021-07-01,7,0,109,0,0,0
64881,Major Depressive Disorders among Patients in the UK Biobank and Associated Morbidities and Mortality,2020-12-04,2020-12-01,2020-10-01,12,0,102,0,0,0
64899,Impact of daily activity pattern on healthy and unhealthy years in life,2021-01-27,2021-01-01,2021-01-01,1,0,103,0,0,0
64909,Developing and exploring the potential of a novel software application for understanding HLA-type-associated disease risk using UK Biobank data for COVID-19,2021-03-17,2021-03-01,2021-01-01,3,0,105,0,0,0
64921,Using family data in UK Biobank to improve causal inference in epidemiological research,2021-10-19,2021-10-01,2021-10-01,10,0,112,0,0,0
64945,Multi-omics approaches to the investigation of human traits associated with kidney diseases,2021-03-01,2021-03-01,2021-01-01,3,0,105,0,0,0
64966,"Association of anti-viral vaccines, APOE and genetic susceptibility to herpes-virus infection with incident dementia",2021-09-14,2021-09-01,2021-07-01,9,0,111,0,0,0
64978,Predicting late effects in childhood cancer survivors by developing methods to generalize polygenic risk scores,2020-11-25,2020-11-01,2020-10-01,11,0,101,0,0,0
64984,Validation and transfer-learning for biomarkers obtained in several clinical cohorts of neuro developmental and neuro degenerative diseases,2020-09-29,2020-09-01,2020-07-01,9,0,99,0,0,0
64997,Predicting cognitive ability from resting state and task fMRI,2020-10-26,2020-10-01,2020-10-01,10,0,100,0,0,0
