start_month,n_applications,observed_events,observed_rate,fitted_rate,outcome,outcome_label
2018-05-01,14,0,0.0,0.019127078169437036,Leak52,Curated 52 attribution outcome
2018-06-01,27,0,0.0,0.014416840407764035,Leak52,Curated 52 attribution outcome
2018-07-01,38,0,0.0,0.009978601510544192,Leak52,Curated 52 attribution outcome
2018-08-01,25,1,0.04,0.027130277989288566,Leak52,Curated 52 attribution outcome
2018-09-01,43,1,0.023255813953488372,0.019596970866017086,Leak52,Curated 52 attribution outcome
2018-10-01,40,0,0.0,0.007141519701912976,Leak52,Curated 52 attribution outcome
2018-11-01,44,0,0.0,0.017108330640996067,Leak52,Curated 52 attribution outcome
2018-12-01,32,0,0.0,0.009286884628250669,Leak52,Curated 52 attribution outcome
2019-01-01,40,0,0.0,0.0,Leak52,Curated 52 attribution outcome
2019-02-01,40,0,0.0,0.010166660804095732,Leak52,Curated 52 attribution outcome
2019-03-01,52,1,0.019230769230769232,0.023286019722438198,Leak52,Curated 52 attribution outcome
2019-04-01,35,1,0.02857142857142857,0.017036507924693946,Leak52,Curated 52 attribution outcome
2019-05-01,60,2,0.03333333333333333,0.016390150651964454,Leak52,Curated 52 attribution outcome
2019-06-01,33,0,0.0,0.012353909160373114,Leak52,Curated 52 attribution outcome
2019-07-01,50,1,0.02,0.008550745733610027,Leak52,Curated 52 attribution outcome
2019-08-01,27,0,0.0,0.023248158424146917,Leak52,Curated 52 attribution outcome
2019-09-01,31,2,0.06451612903225806,0.01679280556971928,Leak52,Curated 52 attribution outcome
2019-10-01,43,0,0.0,0.006119626989623533,Leak52,Curated 52 attribution outcome
2019-11-01,52,2,0.038461538461538464,0.014660269285541282,Leak52,Curated 52 attribution outcome
2019-12-01,29,0,0.0,0.007958007846052585,Leak52,Curated 52 attribution outcome
2020-01-01,53,0,0.0,0.0,Leak52,Curated 52 attribution outcome
2020-02-01,47,1,0.02127659574468085,0.008711895289517485,Leak52,Curated 52 attribution outcome
2020-03-01,91,2,0.02197802197802198,0.019953981886539754,Leak52,Curated 52 attribution outcome
2020-04-01,51,2,0.0392156862745098,0.014598723809018574,Leak52,Curated 52 attribution outcome
2020-05-01,36,1,0.027777777777777776,0.014044854944094009,Leak52,Curated 52 attribution outcome
2020-06-01,69,1,0.014492753623188406,0.01058616640165896,Leak52,Curated 52 attribution outcome
2020-07-01,53,0,0.0,0.007327204370631557,Leak52,Curated 52 attribution outcome
2020-08-01,49,1,0.02040816326530612,0.019921538228529073,Leak52,Curated 52 attribution outcome
2020-09-01,46,0,0.0,0.014389893255972768,Leak52,Curated 52 attribution outcome
2020-10-01,29,0,0.0,0.00524395871681165,Leak52,Curated 52 attribution outcome
2020-11-01,40,2,0.05,0.012562505368558394,Leak52,Curated 52 attribution outcome
2020-12-01,5,0,0.0,0.006819282398015945,Leak52,Curated 52 attribution outcome
2021-01-01,87,0,0.0,0.0,Leak52,Curated 52 attribution outcome
2021-02-01,56,1,0.017857142857142856,0.00746529475095115,Leak52,Curated 52 attribution outcome
2021-03-01,78,2,0.02564102564102564,0.01709873125052338,Leak52,Curated 52 attribution outcome
2021-04-01,40,0,0.0,0.012509766543358905,Leak52,Curated 52 attribution outcome
2021-05-01,40,1,0.025,0.012035151756033383,Leak52,Curated 52 attribution outcome
2021-06-01,44,2,0.045454545454545456,0.009071373087563507,Leak52,Curated 52 attribution outcome
2021-07-01,25,0,0.0,0.0062787417099743085,Leak52,Curated 52 attribution outcome
2021-08-01,20,0,0.0,0.01707093001304289,Leak52,Curated 52 attribution outcome
2021-09-01,33,0,0.0,0.012330817924294746,Leak52,Curated 52 attribution outcome
2021-10-01,46,0,0.0,0.0044935913692538045,Leak52,Curated 52 attribution outcome
2021-11-01,42,0,0.0,0.010764914208684083,Leak52,Curated 52 attribution outcome
2021-12-01,35,0,0.0,0.005843499192697668,Leak52,Curated 52 attribution outcome
2022-01-01,36,0,0.0,0.0,Leak52,Curated 52 attribution outcome
2022-02-01,62,1,0.016129032258064516,0.0063970724930126725,Leak52,Curated 52 attribution outcome
2022-03-01,81,1,0.012345679012345678,0.014652043488865956,Leak52,Curated 52 attribution outcome
2022-04-01,59,0,0.0,0.010719721875460487,Leak52,Curated 52 attribution outcome
2022-05-01,66,0,0.0,0.01031302055929473,Leak52,Curated 52 attribution outcome
2022-06-01,46,0,0.0,0.007773334233710498,Leak52,Curated 52 attribution outcome
2022-07-01,53,1,0.018867924528301886,0.005380305429801078,Leak52,Curated 52 attribution outcome
2022-08-01,73,2,0.0273972602739726,0.01462822037973346,Leak52,Curated 52 attribution outcome
2022-09-01,94,2,0.02127659574468085,0.010566379331479615,Leak52,Curated 52 attribution outcome
2022-10-01,35,0,0.0,0.0038505954154630104,Leak52,Curated 52 attribution outcome
2022-11-01,74,0,0.0,0.009224543554055926,Leak52,Curated 52 attribution outcome
2022-12-01,72,0,0.0,0.005007342535776669,Leak52,Curated 52 attribution outcome
2023-01-01,58,0,0.0,0.0,Leak52,Curated 52 attribution outcome
2023-02-01,49,0,0.0,0.0054817040513564855,Leak52,Curated 52 attribution outcome
2023-03-01,73,0,0.0,0.012555456615709336,Leak52,Curated 52 attribution outcome
2023-04-01,58,0,0.0,0.00918581787189547,Leak52,Curated 52 attribution outcome
2023-05-01,63,0,0.0,0.008837312167926492,Leak52,Curated 52 attribution outcome
2023-06-01,76,1,0.013157894736842105,0.006661034060192649,Leak52,Curated 52 attribution outcome
2023-07-01,62,0,0.0,0.00461042798941086,Leak52,Curated 52 attribution outcome
2023-08-01,58,0,0.0,0.012535042397488403,Leak52,Curated 52 attribution outcome
2023-09-01,57,1,0.017543859649122806,0.009054417384328148,Leak52,Curated 52 attribution outcome
2023-10-01,71,0,0.0,0.0032996068923923857,Leak52,Curated 52 attribution outcome
2023-11-01,80,0,0.0,0.0079045872666622,Leak52,Curated 52 attribution outcome
2023-12-01,37,0,0.0,0.00429083301695864,Leak52,Curated 52 attribution outcome
2024-01-01,75,0,0.0,0.0,Leak52,Curated 52 attribution outcome
2024-02-01,51,0,0.0,0.004697317302481706,Leak52,Curated 52 attribution outcome
2024-03-01,83,1,0.012048192771084338,0.010758874074373922,Leak52,Curated 52 attribution outcome
2024-04-01,72,0,0.0,0.00787140291100223,Leak52,Curated 52 attribution outcome
2024-05-01,33,0,0.0,0.007572765505930746,Leak52,Curated 52 attribution outcome
2024-06-01,10,0,0.0,0.0057078948900242425,Leak52,Curated 52 attribution outcome
2024-07-01,3,0,0.0,0.003950713676552176,Leak52,Curated 52 attribution outcome
2024-09-01,1,0,0.0,0.0002761650958602038,Leak52,Curated 52 attribution outcome
2024-10-01,208,0,0.0,0.0001147213040814778,Leak52,Curated 52 attribution outcome
2024-11-01,156,0,0.0,0.00031328144054769625,Leak52,Curated 52 attribution outcome
2024-12-01,106,0,0.0,0.00019385217500058024,Leak52,Curated 52 attribution outcome
2025-01-01,100,0,0.0,0.0,Leak52,Curated 52 attribution outcome
2025-02-01,110,0,0.0,0.0002757567508678386,Leak52,Curated 52 attribution outcome
2025-03-01,110,0,0.0,0.0007199737719521814,Leak52,Curated 52 attribution outcome
2025-04-01,181,0,0.0,0.00060044825915619,Leak52,Curated 52 attribution outcome
2025-05-01,126,0,0.0,0.000658493589694336,Leak52,Curated 52 attribution outcome
2025-06-01,160,0,0.0,0.0005657787155049211,Leak52,Curated 52 attribution outcome
2025-07-01,191,0,0.0,0.0004463954813336468,Leak52,Curated 52 attribution outcome
2025-08-01,117,1,0.008547008547008548,0.0013834961327857283,Leak52,Curated 52 attribution outcome
2025-09-01,165,0,0.0,0.0011391639908320626,Leak52,Curated 52 attribution outcome
2025-10-01,131,0,0.0,0.00047321830510061726,Leak52,Curated 52 attribution outcome
2025-11-01,169,0,0.0,0.001292266623905967,Leak52,Curated 52 attribution outcome
2025-12-01,102,1,0.00980392156862745,0.0007996282680738241,Leak52,Curated 52 attribution outcome
2026-01-01,145,0,0.0,0.0,Leak52,Curated 52 attribution outcome
2026-02-01,119,0,0.0,0.001137479592918961,Leak52,Curated 52 attribution outcome
2026-03-01,141,0,0.0,0.002969847412457356,Leak52,Curated 52 attribution outcome
2026-04-01,63,0,0.0,0.0024768120426586497,Leak52,Curated 52 attribution outcome
2026-07-01,1,0,0.0,0.0018413538337330412,Leak52,Curated 52 attribution outcome
2026-08-01,1,0,0.0,0.0057068362351001415,Leak52,Curated 52 attribution outcome
2012-06-01,1,0,0.0,0.03378375653962947,Leak55,Broad 55 attribution outcome
2012-07-01,1,0,0.0,0.023543647621459267,Leak55,Broad 55 attribution outcome
2012-08-01,1,0,0.0,0.06349902698817401,Leak55,Broad 55 attribution outcome
2012-09-01,4,0,0.0,0.053941100613994576,Leak55,Broad 55 attribution outcome
2012-10-01,2,0,0.0,0.016871581759757164,Leak55,Broad 55 attribution outcome
2012-11-01,3,0,0.0,0.040123665034329056,Leak55,Broad 55 attribution outcome
2012-12-01,1,0,0.0,0.02195601635282904,Leak55,Broad 55 attribution outcome
2013-01-01,2,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2013-02-01,1,0,0.0,0.03989657957197169,Leak55,Broad 55 attribution outcome
2013-03-01,3,0,0.0,0.05479119500545369,Leak55,Broad 55 attribution outcome
2013-04-01,1,0,0.0,0.04029831612504871,Leak55,Broad 55 attribution outcome
2013-06-01,5,0,0.0,0.02925595815322384,Leak55,Broad 55 attribution outcome
2013-07-01,4,0,0.0,0.020388258741436405,Leak55,Broad 55 attribution outcome
2013-09-01,4,0,0.0,0.0467117557057546,Leak55,Broad 55 attribution outcome
2013-10-01,2,0,0.0,0.014610402764510434,Leak55,Broad 55 attribution outcome
2013-12-01,4,0,0.0,0.019013406483567717,Leak55,Broad 55 attribution outcome
2014-01-01,4,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2014-03-01,4,0,0.0,0.0474479179473231,Leak55,Broad 55 attribution outcome
2014-04-01,1,0,0.0,0.034897417308132804,Leak55,Broad 55 attribution outcome
2014-05-01,1,0,0.0,0.03344812303474048,Leak55,Broad 55 attribution outcome
2014-06-01,2,0,0.0,0.02533498861972829,Leak55,Broad 55 attribution outcome
2014-07-01,9,0,0.0,0.017655764356958786,Leak55,Broad 55 attribution outcome
2014-08-01,2,0,0.0,0.0476189533340407,Leak55,Broad 55 attribution outcome
2014-09-01,8,0,0.0,0.04045130885868501,Leak55,Broad 55 attribution outcome
2014-10-01,2,0,0.0,0.012652273626790438,Leak55,Broad 55 attribution outcome
2014-11-01,1,0,0.0,0.03008938913687973,Leak55,Broad 55 attribution outcome
2014-12-01,12,0,0.0,0.01646517384119157,Leak55,Broad 55 attribution outcome
2015-01-01,9,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2015-02-01,7,0,0.0,0.029919094054455107,Leak55,Broad 55 attribution outcome
2015-03-01,3,1,0.3333333333333333,0.041088808472087915,Leak55,Broad 55 attribution outcome
2015-04-01,16,1,0.0625,0.03022036283101631,Leak55,Broad 55 attribution outcome
2015-05-01,10,0,0.0,0.028965307237529082,Leak55,Broad 55 attribution outcome
2015-06-01,6,0,0.0,0.02193951895200646,Leak55,Broad 55 attribution outcome
2015-07-01,15,0,0.0,0.015289486904289438,Leak55,Broad 55 attribution outcome
2015-08-01,11,0,0.0,0.04123692119337931,Leak55,Broad 55 attribution outcome
2015-09-01,23,0,0.0,0.03502990550575998,Leak55,Broad 55 attribution outcome
2015-10-01,33,0,0.0,0.010956578713628705,Leak55,Broad 55 attribution outcome
2015-11-01,8,0,0.0,0.02605672073240308,Leak55,Broad 55 attribution outcome
2015-12-01,11,0,0.0,0.014258462830159248,Leak55,Broad 55 attribution outcome
2016-01-01,20,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2016-02-01,11,0,0.0,0.02590924909764658,Leak55,Broad 55 attribution outcome
2016-03-01,15,1,0.06666666666666667,0.03558196554652347,Leak55,Broad 55 attribution outcome
2016-04-01,22,1,0.045454545454545456,0.026170140946947248,Leak55,Broad 55 attribution outcome
2016-05-01,19,1,0.05263157894736842,0.025083291594360856,Leak55,Broad 55 attribution outcome
2016-06-01,20,0,0.0,0.018999120112910977,Leak55,Broad 55 attribution outcome
2016-07-01,16,0,0.0,0.0132403449134334,Leak55,Broad 55 attribution outcome
2016-08-01,14,0,0.0,0.03571022776540899,Leak55,Broad 55 attribution outcome
2016-09-01,10,0,0.0,0.03033509457084014,Leak55,Broad 55 attribution outcome
