issue_type,app_id,pub_id,publication_date,project_start_date,date_pub_raw,year_pub,details
after_main_complete_panel_window,98651,20442,2026-07-03,2023-03-02,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,99001,20279,2026-07-14,2023-01-31,2026-07-14,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,99001,20478,2026-07-01,2023-01-31,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,99491,20323,2026-07-10,2023-07-03,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,99573,20266,2026-07-16,2023-04-17,2026-07-16,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,99709,20405,2026-07-08,2023-03-29,2026-07-08,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,101294,20483,2026-07-01,2023-12-05,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,101819,20313,2026-07-10,2023-05-26,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,102444,9486,2023-09-22,2023-09-27,2023-09-22,2023,excluded_from_panel_event_counts
after_main_complete_panel_window,103356,20456,2026-07-02,2023-09-07,2026-07-02,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,103770,20435,2026-07-04,2023-08-09,2026-07-04,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,104086,20382,2026-07-08,2023-09-14,2026-07-08,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,104628,20273,2026-07-15,2023-08-18,2026-07-15,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,104628,20419,2026-07-06,2023-08-18,2026-07-06,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,105139,20293,2026-07-13,2023-08-31,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,105945,20414,2026-07-07,2023-11-06,2026-07-07,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,106487,20403,2026-07-08,2023-06-29,2026-07-08,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,106707,20333,2026-07-09,2023-11-16,2026-07-09,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,107451,20401,2026-07-08,2023-08-31,2026-07-08,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,109828,20423,2026-07-06,2023-09-07,2026-07-06,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,113769,20303,2026-07-13,2023-09-13,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,116198,20444,2026-07-03,2023-09-22,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,117185,8807,2023-10-24,2023-11-30,2023-10-24,2023,excluded_from_panel_event_counts
publication_before_project_start,117185,9259,2023-11-22,2023-11-30,2023-11-22,2023,excluded_from_panel_event_counts
after_main_complete_panel_window,124751,20265,2026-07-16,2023-11-23,2026-07-16,2026,excluded_from_main_quarterly_monthly_window
